season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2025,2025-03-27,1,ARI,CHC,1,0,6,10,9,Steele,Gallen
2025,2025-03-28,1,ARI,CHC,1,1,8,1,9,Kelly,Taillon
2025,2025-03-29,1,ARI,CHC,1,0,3,4,9,Imanaga,Pfaadt
2025,2025-03-30,1,ARI,CHC,1,1,10,6,9,Martinez,Morgan
2025,2025-04-01,1,ARI,NYY,0,1,7,5,9,Miller,Leiter
2025,2025-04-02,1,ARI,NYY,0,1,4,3,9,Gallen,Rodón
2025,2025-04-03,1,ARI,NYY,0,0,7,9,9,Carrasco,Kelly
2025,2025-04-04,1,ARI,WSN,0,1,6,4,9,Pfaadt,Ferrer
2025,2025-04-05,1,ARI,WSN,0,0,3,4,9,Parker,Rodríguez
2025,2025-04-06,1,ARI,WSN,0,0,4,5,9,Williams,Burnes
2025,2025-04-07,1,ARI,BAL,1,0,1,5,9,Eflin,Gallen
2025,2025-04-08,1,ARI,BAL,1,1,4,3,9,Kelly,Morton
2025,2025-04-09,1,ARI,BAL,1,1,9,0,9,Pfaadt,Kremer
2025,2025-04-11,1,ARI,MIL,1,0,0,7,9,Quintana,Rodríguez
2025,2025-04-12,1,ARI,MIL,1,1,5,4,9,Nelson,Megill
2025,2025-04-13,1,ARI,MIL,1,1,5,2,9,Beeks,Hudson
2025,2025-04-15,1,ARI,MIA,0,1,10,4,9,Kelly,Gillispie
2025,2025-04-16,1,ARI,MIA,0,1,6,2,9,Pfaadt,Meyer
2025,2025-04-17,1,ARI,MIA,0,1,6,4,9,Rodríguez,Cabrera
2025,2025-04-18,1,ARI,CHC,0,0,11,13,9,Pressly,Mantiply
2025,2025-04-19,1,ARI,CHC,0,0,2,6,9,Thielbar,Gallen
2025,2025-04-20,1,ARI,CHC,0,1,3,2,11,Miller,Wicks
2025,2025-04-22,1,ARI,TBR,1,1,5,1,9,Pfaadt,Littell
2025,2025-04-23,1,ARI,TBR,1,0,6,7,11,Fairbanks,Jameson
2025,2025-04-24,1,ARI,TBR,1,0,4,7,10,Uceta,Feyereisen
2025,2025-04-25,1,ARI,ATL,1,0,2,8,9,Sale,Gallen
2025,2025-04-26,1,ARI,ATL,1,0,7,8,10,Iglesias,Martinez
2025,2025-04-27,1,ARI,ATL,1,1,6,4,9,Pfaadt,Schwellenbach
2025,2025-04-29,1,ARI,NYM,0,0,3,8,9,Peterson,Rodríguez
2025,2025-04-30,1,ARI,NYM,0,1,4,3,9,Burnes,Stanek
2025,2025-05-01,1,ARI,NYM,0,1,4,2,9,Gallen,Senga
2025,2025-05-02,1,ARI,PHI,0,0,2,3,9,Banks,Castillo
2025,2025-05-03,1,ARI,PHI,0,0,2,7,9,Nola,Pfaadt
2025,2025-05-04,1,ARI,PHI,0,1,11,9,10,Miller,Alvarado
2025,2025-05-05,1,ARI,NYM,1,0,4,5,9,Canning,Nelson
2025,2025-05-06,1,ARI,NYM,1,1,5,1,9,Gallen,Peterson
2025,2025-05-07,1,ARI,NYM,1,0,1,7,9,Senga,Kelly
2025,2025-05-08,1,ARI,LAD,1,1,5,3,9,Pfaadt,Yamamoto
2025,2025-05-09,1,ARI,LAD,1,0,11,14,9,Vesia,Ginkel
2025,2025-05-10,1,ARI,LAD,1,1,3,0,9,Burnes,May
2025,2025-05-11,1,ARI,LAD,1,0,1,8,9,Gonsolin,Gallen
2025,2025-05-12,1,ARI,SFG,0,1,2,1,9,Kelly,Verlander
2025,2025-05-13,1,ARI,SFG,0,0,6,10,9,Ray,Pfaadt
2025,2025-05-14,1,ARI,SFG,0,1,8,7,9,Thompson,Hicks
2025,2025-05-16,1,ARI,COL,1,1,8,0,9,Burnes,Palmquist
2025,2025-05-17,1,ARI,COL,1,0,12,14,9,Bird,Thompson
2025,2025-05-18,1,ARI,COL,1,1,1,0,9,Kelly,Dollander
2025,2025-05-19,1,ARI,LAD,0,1,9,5,9,Pfaadt,Dreyer
2025,2025-05-20,1,ARI,LAD,0,0,3,4,10,Banda,Miller
2025,2025-05-21,1,ARI,LAD,0,0,1,3,9,May,Burnes
2025,2025-05-23,1,ARI,STL,0,0,3,4,9,Mikolas,Gallen
2025,2025-05-24,1,ARI,STL,0,0,5,6,9,Helsley,Martinez
2025,2025-05-25,1,ARI,STL,0,0,3,4,9,King,Ginkel
2025,2025-05-26,1,ARI,PIT,1,1,5,0,9,Nelson,Heaney
2025,2025-05-27,1,ARI,PIT,1,0,6,9,9,Wentz,Ginkel
2025,2025-05-28,1,ARI,PIT,1,0,1,10,9,Skenes,Gallen
2025,2025-05-30,1,ARI,WSN,1,0,7,9,9,Irvin,Morillo
2025,2025-05-31,1,ARI,WSN,1,0,7,11,9,Soroka,Pfaadt
2025,2025-06-01,1,ARI,WSN,1,1,3,1,9,Mena,Parker
2025,2025-06-03,1,ARI,ATL,0,1,8,3,9,Gallen,Strider
2025,2025-06-04,1,ARI,ATL,0,1,2,1,9,Kelly,Sale
2025,2025-06-05,1,ARI,ATL,0,1,11,10,9,Graveman,Iglesias
