season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2025,2025-03-27,1,ATH,SEA,0,0,2,4,9,Thornton,Leclerc
2025,2025-03-28,1,ATH,SEA,0,1,7,0,9,Springs,Castillo
2025,2025-03-29,1,ATH,SEA,0,1,4,2,9,Bido,Miller
2025,2025-03-30,1,ATH,SEA,0,0,1,2,9,Woo,Sears
2025,2025-03-31,1,ATH,CHC,1,0,3,18,9,Brown,Estes
2025,2025-04-01,1,ATH,CHC,1,0,4,7,9,Steele,Severino
2025,2025-04-02,1,ATH,CHC,1,0,2,10,9,Taillon,Springs
2025,2025-04-04,1,ATH,COL,0,1,6,3,11,Murdock,Chivilli
2025,2025-04-05,1,ATH,COL,0,1,7,4,9,Sears,Márquez
2025,2025-04-06,1,ATH,COL,0,0,5,12,9,Dollander,Estes
2025,2025-04-07,1,ATH,SDP,1,0,4,5,9,King,Severino
2025,2025-04-08,1,ATH,SDP,1,1,10,4,9,Springs,Cease
2025,2025-04-09,1,ATH,SDP,1,0,1,2,9,Vásquez,Bido
2025,2025-04-11,1,ATH,NYM,1,0,6,7,9,Canning,Sears
2025,2025-04-12,1,ATH,NYM,1,1,3,1,9,Ginn,Peterson
2025,2025-04-13,1,ATH,NYM,1,0,0,8,9,Senga,Severino
2025,2025-04-15,1,ATH,CHW,0,1,12,3,9,Springs,Burke
2025,2025-04-16,1,ATH,CHW,0,1,3,1,9,Bido,Gilbert
2025,2025-04-17,1,ATH,CHW,0,1,8,0,9,Sears,Martin
2025,2025-04-18,1,ATH,MIL,0,0,3,5,9,Peralta,Ginn
2025,2025-04-19,1,ATH,MIL,0,1,3,1,9,Severino,Patrick
2025,2025-04-20,1,ATH,MIL,0,0,1,14,9,Henderson,Springs
2025,2025-04-22,1,ATH,TEX,1,0,5,8,9,Corbin,Bido
2025,2025-04-23,1,ATH,TEX,1,1,5,2,9,Sears,Rocker
2025,2025-04-24,1,ATH,TEX,1,1,4,3,9,Holman,Jackson
2025,2025-04-25,1,ATH,CHW,1,1,6,5,9,Sterner,Burke
2025,2025-04-26,1,ATH,CHW,1,0,3,10,9,Cannon,Springs
2025,2025-04-27,1,ATH,CHW,1,1,3,2,10,Holman,Leasure
2025,2025-04-28,1,ATH,TEX,0,1,2,1,9,Sears,Corbin
2025,2025-04-29,1,ATH,TEX,0,0,2,15,9,deGrom,Lopez
2025,2025-04-30,1,ATH,TEX,0,1,7,1,9,Holman,Garcia
2025,2025-05-01,1,ATH,TEX,0,1,3,0,9,Springs,Mahle
2025,2025-05-02,1,ATH,MIA,0,1,6,1,9,Hoglund,Bellozo
2025,2025-05-03,1,ATH,MIA,0,0,6,9,9,Bachar,Miller
2025,2025-05-04,1,ATH,MIA,0,1,3,2,9,Spence,Bender
2025,2025-05-05,1,ATH,SEA,1,1,7,6,11,Harris,Legumina
2025,2025-05-06,1,ATH,SEA,1,0,3,5,9,Snider,Ferguson
2025,2025-05-07,1,ATH,SEA,1,0,5,6,9,Bazardo,Murdock
2025,2025-05-09,1,ATH,NYY,1,0,2,10,9,Warren,Bido
2025,2025-05-10,1,ATH,NYY,1,1,11,7,9,Holman,Cruz
2025,2025-05-11,1,ATH,NYY,1,0,2,12,9,Yarbrough,Severino
2025,2025-05-13,1,ATH,LAD,0,1,11,1,9,Springs,Knack
2025,2025-05-14,1,ATH,LAD,0,0,3,9,9,Yamamoto,Hoglund
2025,2025-05-15,1,ATH,LAD,0,0,2,19,9,Wrobleski,Bido
2025,2025-05-16,1,ATH,SFG,0,0,1,9,9,Webb,Sears
2025,2025-05-17,1,ATH,SFG,0,0,0,1,10,Doval,Miller
2025,2025-05-18,1,ATH,SFG,0,0,2,3,9,Rodríguez,Ferguson
2025,2025-05-19,1,ATH,LAA,1,0,3,4,9,Soriano,Ginn
2025,2025-05-20,1,ATH,LAA,1,0,5,7,9,Hendricks,Hoglund
