season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2024,2024-03-29,1,ATL,PHI,0,1,9,3,9,Johnson,Alvarado
2024,2024-03-30,1,ATL,PHI,0,1,12,4,9,Chavez,Nola
2024,2024-03-31,1,ATL,PHI,0,0,4,5,9,Strahm,Bummer
2024,2024-04-01,1,ATL,CHW,0,1,9,0,8,Morton,Flexen
2024,2024-04-02,1,ATL,CHW,0,0,2,3,9,Crochet,Minter
2024,2024-04-05,1,ATL,ARI,1,1,6,5,10,Johnson,McGough
2024,2024-04-06,1,ATL,ARI,1,1,9,8,9,Minter,Frías
2024,2024-04-07,1,ATL,ARI,1,1,5,2,9,Sale,Nelson
2024,2024-04-08,1,ATL,NYM,1,0,7,8,9,Diekman,Johnson
2024,2024-04-09,1,ATL,NYM,1,1,6,5,9,López,Houser
2024,2024-04-11,1,ATL,NYM,1,0,4,16,9,Quintana,Winans
2024,2024-04-12,1,ATL,MIA,0,1,8,1,9,Fried,Rogers
2024,2024-04-13,1,ATL,MIA,0,0,1,5,9,Meyer,Sale
2024,2024-04-14,1,ATL,MIA,0,1,9,7,9,Minter,Scott
2024,2024-04-15,1,ATL,HOU,0,1,6,1,9,Bummer,Arrighetti
2024,2024-04-16,1,ATL,HOU,0,1,6,2,9,López,Brown
2024,2024-04-17,1,ATL,HOU,0,1,5,4,10,Minter,Martinez
2024,2024-04-19,1,ATL,TEX,1,1,8,3,9,Sale,Latz
2024,2024-04-20,1,ATL,TEX,1,1,5,2,9,Morton,Eovaldi
2024,2024-04-21,1,ATL,TEX,1,0,4,6,9,Lorenzen,Vines
2024,2024-04-22,1,ATL,MIA,1,1,3,0,9,Elder,Weathers
2024,2024-04-23,1,ATL,MIA,1,1,5,0,9,Fried,Rogers
2024,2024-04-24,1,ATL,MIA,1,1,4,3,10,Minter,Scott
2024,2024-04-26,1,ATL,CLE,1,1,6,2,9,Sale,Allen
2024,2024-04-27,1,ATL,CLE,1,0,2,4,11,Barlow,Lee
2024,2024-04-28,1,ATL,CLE,1,1,4,3,10,Minter,Clase
2024,2024-04-29,1,ATL,SEA,0,0,1,2,9,Voth,Minter
2024,2024-04-30,1,ATL,SEA,0,0,2,3,9,Castillo,López
2024,2024-05-01,1,ATL,SEA,0,1,5,2,9,Sale,Hancock
2024,2024-05-03,1,ATL,LAD,0,0,3,4,11,Grove,Chavez
2024,2024-05-04,1,ATL,LAD,0,0,2,11,9,Glasnow,Elder
2024,2024-05-05,1,ATL,LAD,0,0,1,5,9,Paxton,Fried
2024,2024-05-07,1,ATL,BOS,1,1,4,2,9,Jiménez,Slaten
