season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2024,2024-03-28,1,BAL,LAA,1,1,11,3,9,Burnes,Sandoval
2024,2024-03-30,1,BAL,LAA,1,1,13,4,9,Rodriguez,Canning
2024,2024-03-31,1,BAL,LAA,1,0,1,4,9,Detmers,Wells
2024,2024-04-01,1,BAL,KCR,1,1,6,4,9,Kimbrel,Anderson
2024,2024-04-02,1,BAL,KCR,1,0,1,4,9,Marsh,Irvin
2024,2024-04-03,1,BAL,KCR,1,1,4,3,9,Cano,Smith
2024,2024-04-05,1,BAL,PIT,0,1,5,2,9,Rodriguez,Jones
2024,2024-04-06,1,BAL,PIT,0,0,4,5,11,Fleming,Heasley
2024,2024-04-07,1,BAL,PIT,0,0,2,3,9,Hernandez,Cano
2024,2024-04-09,1,BAL,BOS,0,1,7,1,9,Burnes,Bello
2024,2024-04-10,1,BAL,BOS,0,1,7,5,9,Baumann,Martin
2024,2024-04-11,1,BAL,BOS,0,1,9,4,10,Kimbrel,Campbell
2024,2024-04-12,1,BAL,MIL,1,0,1,11,9,Peralta,Wells
2024,2024-04-13,1,BAL,MIL,1,0,5,11,9,Peguero,Kremer
2024,2024-04-14,1,BAL,MIL,1,1,6,4,9,Cano,Uribe
2024,2024-04-15,1,BAL,MIN,1,1,7,4,9,Tate,Varland
2024,2024-04-16,1,BAL,MIN,1,1,11,3,9,Rodriguez,Paddack
2024,2024-04-17,1,BAL,MIN,1,1,4,2,9,Kimbrel,Jax
2024,2024-04-19,1,BAL,KCR,0,0,4,9,9,Marsh,Kremer
2024,2024-04-20,1,BAL,KCR,0,1,9,7,9,Burnes,Ragans
2024,2024-04-21,1,BAL,KCR,0,1,5,0,9,Irvin,Lugo
2024,2024-04-22,1,BAL,LAA,0,1,4,2,9,Suárez,Detmers
2024,2024-04-23,1,BAL,LAA,0,0,4,7,9,Canning,Rodriguez
2024,2024-04-24,1,BAL,LAA,0,1,6,5,9,Kremer,Anderson
2024,2024-04-26,1,BAL,OAK,1,0,2,3,10,Spence,Webb
2024,2024-04-27,1,BAL,OAK,1,1,7,0,9,Irvin,Sears
2024,2024-04-28,1,BAL,OAK,1,0,6,7,9,McFarland,Kimbrel
2024,2024-04-29,1,BAL,NYY,1,1,2,0,9,Rodriguez,Schmidt
2024,2024-04-30,1,BAL,NYY,1,1,4,2,9,Kremer,Cortés
2024,2024-05-01,1,BAL,NYY,1,0,0,2,9,Gil,Burnes
2024,2024-05-02,1,BAL,NYY,1,1,7,2,9,Akin,Rodón
2024,2024-05-03,1,BAL,CIN,0,1,3,0,9,Irvin,Pagán
2024,2024-05-04,1,BAL,CIN,0,1,2,1,9,Means,Abbott
2024,2024-05-05,1,BAL,CIN,0,1,11,1,9,Kremer,Lodolo
2024,2024-05-07,1,BAL,WSN,0,0,0,3,9,Williams,Burnes
2024,2024-05-08,1,BAL,WSN,0,1,7,6,12,Suárez,Weems
2024,2024-05-10,1,BAL,ARI,1,1,4,2,9,Irvin,Pfaadt
2024,2024-05-11,1,BAL,ARI,1,1,5,4,11,Kimbrel,Jarvis
2024,2024-05-12,1,BAL,ARI,1,0,2,9,9,Gallen,Kremer
2024,2024-05-13,1,BAL,TOR,1,0,2,3,10,Romano,Webb
2024,2024-05-15,1,BAL,TOR,1,1,3,2,9,Coulombe,Romano
2024,2024-05-17,1,BAL,SEA,1,1,9,2,9,Means,Miller
2024,2024-05-18,1,BAL,SEA,1,0,3,4,9,Stanek,Cano
2024,2024-05-19,1,BAL,SEA,1,1,6,3,9,Burnes,Kirby
2024,2024-05-20,1,BAL,STL,0,0,3,6,9,Gray,Kremer
2024,2024-05-21,1,BAL,STL,0,0,1,3,9,Lynn,Webb
2024,2024-05-22,1,BAL,STL,0,0,4,5,9,King,Irvin
2024,2024-05-23,1,BAL,CHW,0,1,8,6,9,Rodriguez,Clevinger
2024,2024-05-24,1,BAL,CHW,0,1,6,4,9,Cano,Brebbia
2024,2024-05-25,1,BAL,CHW,0,1,5,3,9,Tate,Kopech
2024,2024-05-26,1,BAL,CHW,0,1,4,1,9,Bradish,Crochet
2024,2024-05-27,1,BAL,BOS,1,1,11,3,9,Irvin,Criswell
2024,2024-05-28,1,BAL,BOS,1,0,3,8,9,Bello,Rodriguez
2024,2024-05-29,1,BAL,BOS,1,1,6,1,9,Burnes,Crawford
2024,2024-05-31,1,BAL,TBR,1,1,3,1,9,Pérez,Lovelady
2024,2024-06-01,1,BAL,TBR,1,1,9,5,9,Webb,Bradley
2024,2024-06-02,1,BAL,TBR,1,0,3,4,9,Armstrong,Tate
2024,2024-06-03,1,BAL,TOR,0,1,7,2,9,Rodriguez,Gausman
2024,2024-06-04,1,BAL,TOR,0,1,10,1,9,Burnes,Cabrera
2024,2024-06-05,1,BAL,TOR,0,0,2,3,9,García,Kimbrel
2024,2024-06-06,1,BAL,TOR,0,0,5,6,9,Kikuchi,Povich
2024,2024-06-07,1,BAL,TBR,0,1,6,3,9,Irvin,Civale
2024,2024-06-08,1,BAL,TBR,0,1,5,0,9,Bradish,Bradley
2024,2024-06-09,1,BAL,TBR,0,1,9,2,9,Rodriguez,Littell
2024,2024-06-10,1,BAL,TBR,0,1,5,2,9,Burnes,Pepiot
2024,2024-06-11,1,BAL,ATL,1,1,4,0,9,Suárez,Fried
2024,2024-06-12,1,BAL,ATL,1,1,4,2,9,Akin,Jiménez
2024,2024-06-13,1,BAL,ATL,1,0,3,6,9,López,Irvin
2024,2024-06-14,1,BAL,PHI,1,0,3,5,11,Kerkering,Webb
2024,2024-06-15,1,BAL,PHI,1,1,6,2,9,Rodriguez,Walker
2024,2024-06-16,1,BAL,PHI,1,1,8,3,9,Burnes,Wheeler
2024,2024-06-18,1,BAL,NYY,0,0,2,4,9,Cortés,Suárez
2024,2024-06-19,1,BAL,NYY,0,1,7,6,10,Kimbrel,Holmes
2024,2024-06-20,1,BAL,NYY,0,1,17,5,9,Baker,Gil
2024,2024-06-21,1,BAL,HOU,0,0,11,14,9,Dubin,Rodriguez
2024,2024-06-22,1,BAL,HOU,0,0,1,5,9,Blanco,Burnes
2024,2024-06-23,1,BAL,HOU,0,0,1,8,9,Valdez,Suárez
2024,2024-06-24,1,BAL,CLE,1,0,2,3,9,Bibee,Povich
2024,2024-06-25,1,BAL,CLE,1,0,8,10,9,Avila,Irvin
2024,2024-06-26,1,BAL,CLE,1,1,4,2,9,Rodriguez,Curry
2024,2024-06-27,1,BAL,TEX,1,1,11,2,9,Burnes,Gray
2024,2024-06-28,1,BAL,TEX,1,1,2,1,9,Suárez,Scherzer
2024,2024-06-29,1,BAL,TEX,1,1,6,5,9,Povich,Lorenzen
2024,2024-06-30,1,BAL,TEX,1,0,2,11,9,Heaney,Irvin
2024,2024-07-02,1,BAL,SEA,0,1,2,0,9,Rodriguez,Kirby
2024,2024-07-03,1,BAL,SEA,0,1,4,1,9,Kremer,Gilbert
2024,2024-07-04,1,BAL,SEA,0,0,3,7,9,Stanek,Baker
2024,2024-07-05,1,BAL,OAK,0,1,3,2,9,Suárez,Harris
2024,2024-07-06,1,BAL,OAK,0,0,8,19,9,Medina,Povich
2024,2024-07-07,1,BAL,OAK,0,1,6,3,9,Rodriguez,Spence
2024,2024-07-09,1,BAL,CHC,1,0,2,9,9,Taillon,Kremer
2024,2024-07-10,1,BAL,CHC,1,0,0,4,9,Imanaga,Burnes
2024,2024-07-11,1,BAL,CHC,1,0,0,8,9,Steele,Suárez
2024,2024-07-12,1,BAL,NYY,1,0,1,4,9,Cole,Povich
2024,2024-07-13,1,BAL,NYY,1,0,1,6,9,Gil,Rodriguez
2024,2024-07-14,1,BAL,NYY,1,1,6,5,9,Kimbrel,Holmes
2024,2024-07-19,1,BAL,TEX,0,1,9,1,9,Burnes,Eovaldi
2024,2024-07-20,1,BAL,TEX,0,1,8,4,9,Rodriguez,Scherzer
2024,2024-07-21,1,BAL,TEX,0,0,2,3,9,Heaney,Kremer
2024,2024-07-23,1,BAL,MIA,0,0,3,6,9,Puk,Suárez
2024,2024-07-24,1,BAL,MIA,0,0,3,6,9,Nardi,Webb
2024,2024-07-25,1,BAL,MIA,0,1,7,6,10,Cano,Faucher
2024,2024-07-26,1,BAL,SDP,1,0,4,6,9,Suarez,Kimbrel
2024,2024-07-27,1,BAL,SDP,1,0,4,9,9,King,Kremer
2024,2024-07-28,1,BAL,SDP,1,1,8,6,9,Pérez,Vásquez
2024,2024-07-29,1,BAL,TOR,1,1,11,5,9,Eflin,Rodríguez
2024,2024-07-29,2,BAL,TOR,1,0,4,8,9,Francis,Povich
2024,2024-07-30,1,BAL,TOR,1,1,6,2,9,Burnes,Bassitt
2024,2024-07-31,1,BAL,TOR,1,1,10,4,9,Rodriguez,Espino
2024,2024-08-01,1,BAL,CLE,0,0,3,10,9,Lively,Rogers
2024,2024-08-02,1,BAL,CLE,0,0,4,8,9,Smith,Kremer
2024,2024-08-03,1,BAL,CLE,0,1,7,4,9,Eflin,Cantillo
2024,2024-08-04,1,BAL,CLE,0,1,9,5,9,Burnes,Williams
2024,2024-08-06,1,BAL,TOR,0,0,2,5,9,Bassitt,Soto
2024,2024-08-07,1,BAL,TOR,0,1,7,3,9,Smith,Burr
2024,2024-08-08,1,BAL,TOR,0,0,6,7,9,Gausman,Kremer
2024,2024-08-09,1,BAL,TBR,0,1,4,1,9,Eflin,Littell
2024,2024-08-10,1,BAL,TBR,0,1,7,5,9,Smith,Poche
2024,2024-08-11,1,BAL,TBR,0,0,1,2,9,Rodríguez,Kimbrel
2024,2024-08-13,1,BAL,WSN,1,0,3,9,9,Irvin,Rogers
2024,2024-08-14,1,BAL,WSN,1,1,4,1,9,Kremer,Herz
2024,2024-08-15,1,BAL,BOS,1,1,5,1,9,Eflin,Pivetta
2024,2024-08-16,1,BAL,BOS,1,0,10,12,9,Criswell,Burnes
2024,2024-08-17,1,BAL,BOS,1,0,1,5,9,Bello,Povich
2024,2024-08-18,1,BAL,BOS,1,1,4,2,9,Suárez,Crawford
2024,2024-08-19,1,BAL,NYM,0,0,3,4,9,Díaz,Domínguez
2024,2024-08-20,1,BAL,NYM,0,1,9,5,9,Kremer,Quintana
2024,2024-08-21,1,BAL,NYM,0,0,3,4,9,Díaz,Domínguez
2024,2024-08-22,1,BAL,HOU,1,0,0,6,9,Arrighetti,Burnes
2024,2024-08-23,1,BAL,HOU,1,1,7,5,9,Kimbrel,Abreu
2024,2024-08-24,1,BAL,HOU,1,1,3,2,9,Akin,Valdez
2024,2024-08-25,1,BAL,HOU,1,0,3,6,9,Neris,Smith
2024,2024-08-27,1,BAL,LAD,0,1,3,2,9,Bowman,Flaherty
2024,2024-08-28,1,BAL,LAD,0,0,4,6,9,Banda,Burnes
2024,2024-08-29,1,BAL,LAD,0,0,3,6,9,Miller,Povich
2024,2024-08-30,1,BAL,COL,0,1,5,3,9,Suárez,Gomber
2024,2024-08-31,1,BAL,COL,0,0,5,7,9,Criswell,Kimbrel
2024,2024-09-01,1,BAL,COL,0,1,6,1,9,Eflin,Blach
2024,2024-09-02,1,BAL,CHW,1,1,13,3,9,Burnes,Flexen
2024,2024-09-03,1,BAL,CHW,1,1,9,0,9,Povich,Nastrini
2024,2024-09-04,1,BAL,CHW,1,0,1,8,9,Cannon,Suárez
2024,2024-09-06,1,BAL,TBR,1,1,2,0,9,Kremer,Baz
2024,2024-09-07,1,BAL,TBR,1,0,1,7,9,Pepiot,Eflin
2024,2024-09-08,1,BAL,TBR,1,0,0,2,9,Littell,Burnes
2024,2024-09-09,1,BAL,BOS,0,0,3,12,9,Bello,Povich
2024,2024-09-10,1,BAL,BOS,0,1,5,3,9,Suárez,Crawford
2024,2024-09-11,1,BAL,BOS,0,0,3,5,10,Weissert,Akin
2024,2024-09-13,1,BAL,DET,0,0,0,1,9,Hurter,Eflin
2024,2024-09-14,1,BAL,DET,0,1,4,2,9,Burnes,Madden
2024,2024-09-15,1,BAL,DET,0,0,2,4,9,Montero,Povich
2024,2024-09-17,1,BAL,SFG,1,0,0,10,9,Snell,Suárez
2024,2024-09-18,1,BAL,SFG,1,0,3,5,9,Birdsong,Kremer
2024,2024-09-19,1,BAL,SFG,1,1,5,3,9,Soto,Walker
2024,2024-09-20,1,BAL,DET,1,1,7,1,9,Burnes,Holton
2024,2024-09-21,1,BAL,DET,1,0,4,6,10,Brieske,Cano
2024,2024-09-22,1,BAL,DET,1,0,3,4,9,Guenther,Suárez
2024,2024-09-24,1,BAL,NYY,0,1,5,3,9,Kremer,Schmidt
2024,2024-09-25,1,BAL,NYY,0,1,9,7,9,Webb,Stroman
2024,2024-09-26,1,BAL,NYY,0,0,1,10,9,Cole,Burnes
2024,2024-09-27,1,BAL,MIN,0,1,7,2,9,Povich,López
2024,2024-09-28,1,BAL,MIN,0,1,9,2,9,Davidson,Matthews
2024,2024-09-29,1,BAL,MIN,0,1,6,2,9,Suárez,Ober
