season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2025,2025-03-27,1,BOS,TEX,0,1,5,2,9,Chapman,Jackson
2025,2025-03-28,1,BOS,TEX,0,0,1,4,9,Leiter,Houck
2025,2025-03-29,1,BOS,TEX,0,0,3,4,9,Milner,Buehler
2025,2025-03-30,1,BOS,TEX,0,0,2,3,9,Armstrong,Fitts
2025,2025-03-31,1,BOS,BAL,0,0,5,8,9,Domínguez,Newcomb
2025,2025-04-02,1,BOS,BAL,0,1,3,0,9,Crochet,Eflin
2025,2025-04-03,1,BOS,BAL,0,1,8,4,9,Kelly,Morton
2025,2025-04-04,1,BOS,STL,1,1,13,9,9,Buehler,Fedde
2025,2025-04-06,1,BOS,STL,1,1,5,4,10,Chapman,Fernandez
2025,2025-04-06,2,BOS,STL,1,1,18,7,9,Dobbins,Mikolas
2025,2025-04-07,1,BOS,TOR,1,0,2,6,9,Berríos,Fitts
2025,2025-04-08,1,BOS,TOR,1,0,1,6,9,Lucas,Crochet
2025,2025-04-09,1,BOS,TOR,1,0,1,2,11,Hoffman,Winckowski
2025,2025-04-10,1,BOS,TOR,1,1,4,3,10,Bernardino,Sandlin
2025,2025-04-11,1,BOS,CHW,0,0,1,11,9,Martin,Newcomb
2025,2025-04-12,1,BOS,CHW,0,0,2,3,9,Gilbert,Chapman
2025,2025-04-13,1,BOS,CHW,0,1,3,1,9,Crochet,Smith
2025,2025-04-14,1,BOS,TBR,0,0,1,16,9,Baz,Houck
2025,2025-04-15,1,BOS,TBR,0,1,7,4,9,Buehler,Pepiot
2025,2025-04-16,1,BOS,TBR,0,1,1,0,9,Weissert,Littell
2025,2025-04-18,1,BOS,CHW,1,1,10,3,9,Dobbins,Pérez
2025,2025-04-19,1,BOS,CHW,1,1,4,3,10,Whitlock,Vasil
2025,2025-04-20,1,BOS,CHW,1,0,4,8,9,Eisert,Kelly
2025,2025-04-21,1,BOS,CHW,1,1,4,2,9,Buehler,Cannon
2025,2025-04-22,1,BOS,SEA,1,1,8,3,9,Bello,Miller
2025,2025-04-23,1,BOS,SEA,1,0,5,8,9,Hancock,Newcomb
2025,2025-04-24,1,BOS,SEA,1,0,3,4,9,Woo,Crochet
2025,2025-04-26,1,BOS,CLE,0,0,4,5,9,Herrin,Bernardino
2025,2025-04-26,2,BOS,CLE,0,1,7,3,9,Buehler,Nikhazy
2025,2025-04-27,1,BOS,CLE,0,1,13,3,9,Bello,Allen
2025,2025-04-29,1,BOS,TOR,0,1,10,2,9,Crochet,Francis
2025,2025-04-30,1,BOS,TOR,0,0,6,7,10,Hoffman,Slaten
2025,2025-05-01,1,BOS,TOR,0,0,2,4,9,Fluharty,Slaten
2025,2025-05-02,1,BOS,MIN,1,1,6,1,9,Wilson,Varland
2025,2025-05-03,1,BOS,MIN,1,0,3,4,9,Ober,Dobbins
2025,2025-05-04,1,BOS,MIN,1,0,4,5,9,Varland,Slaten
2025,2025-05-06,1,BOS,TEX,1,0,1,6,9,Eovaldi,Giolito
2025,2025-05-07,1,BOS,TEX,1,1,6,4,9,Bernardino,Webb
2025,2025-05-08,1,BOS,TEX,1,1,5,0,9,Slaten,Leiter
2025,2025-05-09,1,BOS,KCR,0,0,1,2,12,Cruz,Newcomb
2025,2025-05-10,1,BOS,KCR,0,1,10,1,9,Crochet,Ragans
2025,2025-05-11,1,BOS,KCR,0,1,3,1,9,Giolito,Lugo
2025,2025-05-12,1,BOS,DET,0,0,2,14,9,Jobe,Houck
2025,2025-05-13,1,BOS,DET,0,0,9,10,11,Brieske,Weissert
2025,2025-05-14,1,BOS,DET,0,0,5,6,9,Vest,Chapman
2025,2025-05-16,1,BOS,ATL,1,0,2,4,9,Sale,Crochet
2025,2025-05-17,1,BOS,ATL,1,1,7,6,9,Chapman,Johnson
2025,2025-05-18,1,BOS,ATL,1,0,4,10,9,Schwellenbach,Bello
2025,2025-05-19,1,BOS,NYM,1,1,3,1,9,Wilson,Senga
2025,2025-05-20,1,BOS,NYM,1,1,2,0,9,Whitlock,Holmes
2025,2025-05-21,1,BOS,NYM,1,0,1,5,9,Brazobán,Hendriks
2025,2025-05-23,1,BOS,BAL,1,1,19,5,9,Whitlock,Domínguez
2025,2025-05-24,1,BOS,BAL,1,1,6,5,10,Weissert,Soto
2025,2025-05-24,2,BOS,BAL,1,0,1,2,9,Kittredge,Bernardino
2025,2025-05-25,1,BOS,BAL,1,0,1,5,9,Kremer,Buehler
2025,2025-05-26,1,BOS,MIL,0,0,2,3,9,Hall,Crochet
2025,2025-05-27,1,BOS,MIL,0,0,1,5,10,Zastryzny,Hendriks
2025,2025-05-28,1,BOS,MIL,0,0,5,6,10,Alexander,Slaten
2025,2025-05-30,1,BOS,ATL,0,1,5,1,9,Whitlock,Holmes
2025,2025-05-31,1,BOS,ATL,0,0,0,5,9,Schwellenbach,Buehler
2025,2025-06-01,1,BOS,ATL,0,1,3,1,9,Crochet,Elder
2025,2025-06-02,1,BOS,LAA,1,0,6,7,9,Zeferjahn,Fitts
2025,2025-06-03,1,BOS,LAA,1,0,3,4,10,Jansen,Kelly
2025,2025-06-04,1,BOS,LAA,1,1,11,9,9,Criswell,Burke
2025,2025-06-06,1,BOS,NYY,0,0,6,9,9,Warren,Buehler
2025,2025-06-07,1,BOS,NYY,0,1,10,7,9,Crochet,Yarbrough
2025,2025-06-08,1,BOS,NYY,0,1,11,7,9,Dobbins,Rodón
2025,2025-06-09,1,BOS,TBR,1,0,8,10,11,Seymour,Kelly
2025,2025-06-10,1,BOS,TBR,1,1,3,1,9,Giolito,Pepiot
2025,2025-06-11,1,BOS,TBR,1,1,4,3,9,Buehler,Littell
2025,2025-06-13,1,BOS,NYY,1,1,2,1,10,Whitlock,Hill
2025,2025-06-14,1,BOS,NYY,1,1,4,3,9,Dobbins,Rodón
2025,2025-06-15,1,BOS,NYY,1,1,2,0,9,Bello,Fried
2025,2025-06-16,1,BOS,SEA,0,1,2,0,9,Giolito,Gilbert
2025,2025-06-17,1,BOS,SEA,0,0,0,8,9,Woo,Buehler
2025,2025-06-18,1,BOS,SEA,0,1,3,1,9,Crochet,Castillo
2025,2025-06-20,1,BOS,SFG,0,1,7,5,9,Bernardino,Hjelle
2025,2025-06-21,1,BOS,SFG,0,0,2,3,9,Roupp,Bello
2025,2025-06-22,1,BOS,SFG,0,0,5,9,9,Miller,Weissert
2025,2025-06-23,1,BOS,LAA,0,0,5,9,9,Bachman,Whitlock
2025,2025-06-24,1,BOS,LAA,0,0,2,3,10,Detmers,Wilson
2025,2025-06-25,1,BOS,LAA,0,0,2,5,9,Kikuchi,Guerrero
2025,2025-06-27,1,BOS,TOR,1,0,0,9,9,Berríos,Bello
2025,2025-06-28,1,BOS,TOR,1,1,15,1,9,Giolito,Bassitt
2025,2025-06-29,1,BOS,TOR,1,0,3,5,9,Rodríguez,Buehler
2025,2025-06-30,1,BOS,CIN,1,1,13,6,9,Crochet,Burns
2025,2025-07-01,1,BOS,CIN,1,1,5,3,9,Bello,Richardson
2025,2025-07-02,1,BOS,CIN,1,0,4,8,9,Martinez,Weissert
2025,2025-07-04,1,BOS,WSN,0,1,11,2,9,Giolito,Soroka
2025,2025-07-05,1,BOS,WSN,0,1,10,3,9,Buehler,Parker
2025,2025-07-06,1,BOS,WSN,0,1,6,4,9,Crochet,Ogasawara
2025,2025-07-07,1,BOS,COL,1,1,9,3,9,Fitts,Gomber
2025,2025-07-08,1,BOS,COL,1,1,10,2,9,Bello,Freeland
2025,2025-07-09,1,BOS,COL,1,1,10,2,9,Giolito,Senzatela
2025,2025-07-10,1,BOS,TBR,1,1,4,3,9,Murphy,Baker
2025,2025-07-11,1,BOS,TBR,1,1,5,4,9,Murphy,Fairbanks
2025,2025-07-12,1,BOS,TBR,1,1,1,0,9,Crochet,Baz
2025,2025-07-13,1,BOS,TBR,1,1,4,1,9,Bello,Pepiot
2025,2025-07-18,1,BOS,CHC,0,0,1,4,9,Rea,Giolito
2025,2025-07-19,1,BOS,CHC,0,0,0,6,9,Imanaga,Bello
2025,2025-07-20,1,BOS,CHC,0,1,6,1,9,Crochet,Pressly
2025,2025-07-21,1,BOS,PHI,0,0,2,3,10,Lazar,Hicks
2025,2025-07-22,1,BOS,PHI,0,0,1,4,9,Sánchez,Fitts
2025,2025-07-23,1,BOS,PHI,0,1,9,8,11,Weissert,Johnson
2025,2025-07-25,1,BOS,LAD,1,0,2,5,9,Sheehan,Bello
2025,2025-07-26,1,BOS,LAD,1,1,4,2,9,Crochet,Kershaw
2025,2025-07-27,1,BOS,LAD,1,1,4,3,9,Bernardino,May
2025,2025-07-28,1,BOS,MIN,0,0,4,5,9,Duran,Hicks
2025,2025-07-29,1,BOS,MIN,0,1,8,5,9,Giolito,Ohl
2025,2025-07-30,1,BOS,MIN,0,1,13,1,9,Bello,Matthews
2025,2025-08-01,1,BOS,HOU,1,1,2,1,10,Weissert,Sousa
2025,2025-08-02,1,BOS,HOU,1,1,7,3,9,Wilson,Gordon
2025,2025-08-03,1,BOS,HOU,1,1,6,1,9,Giolito,Valdez
2025,2025-08-04,1,BOS,KCR,1,1,8,5,9,Bello,Falter
2025,2025-08-05,1,BOS,KCR,1,1,6,2,9,Crochet,Bergert
2025,2025-08-06,1,BOS,KCR,1,0,3,7,9,Wacha,May
2025,2025-08-08,1,BOS,SDP,0,1,10,2,9,Buehler,Pivetta
2025,2025-08-09,1,BOS,SDP,0,0,4,5,10,Adam,Whitlock
2025,2025-08-10,1,BOS,SDP,0,0,2,6,9,Cease,Bello
2025,2025-08-11,1,BOS,HOU,0,0,6,7,9,Javier,Crochet
2025,2025-08-12,1,BOS,HOU,0,1,14,1,9,May,Arrighetti
2025,2025-08-13,1,BOS,HOU,0,0,1,4,9,Brown,Buehler
2025,2025-08-15,1,BOS,MIA,1,1,2,1,9,Chapman,Simpson
2025,2025-08-16,1,BOS,MIA,1,1,7,5,9,Bello,Quantrill
2025,2025-08-17,1,BOS,MIA,1,0,3,5,9,Phillips,Weissert
2025,2025-08-18,1,BOS,BAL,1,0,3,6,9,Rogers,May
2025,2025-08-19,1,BOS,BAL,1,0,3,4,11,Cano,Whitlock
2025,2025-08-21,1,BOS,NYY,0,1,6,3,9,Weissert,Weaver
2025,2025-08-22,1,BOS,NYY,0,1,1,0,9,Bello,Leiter
2025,2025-08-23,1,BOS,NYY,0,1,12,1,9,Crochet,Warren
2025,2025-08-24,1,BOS,NYY,0,0,2,7,9,Rodón,May
2025,2025-08-25,1,BOS,BAL,0,1,4,3,9,Fitts,Sugano
2025,2025-08-26,1,BOS,BAL,0,1,5,0,9,Giolito,Bradish
2025,2025-08-27,1,BOS,BAL,0,1,3,2,9,Weissert,Akin
2025,2025-08-28,1,BOS,BAL,0,1,3,2,9,Hicks,Garcia
2025,2025-08-29,1,BOS,PIT,1,0,2,4,9,Skenes,Weissert
2025,2025-08-30,1,BOS,PIT,1,0,3,10,9,Oviedo,May
2025,2025-08-31,1,BOS,PIT,1,1,5,2,9,Giolito,Keller
2025,2025-09-01,1,BOS,CLE,1,1,6,4,9,Bello,Sabrowski
2025,2025-09-02,1,BOS,CLE,1,1,11,7,9,Slaten,Gaddis
2025,2025-09-03,1,BOS,CLE,1,0,1,8,9,Cantillo,Bernardino
2025,2025-09-05,1,BOS,ARI,0,0,5,10,9,Rodríguez,Tolle
2025,2025-09-06,1,BOS,ARI,0,0,1,5,9,Pfaadt,Giolito
2025,2025-09-07,1,BOS,ARI,0,1,7,4,9,Whitlock,Rashi
2025,2025-09-08,1,BOS,ATH,0,1,7,0,9,Crochet,Morales
2025,2025-09-09,1,BOS,ATH,0,1,6,0,9,Early,Springs
2025,2025-09-10,1,BOS,ATH,0,0,4,5,9,Harris,Chapman
2025,2025-09-12,1,BOS,NYY,1,0,1,4,9,Gil,Giolito
