season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2025,2025-03-18,1,CHC,LAD,1,0,1,4,9,Yamamoto,Brown
2025,2025-03-19,1,CHC,LAD,1,0,3,6,9,Knack,Steele
2025,2025-03-27,1,CHC,ARI,0,1,10,6,9,Steele,Gallen
2025,2025-03-28,1,CHC,ARI,0,0,1,8,9,Kelly,Taillon
2025,2025-03-29,1,CHC,ARI,0,1,4,3,9,Imanaga,Pfaadt
2025,2025-03-30,1,CHC,ARI,0,0,6,10,9,Martinez,Morgan
2025,2025-03-31,1,CHC,ATH,0,1,18,3,9,Brown,Estes
2025,2025-04-01,1,CHC,ATH,0,1,7,4,9,Steele,Severino
2025,2025-04-02,1,CHC,ATH,0,1,10,2,9,Taillon,Springs
2025,2025-04-04,1,CHC,SDP,1,1,3,1,9,Imanaga,Vásquez
2025,2025-04-05,1,CHC,SDP,1,1,7,1,9,Boyd,Pivetta
2025,2025-04-06,1,CHC,SDP,1,0,7,8,9,Adam,Pressly
2025,2025-04-07,1,CHC,TEX,1,1,7,0,9,Steele,Eovaldi
2025,2025-04-08,1,CHC,TEX,1,1,10,6,9,Hodge,Martin
2025,2025-04-09,1,CHC,TEX,1,0,2,6,9,Mahle,Imanaga
2025,2025-04-11,1,CHC,LAD,0,0,0,3,9,Yamamoto,Boyd
2025,2025-04-12,1,CHC,LAD,0,1,16,0,9,Brown,Sasaki
2025,2025-04-13,1,CHC,LAD,0,1,4,2,9,Roberts,Treinen
2025,2025-04-14,1,CHC,SDP,0,0,4,10,9,Morejón,Pearson
2025,2025-04-15,1,CHC,SDP,0,1,2,1,10,Pressly,Matsui
2025,2025-04-16,1,CHC,SDP,0,0,2,4,9,Pivetta,Boyd
2025,2025-04-18,1,CHC,ARI,1,1,13,11,9,Pressly,Mantiply
2025,2025-04-19,1,CHC,ARI,1,1,6,2,9,Thielbar,Gallen
2025,2025-04-20,1,CHC,ARI,1,0,2,3,11,Miller,Wicks
2025,2025-04-22,1,CHC,LAD,1,1,11,10,10,Hodge,Davis
2025,2025-04-23,1,CHC,LAD,1,1,7,6,9,Boyd,Dreyer
2025,2025-04-25,1,CHC,PHI,1,1,4,0,9,Rea,Walker
2025,2025-04-26,1,CHC,PHI,1,0,4,10,9,Luzardo,Brown
2025,2025-04-27,1,CHC,PHI,1,0,1,3,10,Alvarado,Merryweather
2025,2025-04-29,1,CHC,PIT,0,1,9,0,9,Imanaga,Heaney
2025,2025-04-30,1,CHC,PIT,0,0,3,4,9,Ferguson,Thielbar
2025,2025-05-01,1,CHC,PIT,0,1,8,3,9,Rea,Skenes
2025,2025-05-02,1,CHC,MIL,0,1,10,0,9,Brown,Alexander
2025,2025-05-03,1,CHC,MIL,0,1,6,2,9,Taillon,Quintana
2025,2025-05-04,1,CHC,MIL,0,0,0,4,9,Peralta,Imanaga
2025,2025-05-05,1,CHC,SFG,1,1,9,2,9,Boyd,Roupp
2025,2025-05-06,1,CHC,SFG,1,0,5,14,11,Miller,Pressly
2025,2025-05-07,1,CHC,SFG,1,0,1,3,9,Ray,Brown
2025,2025-05-09,1,CHC,NYM,0,0,2,7,9,Holmes,Taillon
2025,2025-05-10,1,CHC,NYM,0,1,6,5,9,Horton,Megill
2025,2025-05-11,1,CHC,NYM,0,0,2,6,9,Stanek,Hodge
2025,2025-05-12,1,CHC,MIA,1,1,5,2,9,Rea,Quantrill
2025,2025-05-13,1,CHC,MIA,1,1,5,4,9,Flexen,Tinoco
2025,2025-05-14,1,CHC,MIA,1,0,1,3,9,Weathers,Taillon
2025,2025-05-16,1,CHC,CHW,1,1,13,3,9,Horton,Smith
2025,2025-05-17,1,CHC,CHW,1,1,7,3,9,Boyd,Burke
2025,2025-05-18,1,CHC,CHW,1,1,6,2,9,Pomeranz,Cannon
2025,2025-05-19,1,CHC,MIA,0,0,7,8,9,Bellozo,Palencia
2025,2025-05-20,1,CHC,MIA,0,1,14,1,9,Taillon,Faucher
2025,2025-05-21,1,CHC,MIA,0,1,2,1,9,Keller,Bender
2025,2025-05-23,1,CHC,CIN,0,1,13,6,9,Flexen,Santillan
2025,2025-05-24,1,CHC,CIN,0,0,4,6,9,Abbott,Rea
2025,2025-05-25,1,CHC,CIN,0,1,11,8,9,Pomeranz,Rogers
2025,2025-05-26,1,CHC,COL,1,1,3,1,9,Taillon,Palmquist
2025,2025-05-27,1,CHC,COL,1,1,4,3,11,Flexen,Kinley
2025,2025-05-28,1,CHC,COL,1,1,2,1,9,Boyd,Gordon
2025,2025-05-30,1,CHC,CIN,1,0,2,6,9,Abbott,Rea
2025,2025-05-31,1,CHC,CIN,1,1,2,0,9,Keller,Ashcraft
2025,2025-06-01,1,CHC,CIN,1,1,7,3,9,Taillon,Martinez
2025,2025-06-03,1,CHC,WSN,0,1,8,3,9,Horton,Williams
2025,2025-06-04,1,CHC,WSN,0,0,0,2,9,Gore,Boyd
2025,2025-06-05,1,CHC,WSN,0,1,7,1,9,Rea,Irvin
2025,2025-06-06,1,CHC,DET,0,0,1,3,9,Skubal,Brown
2025,2025-06-07,1,CHC,DET,0,1,6,1,9,Taillon,Holton
2025,2025-06-08,1,CHC,DET,0,0,0,4,9,Flaherty,Horton
2025,2025-06-09,1,CHC,PHI,0,0,3,4,11,Hernández,Palencia
2025,2025-06-10,1,CHC,PHI,0,1,8,4,9,Thielbar,Walker
2025,2025-06-11,1,CHC,PHI,0,0,2,7,9,Luzardo,Brown
2025,2025-06-12,1,CHC,PIT,1,1,3,2,9,Taillon,Heaney
2025,2025-06-13,1,CHC,PIT,1,0,1,2,10,Santana,Pomeranz
2025,2025-06-14,1,CHC,PIT,1,1,2,1,9,Boyd,Borucki
2025,2025-06-15,1,CHC,PIT,1,1,3,2,10,Flexen,Bednar
2025,2025-06-17,1,CHC,MIL,1,1,5,3,9,Brown,Patrick
2025,2025-06-19,1,CHC,MIL,1,0,7,8,9,Peralta,Taillon
2025,2025-06-20,1,CHC,SEA,1,0,4,9,9,Bazardo,Thielbar
2025,2025-06-21,1,CHC,SEA,1,1,10,7,9,Keller,Hancock
2025,2025-06-22,1,CHC,SEA,1,0,6,14,9,Gilbert,Rea
2025,2025-06-23,1,CHC,STL,0,0,2,8,9,Liberatore,Brown
2025,2025-06-24,1,CHC,STL,0,0,7,8,9,Matz,Taillon
2025,2025-06-25,1,CHC,STL,0,1,8,0,9,Boyd,Fedde
2025,2025-06-26,1,CHC,STL,0,1,3,0,9,Imanaga,Pallante
