season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2024,2024-03-28,1,CHW,DET,1,0,0,1,9,Skubal,Crochet
2024,2024-03-30,1,CHW,DET,1,0,6,7,10,Miller,García
2024,2024-03-31,1,CHW,DET,1,0,2,3,9,Holton,Wilson
2024,2024-04-01,1,CHW,ATL,1,0,0,9,8,Morton,Flexen
2024,2024-04-02,1,CHW,ATL,1,1,3,2,9,Crochet,Minter
2024,2024-04-04,1,CHW,KCR,0,0,1,10,9,Lugo,Soroka
2024,2024-04-05,1,CHW,KCR,0,0,1,2,9,Stratton,Kopech
2024,2024-04-06,1,CHW,KCR,0,0,0,3,9,Wacha,Flexen
2024,2024-04-07,1,CHW,KCR,0,0,3,5,9,Schreiber,García
2024,2024-04-08,1,CHW,CLE,0,0,0,4,9,McKenzie,Banks
2024,2024-04-09,1,CHW,CLE,0,1,7,5,9,Wilson,Barlow
2024,2024-04-10,1,CHW,CLE,0,0,6,7,10,Morgan,Shaw
2024,2024-04-12,1,CHW,CIN,1,0,1,11,9,Abbott,Flexen
2024,2024-04-13,1,CHW,CIN,1,0,0,5,9,Lodolo,Crochet
2024,2024-04-14,1,CHW,CIN,1,0,4,11,9,Ashcraft,Soroka
2024,2024-04-15,1,CHW,KCR,1,0,0,2,9,Lugo,Nastrini
2024,2024-04-17,1,CHW,KCR,1,0,2,4,9,Anderson,Kopech
2024,2024-04-17,2,CHW,KCR,1,1,2,1,9,Fedde,Wacha
2024,2024-04-19,1,CHW,PHI,0,0,0,7,9,Turnbull,Crochet
2024,2024-04-20,1,CHW,PHI,0,0,5,9,9,Wheeler,Soroka
2024,2024-04-21,1,CHW,PHI,0,0,2,8,9,Nola,Nastrini
2024,2024-04-22,1,CHW,MIN,0,0,0,7,9,Paddack,Cannon
2024,2024-04-23,1,CHW,MIN,0,0,5,6,9,Jackson,Wilson
2024,2024-04-24,1,CHW,MIN,0,0,3,6,9,Ryan,Crochet
2024,2024-04-25,1,CHW,MIN,0,0,3,6,9,Sands,Banks
2024,2024-04-26,1,CHW,TBR,1,1,9,4,9,Flexen,Eflin
2024,2024-04-27,1,CHW,TBR,1,1,8,7,10,García,Maton
2024,2024-04-28,1,CHW,TBR,1,1,4,2,9,Fedde,Littell
2024,2024-04-29,1,CHW,MIN,1,0,2,3,9,Jax,Brebbia
2024,2024-04-30,1,CHW,MIN,1,0,5,6,9,Thielbar,Kopech
2024,2024-05-01,1,CHW,MIN,1,0,5,10,9,Ober,Leone
2024,2024-05-03,1,CHW,STL,0,0,0,3,9,Gray,Keller
2024,2024-05-04,1,CHW,STL,0,1,6,5,10,Kopech,Fernandez
2024,2024-05-05,1,CHW,STL,0,1,5,1,9,Crochet,Gallegos
2024,2024-05-06,1,CHW,TBR,0,0,2,8,9,Ramírez,Clevinger
2024,2024-05-07,1,CHW,TBR,0,0,1,5,9,Eflin,Soroka
2024,2024-05-08,1,CHW,TBR,0,1,4,1,9,Flexen,Civale
2024,2024-05-09,1,CHW,CLE,1,1,3,2,9,Fedde,Lively
2024,2024-05-10,1,CHW,CLE,1,1,6,3,9,Crochet,Carrasco
2024,2024-05-11,1,CHW,CLE,1,1,3,1,9,Hill,McKenzie
2024,2024-05-12,1,CHW,CLE,1,0,0,7,9,Allen,Soroka
2024,2024-05-14,1,CHW,WSN,1,0,3,6,9,Law,Brebbia
2024,2024-05-14,2,CHW,WSN,1,1,4,0,9,Fedde,Parker
2024,2024-05-15,1,CHW,WSN,1,1,2,0,9,Crochet,Corbin
2024,2024-05-17,1,CHW,NYY,0,0,2,4,9,Cortés,Clevinger
2024,2024-05-18,1,CHW,NYY,0,0,1,6,9,Gil,Keller
2024,2024-05-19,1,CHW,NYY,0,0,2,7,9,Rodón,Flexen
2024,2024-05-20,1,CHW,TOR,0,0,3,9,9,Berríos,Fedde
2024,2024-05-21,1,CHW,TOR,0,1,5,0,9,Crochet,Kikuchi
2024,2024-05-22,1,CHW,TOR,0,0,2,9,9,Bassitt,Nastrini
2024,2024-05-23,1,CHW,BAL,1,0,6,8,9,Rodriguez,Clevinger
2024,2024-05-24,1,CHW,BAL,1,0,4,6,9,Cano,Brebbia
2024,2024-05-25,1,CHW,BAL,1,0,3,5,9,Tate,Kopech
2024,2024-05-26,1,CHW,BAL,1,0,1,4,9,Bradish,Crochet
2024,2024-05-27,1,CHW,TOR,1,0,1,5,9,Bassitt,Nastrini
2024,2024-05-28,1,CHW,TOR,1,0,2,7,9,Gausman,Woodford
2024,2024-05-29,1,CHW,TOR,1,0,1,3,9,Richards,Flexen
2024,2024-05-31,1,CHW,MIL,0,0,5,12,9,Paredes,Soroka
2024,2024-06-01,1,CHW,MIL,0,0,3,4,10,Milner,Kopech
2024,2024-06-02,1,CHW,MIL,0,0,3,6,9,Peralta,Nastrini
2024,2024-06-04,1,CHW,CHC,0,0,6,7,9,Little,Leasure
2024,2024-06-05,1,CHW,CHC,0,0,6,7,9,Neris,Kopech
2024,2024-06-06,1,CHW,BOS,1,0,2,14,9,Houck,Woodford
2024,2024-06-07,1,CHW,BOS,1,1,7,2,9,Crochet,Criswell
2024,2024-06-08,1,CHW,BOS,1,1,6,1,9,Banks,Bello
2024,2024-06-09,1,CHW,BOS,1,0,4,6,10,Jansen,Soroka
2024,2024-06-10,1,CHW,SEA,0,0,4,8,9,Stanek,Leasure
2024,2024-06-11,1,CHW,SEA,0,0,3,4,9,Thornton,Brebbia
2024,2024-06-12,1,CHW,SEA,0,0,1,2,10,Thornton,Wilson
2024,2024-06-13,1,CHW,SEA,0,1,3,2,10,Kopech,Muñoz
2024,2024-06-14,1,CHW,ARI,0,0,1,7,9,Nelson,Flexen
2024,2024-06-15,1,CHW,ARI,0,1,9,2,9,Fedde,Vieira
2024,2024-06-16,1,CHW,ARI,0,0,5,12,9,Montgomery,Thorpe
