season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2025,2025-03-27,1,CIN,SFG,1,0,4,6,9,Rogers,Gibaut
2025,2025-03-29,1,CIN,SFG,1,1,3,2,9,Lodolo,Bivens
2025,2025-03-30,1,CIN,SFG,1,0,3,6,9,Ray,Martinez
2025,2025-03-31,1,CIN,TEX,1,1,14,3,9,Singer,Rocker
2025,2025-04-01,1,CIN,TEX,1,0,0,1,9,Eovaldi,Spiers
2025,2025-04-02,1,CIN,TEX,1,0,0,1,9,Leiter,Greene
2025,2025-04-03,1,CIN,MIL,0,0,0,1,9,Cortés,Lodolo
2025,2025-04-04,1,CIN,MIL,0,0,2,3,9,Alexander,Martinez
2025,2025-04-05,1,CIN,MIL,0,1,11,7,9,Singer,Rodríguez
2025,2025-04-06,1,CIN,MIL,0,0,2,8,9,Patrick,Spiers
2025,2025-04-07,1,CIN,SFG,0,1,2,0,9,Greene,Doval
2025,2025-04-08,1,CIN,SFG,0,1,1,0,9,Lodolo,Roupp
2025,2025-04-09,1,CIN,SFG,0,0,6,8,10,Miller,Pagán
2025,2025-04-11,1,CIN,PIT,1,1,5,3,9,Singer,Falter
2025,2025-04-12,1,CIN,PIT,1,1,5,2,9,Abbott,Heaney
2025,2025-04-13,1,CIN,PIT,1,1,4,0,9,Greene,Mlodzinski
2025,2025-04-15,1,CIN,SEA,1,1,8,4,9,Barlow,Castillo
2025,2025-04-16,1,CIN,SEA,1,0,3,5,9,Miller,Martinez
2025,2025-04-17,1,CIN,SEA,1,0,7,11,10,Legumina,Ashcraft
2025,2025-04-18,1,CIN,BAL,0,1,8,3,9,Abbott,Povich
2025,2025-04-19,1,CIN,BAL,0,0,5,9,9,Domínguez,Greene
2025,2025-04-20,1,CIN,BAL,0,1,24,2,9,Rogers,Morton
2025,2025-04-21,1,CIN,MIA,0,0,3,6,9,Meyer,Lodolo
2025,2025-04-22,1,CIN,MIA,0,0,3,4,9,Bachar,Ashcraft
2025,2025-04-23,1,CIN,MIA,0,1,5,2,9,Singer,Alcantara
2025,2025-04-25,1,CIN,COL,0,1,8,7,9,Ashcraft,Chivilli
2025,2025-04-26,1,CIN,COL,0,1,6,4,9,Greene,Senzatela
2025,2025-04-27,1,CIN,COL,0,1,8,1,9,Lodolo,Blalock
2025,2025-04-28,1,CIN,STL,1,1,3,1,9,Martinez,Pallante
2025,2025-04-30,1,CIN,STL,1,0,0,6,9,Mikolas,Singer
2025,2025-04-30,2,CIN,STL,1,0,1,9,9,Graceffo,Petty
2025,2025-05-01,1,CIN,STL,1,1,9,1,9,Ashcraft,Liberatore
2025,2025-05-02,1,CIN,WSN,1,1,6,1,9,Greene,Parker
2025,2025-05-03,1,CIN,WSN,1,0,6,11,9,Williams,Lodolo
2025,2025-05-04,1,CIN,WSN,1,0,1,4,9,López,Ashcraft
2025,2025-05-05,1,CIN,ATL,0,0,0,4,9,Smith-Shawver,Singer
2025,2025-05-06,1,CIN,ATL,0,0,1,2,10,Iglesias,Richardson
2025,2025-05-07,1,CIN,ATL,0,1,4,3,9,Suter,Holmes
2025,2025-05-08,1,CIN,ATL,0,0,4,5,11,Blewett,Rogers
2025,2025-05-09,1,CIN,HOU,0,0,0,3,9,Brown,Martinez
2025,2025-05-10,1,CIN,HOU,0,1,13,9,9,Ashcraft,McCullers
2025,2025-05-11,1,CIN,HOU,0,0,0,6,9,Blanco,Petty
2025,2025-05-13,1,CIN,CHW,1,0,1,5,10,Wilson,Pagán
2025,2025-05-14,1,CIN,CHW,1,0,2,4,9,Martin,Lodolo
2025,2025-05-15,1,CIN,CHW,1,1,7,1,9,Martinez,Wilson
2025,2025-05-16,1,CIN,CLE,1,1,5,4,9,Singer,Bibee
2025,2025-05-17,1,CIN,CLE,1,1,4,1,9,Mey,Cecconi
2025,2025-05-18,1,CIN,CLE,1,1,3,1,9,Abbott,Ortiz
2025,2025-05-19,1,CIN,PIT,0,1,7,1,9,Lodolo,Keller
2025,2025-05-20,1,CIN,PIT,0,0,0,1,9,Falter,Martinez
2025,2025-05-21,1,CIN,PIT,0,0,1,3,9,Heaney,Singer
2025,2025-05-23,1,CIN,CHC,1,0,6,13,9,Flexen,Santillan
2025,2025-05-24,1,CIN,CHC,1,1,6,4,9,Abbott,Rea
2025,2025-05-25,1,CIN,CHC,1,0,8,11,9,Pomeranz,Rogers
2025,2025-05-26,1,CIN,KCR,0,1,7,4,9,Martinez,Lorenzen
2025,2025-05-27,1,CIN,KCR,0,1,7,2,9,Singer,Clarke
2025,2025-05-28,1,CIN,KCR,0,0,2,3,9,Cameron,Greene
2025,2025-05-30,1,CIN,CHC,0,1,6,2,9,Abbott,Rea
2025,2025-05-31,1,CIN,CHC,0,0,0,2,9,Keller,Ashcraft
2025,2025-06-01,1,CIN,CHC,0,0,3,7,9,Taillon,Martinez
2025,2025-06-02,1,CIN,MIL,1,0,2,3,9,Civale,Singer
2025,2025-06-03,1,CIN,MIL,1,1,4,2,9,Ashcraft,Peralta
2025,2025-06-04,1,CIN,MIL,1,0,1,9,9,Priester,Abbott
2025,2025-06-06,1,CIN,ARI,1,1,4,3,10,Santillan,Thompson
2025,2025-06-07,1,CIN,ARI,1,1,13,1,9,Martinez,Nelson
2025,2025-06-08,1,CIN,ARI,1,1,4,2,9,Rogers,Gallen
2025,2025-06-09,1,CIN,CLE,0,1,7,4,9,Miley,Ortiz
2025,2025-06-10,1,CIN,CLE,0,1,1,0,9,Abbott,Cecconi
2025,2025-06-11,1,CIN,CLE,0,0,2,11,9,Allen,Lodolo
2025,2025-06-13,1,CIN,DET,0,0,5,11,9,Montero,Martinez
2025,2025-06-14,1,CIN,DET,0,1,11,1,9,Singer,Flaherty
2025,2025-06-15,1,CIN,DET,0,1,8,4,9,Ashcraft,Vest
2025,2025-06-17,1,CIN,MIN,1,1,6,5,9,Barlow,Stewart
2025,2025-06-18,1,CIN,MIN,1,1,4,2,6,Lodolo,Ober
2025,2025-06-19,1,CIN,MIN,1,0,5,12,9,Paddack,Martinez
2025,2025-06-20,1,CIN,STL,0,0,1,6,9,Pallante,Singer
2025,2025-06-21,1,CIN,STL,0,0,5,6,11,Maton,Petty
2025,2025-06-22,1,CIN,STL,0,1,4,1,9,Abbott,Mikolas
2025,2025-06-23,1,CIN,NYY,1,1,6,1,9,Barlow,Winans
2025,2025-06-24,1,CIN,NYY,1,1,5,4,11,Phillips,Leiter
2025,2025-06-25,1,CIN,NYY,1,0,1,7,9,Fried,Singer
2025,2025-06-27,1,CIN,SDP,1,1,8,1,9,Martinez,Cease
2025,2025-06-28,1,CIN,SDP,1,0,4,6,9,Hoeing,Richardson
2025,2025-06-29,1,CIN,SDP,1,1,3,2,9,Pagán,Suarez
2025,2025-06-30,1,CIN,BOS,0,0,6,13,9,Crochet,Burns
2025,2025-07-01,1,CIN,BOS,0,0,3,5,9,Bello,Richardson
2025,2025-07-02,1,CIN,BOS,0,1,8,4,9,Martinez,Weissert
2025,2025-07-04,1,CIN,PHI,0,1,9,6,9,Moll,Luzardo
2025,2025-07-05,1,CIN,PHI,0,0,1,5,9,Romano,Lodolo
2025,2025-07-06,1,CIN,PHI,0,0,1,3,9,Wheeler,Santillan
2025,2025-07-07,1,CIN,MIA,1,0,1,5,9,Junk,Singer
2025,2025-07-08,1,CIN,MIA,1,0,2,12,9,Pérez,Martinez
2025,2025-07-09,1,CIN,MIA,1,1,7,2,9,Abbott,Alcantara
2025,2025-07-10,1,CIN,MIA,1,1,6,0,9,Lodolo,Quantrill
2025,2025-07-11,1,CIN,COL,1,0,2,3,9,Bird,Santillan
2025,2025-07-12,1,CIN,COL,1,1,4,3,9,Pagán,Vodnik
2025,2025-07-13,1,CIN,COL,1,1,4,2,9,Martinez,Gomber
2025,2025-07-18,1,CIN,NYM,0,1,8,4,9,Lodolo,Carrillo
2025,2025-07-19,1,CIN,NYM,0,1,5,2,9,Martinez,Holmes
2025,2025-07-20,1,CIN,NYM,0,0,2,3,9,Díaz,Suter
2025,2025-07-21,1,CIN,WSN,0,0,8,10,9,Chafin,Singer
2025,2025-07-22,1,CIN,WSN,0,0,1,6,9,Pilkington,Burns
2025,2025-07-23,1,CIN,WSN,0,1,5,0,9,Lodolo,Soroka
2025,2025-07-25,1,CIN,TBR,1,1,7,2,9,Martinez,Littell
2025,2025-07-26,1,CIN,TBR,1,1,6,2,9,Ashcraft,Baker
2025,2025-07-27,1,CIN,TBR,1,1,2,1,9,Singer,Baz
2025,2025-07-28,1,CIN,LAD,1,0,2,5,9,Yamamoto,Burns
2025,2025-07-29,1,CIN,LAD,1,0,4,5,9,Díaz,Pagán
2025,2025-07-30,1,CIN,LAD,1,1,5,2,9,Barlow,Sheehan
2025,2025-07-31,1,CIN,ATL,1,0,11,12,10,Johnson,Pagán
2025,2025-08-01,1,CIN,ATL,1,1,3,2,9,Singer,Elder
2025,2025-08-02,1,CIN,ATL,1,0,2,4,9,Waldrep,Suter
2025,2025-08-04,1,CIN,CHC,0,1,3,2,9,Barlow,Brasier
2025,2025-08-05,1,CIN,CHC,0,1,5,1,9,Littell,Kittredge
2025,2025-08-06,1,CIN,CHC,0,0,1,6,9,Horton,Abbott
2025,2025-08-07,1,CIN,PIT,0,0,0,7,9,Skenes,Singer
2025,2025-08-08,1,CIN,PIT,0,0,2,3,9,Nicolas,Santillan
2025,2025-08-09,1,CIN,PIT,0,1,2,1,9,Martinez,Mlodzinski
2025,2025-08-10,1,CIN,PIT,0,1,14,8,9,Barlow,Ramírez
2025,2025-08-11,1,CIN,PHI,1,0,1,4,9,Romano,Abbott
2025,2025-08-12,1,CIN,PHI,1,1,6,1,9,Singer,Suarez
2025,2025-08-13,1,CIN,PHI,1,1,8,0,9,Greene,Sánchez
2025,2025-08-15,1,CIN,MIL,1,0,8,10,9,Mears,Barlow
2025,2025-08-16,1,CIN,MIL,1,0,5,6,11,Megill,La Sorsa
2025,2025-08-17,1,CIN,MIL,1,1,3,2,10,Ashcraft,Anderson
2025,2025-08-18,1,CIN,LAA,0,1,4,1,9,Singer,Mederos
2025,2025-08-19,1,CIN,LAA,0,1,6,4,9,Mey,Jansen
2025,2025-08-20,1,CIN,LAA,0,0,1,2,9,Detmers,Ashcraft
2025,2025-08-22,1,CIN,ARI,0,0,5,6,11,Beeks,Barlow
2025,2025-08-23,1,CIN,ARI,0,0,1,10,9,Crismatt,Abbott
2025,2025-08-24,1,CIN,ARI,0,1,6,1,9,Ashcraft,Backhus
2025,2025-08-25,1,CIN,LAD,0,0,0,7,9,Sheehan,Greene
2025,2025-08-26,1,CIN,LAD,0,0,3,6,9,Kershaw,Martinez
2025,2025-08-27,1,CIN,LAD,0,0,1,5,9,Ohtani,Lodolo
2025,2025-08-29,1,CIN,STL,1,0,5,7,10,Svanson,Santillan
2025,2025-08-30,1,CIN,STL,1,0,2,4,9,McGreevy,Abbott
2025,2025-08-31,1,CIN,STL,1,1,7,4,9,Singer,Pallante
2025,2025-09-01,1,CIN,TOR,1,1,5,4,9,Zulueta,Little
2025,2025-09-02,1,CIN,TOR,1,0,9,12,9,Varland,Barlow
2025,2025-09-03,1,CIN,TOR,1,0,9,13,9,Bieber,Martinez
2025,2025-09-05,1,CIN,NYM,1,0,4,5,9,Peterson,Abbott
2025,2025-09-06,1,CIN,NYM,1,1,6,3,9,Singer,Tong
2025,2025-09-07,1,CIN,NYM,1,1,3,2,9,Greene,Sproat
2025,2025-09-08,1,CIN,SDP,0,0,3,4,10,Peralta,Martinez
2025,2025-09-09,1,CIN,SDP,0,1,4,2,9,Phillips,Suarez
2025,2025-09-10,1,CIN,SDP,0,1,2,1,9,Abbott,Morejón
2025,2025-09-12,1,CIN,ATH,0,0,0,3,9,Ferguson,Singer
2025,2025-09-13,1,CIN,ATH,0,0,5,11,9,Basso,Martinez
2025,2025-09-14,1,CIN,ATH,0,0,4,7,9,Morales,Lodolo
2025,2025-09-15,1,CIN,STL,0,1,11,6,9,Phillips,Fernandez
2025,2025-09-16,1,CIN,STL,0,0,0,3,9,McGreevy,Abbott
2025,2025-09-17,1,CIN,STL,0,1,6,2,9,Singer,Pallante
2025,2025-09-18,1,CIN,CHC,1,1,1,0,9,Greene,Rea
2025,2025-09-19,1,CIN,CHC,1,1,7,4,9,Phillips,Hodge
2025,2025-09-20,1,CIN,CHC,1,1,6,3,9,Littell,Pomeranz
2025,2025-09-21,1,CIN,CHC,1,1,1,0,9,Martinez,Taillon
2025,2025-09-23,1,CIN,PIT,1,0,2,4,9,Barco,Singer
2025,2025-09-24,1,CIN,PIT,1,0,3,4,11,Ramírez,Martinez
2025,2025-09-25,1,CIN,PIT,1,1,2,1,9,Lodolo,Ashcraft
2025,2025-09-26,1,CIN,MIL,0,1,3,1,9,Phillips,Priester
2025,2025-09-27,1,CIN,MIL,0,1,7,4,9,Abbott,Gasser
2025,2025-09-28,1,CIN,MIL,0,0,2,4,9,Megill,Singer
