season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2025,2025-03-27,1,CLE,KCR,0,1,7,4,10,Clase,Long
2025,2025-03-29,1,CLE,KCR,0,0,3,4,9,Lynch,Sewald
2025,2025-03-30,1,CLE,KCR,0,1,6,2,9,Bibee,Wacha
2025,2025-03-31,1,CLE,SDP,0,0,2,7,9,Hart,Ortiz
2025,2025-04-01,1,CLE,SDP,0,0,0,7,9,King,Allen
2025,2025-04-02,1,CLE,SDP,0,0,2,5,9,Cease,Lively
2025,2025-04-04,1,CLE,LAA,0,1,8,6,9,Herrin,Soriano
2025,2025-04-05,1,CLE,LAA,0,0,4,10,9,Kochanowicz,Bibee
2025,2025-04-06,1,CLE,LAA,0,0,2,6,9,Zeferjahn,Ortiz
2025,2025-04-08,1,CLE,CHW,1,1,1,0,9,Clase,Clevinger
2025,2025-04-09,1,CLE,CHW,1,1,3,2,9,Sewald,Burke
2025,2025-04-10,1,CLE,CHW,1,1,6,1,9,Williams,Cannon
2025,2025-04-11,1,CLE,KCR,1,1,7,0,9,Herrin,Bubic
2025,2025-04-12,1,CLE,KCR,1,1,6,3,9,Ortiz,Lorenzen
2025,2025-04-13,1,CLE,KCR,1,0,2,4,9,Ragans,Lively
2025,2025-04-15,1,CLE,BAL,0,1,6,3,9,Allen,Morton
2025,2025-04-16,1,CLE,BAL,0,0,1,9,9,Kremer,Williams
2025,2025-04-17,1,CLE,BAL,0,0,2,6,9,Sugano,Bibee
2025,2025-04-18,1,CLE,PIT,0,1,10,7,9,Ortiz,Mlodzinski
2025,2025-04-19,1,CLE,PIT,0,1,3,0,9,Lively,Skenes
2025,2025-04-20,1,CLE,PIT,0,1,5,4,10,Clase,Santana
2025,2025-04-21,1,CLE,NYY,1,1,6,4,9,Williams,Schmidt
2025,2025-04-22,1,CLE,NYY,1,1,3,2,9,Bibee,Leiter
2025,2025-04-23,1,CLE,NYY,1,0,1,5,9,Rodón,Ortiz
2025,2025-04-26,1,CLE,BOS,1,1,5,4,9,Herrin,Bernardino
2025,2025-04-26,2,CLE,BOS,1,0,3,7,9,Buehler,Nikhazy
2025,2025-04-27,1,CLE,BOS,1,0,3,13,9,Bello,Allen
2025,2025-04-28,1,CLE,MIN,1,0,1,11,9,Ober,Williams
2025,2025-04-29,1,CLE,MIN,1,1,2,1,9,Clase,Varland
2025,2025-04-30,1,CLE,MIN,1,1,4,2,9,Smith,López
2025,2025-05-01,1,CLE,MIN,1,1,4,3,10,Allard,Topa
2025,2025-05-02,1,CLE,TOR,0,0,3,5,9,Little,Junis
2025,2025-05-03,1,CLE,TOR,0,1,5,3,9,Allard,García
2025,2025-05-04,1,CLE,TOR,0,1,5,4,9,Bibee,Francis
2025,2025-05-06,1,CLE,WSN,0,0,9,10,9,López,Smith
2025,2025-05-06,2,CLE,WSN,0,1,9,1,9,Lively,Lord
2025,2025-05-07,1,CLE,WSN,0,1,8,6,9,Cantillo,Soroka
2025,2025-05-09,1,CLE,PHI,1,1,6,0,9,Williams,Nola
2025,2025-05-10,1,CLE,PHI,1,0,1,7,9,Suarez,Bibee
2025,2025-05-11,1,CLE,PHI,1,0,0,3,9,Wheeler,Ortiz
2025,2025-05-12,1,CLE,MIL,1,1,5,0,9,Junis,Peralta
2025,2025-05-13,1,CLE,MIL,1,1,2,0,9,Allen,Priester
2025,2025-05-14,1,CLE,MIL,1,0,5,9,9,Henderson,Herrin
2025,2025-05-16,1,CLE,CIN,0,0,4,5,9,Singer,Bibee
2025,2025-05-17,1,CLE,CIN,0,0,1,4,9,Mey,Cecconi
2025,2025-05-18,1,CLE,CIN,0,0,1,3,9,Abbott,Ortiz
2025,2025-05-19,1,CLE,MIN,0,0,5,6,9,Duran,Smith
2025,2025-05-21,1,CLE,MIN,0,1,5,1,9,Williams,Paddack
