season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2024,2024-03-28,1,COL,ARI,0,0,1,16,9,Gallen,Freeland
2024,2024-03-29,1,COL,ARI,0,0,3,7,9,Kelly,Quantrill
2024,2024-03-30,1,COL,ARI,0,1,9,4,9,Lambert,Henry
2024,2024-03-31,1,COL,ARI,0,0,1,5,9,Pfaadt,Feltner
2024,2024-04-01,1,COL,CHC,0,0,0,5,9,Imanaga,Hudson
2024,2024-04-02,1,COL,CHC,0,0,2,12,9,Assad,Freeland
2024,2024-04-03,1,COL,CHC,0,0,8,9,9,Alzolay,Mears
2024,2024-04-05,1,COL,TBR,1,1,10,7,9,Beeks,Fairbanks
2024,2024-04-06,1,COL,TBR,1,0,6,8,9,Cleavinger,Beeks
2024,2024-04-07,1,COL,TBR,1,0,2,3,9,Pepiot,Hudson
2024,2024-04-08,1,COL,ARI,1,1,7,5,9,Lambert,McGough
2024,2024-04-09,1,COL,ARI,1,0,2,3,9,Kelly,Quantrill
2024,2024-04-10,1,COL,ARI,1,0,3,5,9,Mantiply,Lawrence
2024,2024-04-12,1,COL,TOR,0,1,12,4,9,Feltner,Gausman
2024,2024-04-13,1,COL,TOR,0,0,3,5,9,Francis,Hudson
2024,2024-04-14,1,COL,TOR,0,0,0,5,9,Berríos,Freeland
2024,2024-04-15,1,COL,PHI,0,0,1,2,10,Domínguez,Bird
2024,2024-04-16,1,COL,PHI,0,0,0,5,9,Suarez,Gomber
2024,2024-04-17,1,COL,PHI,0,0,6,7,9,Sánchez,Feltner
2024,2024-04-20,1,COL,SEA,1,0,0,7,9,Castillo,Hudson
2024,2024-04-21,1,COL,SEA,1,1,2,1,10,Lawrence,Muñoz
2024,2024-04-21,2,COL,SEA,1,0,2,10,9,Hancock,Lambert
2024,2024-04-22,1,COL,SDP,1,0,1,3,9,Cease,Mears
2024,2024-04-23,1,COL,SDP,1,1,7,4,9,Beeks,King
2024,2024-04-24,1,COL,SDP,1,0,2,5,9,Waldron,Blach
2024,2024-04-25,1,COL,SDP,1,1,10,9,9,Kinley,Peralta
2024,2024-04-27,1,COL,HOU,1,0,4,12,9,Blanco,Quantrill
2024,2024-04-28,1,COL,HOU,1,0,2,8,9,Valdez,Gomber
2024,2024-04-30,1,COL,MIA,0,0,6,7,10,Scott,Beeks
2024,2024-05-01,1,COL,MIA,0,0,1,4,9,Muñoz,Hudson
2024,2024-05-02,1,COL,MIA,0,0,4,5,10,Smith,Lawrence
2024,2024-05-03,1,COL,PIT,0,1,3,2,9,Quantrill,Pérez
2024,2024-05-04,1,COL,PIT,0,0,0,1,9,Bednar,Mears
2024,2024-05-05,1,COL,PIT,0,0,3,5,9,Ortiz,Feltner
2024,2024-05-07,1,COL,SFG,1,0,0,5,9,Harrison,Hudson
2024,2024-05-08,1,COL,SFG,1,0,6,8,9,Hicks,Lambert
2024,2024-05-09,1,COL,SFG,1,1,9,1,9,Quantrill,Winn
2024,2024-05-10,1,COL,TEX,1,1,4,2,9,Bird,Anderson
2024,2024-05-11,1,COL,TEX,1,1,8,3,9,Kinley,Robertson
2024,2024-05-12,1,COL,TEX,1,1,3,1,9,Blach,Ureña
2024,2024-05-13,1,COL,SDP,0,1,5,4,9,Hudson,Vásquez
2024,2024-05-14,1,COL,SDP,0,1,6,3,9,Quantrill,Cease
2024,2024-05-15,1,COL,SDP,0,1,8,0,9,Gomber,King
2024,2024-05-17,1,COL,SFG,0,0,5,10,9,Hjelle,Feltner
2024,2024-05-18,1,COL,SFG,0,0,4,14,9,Harrison,Blach
2024,2024-05-19,1,COL,SFG,0,0,1,4,9,Hicks,Hudson
2024,2024-05-21,1,COL,OAK,0,0,4,5,9,Erceg,Kinley
2024,2024-05-22,1,COL,OAK,0,1,4,3,12,Mears,Muller
2024,2024-05-23,1,COL,OAK,0,0,9,10,11,Bielak,Lambert
2024,2024-05-24,1,COL,PHI,1,1,3,2,11,Kinley,Soto
2024,2024-05-25,1,COL,PHI,1,0,4,8,9,Ruiz,Lawrence
2024,2024-05-26,1,COL,PHI,1,1,5,2,9,Quantrill,Suarez
2024,2024-05-27,1,COL,CLE,1,1,8,6,9,Rogers,Curry
2024,2024-05-28,1,COL,CLE,1,0,7,13,9,Smith,Lambert
2024,2024-05-29,1,COL,CLE,1,1,7,4,9,Blach,Allen
2024,2024-05-31,1,COL,LAD,0,1,4,1,9,Hudson,Buehler
2024,2024-06-01,1,COL,LAD,0,0,1,4,9,Yamamoto,Quantrill
2024,2024-06-02,1,COL,LAD,0,0,0,4,9,Stone,Gomber
2024,2024-06-03,1,COL,CIN,1,0,3,13,9,Abbott,Feltner
