season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2024,2024-03-28,1,DET,CHW,0,1,1,0,9,Skubal,Crochet
2024,2024-03-30,1,DET,CHW,0,1,7,6,10,Miller,García
2024,2024-03-31,1,DET,CHW,0,1,3,2,9,Holton,Wilson
2024,2024-04-01,1,DET,NYM,0,1,5,0,10,Foley,Tonkin
2024,2024-04-04,1,DET,NYM,0,1,6,3,11,Miller,Tonkin
2024,2024-04-04,2,DET,NYM,0,0,1,2,9,Garrett,Faedo
2024,2024-04-05,1,DET,OAK,1,1,5,4,9,Foley,Erceg
2024,2024-04-06,1,DET,OAK,1,0,0,4,9,Blackburn,Maeda
2024,2024-04-07,1,DET,OAK,1,0,1,7,9,Boyle,Flaherty
2024,2024-04-08,1,DET,PIT,0,0,4,7,9,Keller,Olson
2024,2024-04-09,1,DET,PIT,0,1,5,3,9,Miller,Bednar
2024,2024-04-12,1,DET,MIN,1,1,8,2,9,Skubal,López
2024,2024-04-13,1,DET,MIN,1,0,5,11,12,Alcala,Lange
2024,2024-04-13,2,DET,MIN,1,0,1,4,9,Woods Richardson,Manning
2024,2024-04-14,1,DET,MIN,1,1,4,3,9,Vest,Jax
2024,2024-04-15,1,DET,TEX,1,0,0,1,9,Lorenzen,Olson
2024,2024-04-16,1,DET,TEX,1,1,4,2,9,Chafin,Ureña
2024,2024-04-17,1,DET,TEX,1,0,4,5,9,Yates,Miller
2024,2024-04-18,1,DET,TEX,1,0,7,9,9,Leclerc,Miller
2024,2024-04-19,1,DET,MIN,0,1,5,4,9,Chafin,Thielbar
2024,2024-04-20,1,DET,MIN,0,0,3,4,9,Ober,Olson
2024,2024-04-21,1,DET,MIN,0,1,6,1,9,Mize,Varland
2024,2024-04-22,1,DET,TBR,0,1,7,1,9,Skubal,Littell
2024,2024-04-23,1,DET,TBR,0,1,4,2,9,Faedo,Poche
2024,2024-04-24,1,DET,TBR,0,0,5,7,9,Devenski,Vest
2024,2024-04-26,1,DET,KCR,1,0,0,8,9,Lugo,Olson
2024,2024-04-27,1,DET,KCR,1,1,6,5,9,Faedo,Stratton
2024,2024-04-28,1,DET,KCR,1,1,4,1,9,Skubal,Wacha
2024,2024-04-30,1,DET,STL,1,0,1,2,9,Liberatore,Miller
2024,2024-04-30,2,DET,STL,1,1,11,6,9,Holton,Leahy
2024,2024-05-01,1,DET,STL,1,1,4,1,9,Maeda,Mikolas
2024,2024-05-03,1,DET,NYY,0,0,1,2,9,Santana,Foley
2024,2024-05-04,1,DET,NYY,0,0,3,5,9,Schmidt,Mize
2024,2024-05-05,1,DET,NYY,0,0,2,5,8,González,Miller
2024,2024-05-06,1,DET,CLE,0,0,1,2,9,Sandlin,Flaherty
2024,2024-05-07,1,DET,CLE,0,1,11,7,9,Holton,Avila
2024,2024-05-08,1,DET,CLE,0,0,4,5,10,Clase,Lange
2024,2024-05-10,1,DET,HOU,1,0,2,5,9,Valdez,Chafin
2024,2024-05-11,1,DET,HOU,1,1,8,2,9,Skubal,Javier
2024,2024-05-12,1,DET,HOU,1,0,3,9,9,Verlander,Flaherty
2024,2024-05-13,1,DET,MIA,1,1,6,5,9,Faedo,Maldonado
2024,2024-05-14,1,DET,MIA,1,0,0,1,10,Scott,Lange
2024,2024-05-15,1,DET,MIA,1,0,0,2,9,Rogers,Mize
2024,2024-05-17,1,DET,ARI,0,1,13,0,9,Skubal,Nelson
2024,2024-05-18,1,DET,ARI,0,1,8,3,9,Flaherty,Gallen
2024,2024-05-19,1,DET,ARI,0,0,4,6,9,Thompson,Holton
2024,2024-05-20,1,DET,KCR,0,0,3,8,9,Wacha,Olson
2024,2024-05-21,1,DET,KCR,0,0,3,10,9,Marsh,Mize
2024,2024-05-22,1,DET,KCR,0,0,3,8,9,Ragans,Skubal
2024,2024-05-23,1,DET,TOR,1,0,1,9,9,Gausman,Flaherty
2024,2024-05-24,1,DET,TOR,1,1,6,2,9,Maeda,Manoah
2024,2024-05-25,1,DET,TOR,1,1,2,1,9,Olson,Berríos
2024,2024-05-26,1,DET,TOR,1,1,14,11,9,Englert,Romano
2024,2024-05-29,1,DET,PIT,1,1,8,0,9,Skubal,Jones
2024,2024-05-29,2,DET,PIT,1,0,2,10,9,Skenes,Montero
2024,2024-05-30,1,DET,BOS,0,1,5,0,9,Flaherty,Pivetta
2024,2024-05-31,1,DET,BOS,0,0,3,7,9,Houck,Maeda
2024,2024-06-01,1,DET,BOS,0,0,3,6,9,Criswell,Olson
2024,2024-06-02,1,DET,BOS,0,1,8,4,10,Chafin,Booser
2024,2024-06-03,1,DET,TEX,0,1,2,1,9,Brieske,Leclerc
2024,2024-06-04,1,DET,TEX,0,1,3,1,9,Flaherty,Dunning
2024,2024-06-05,1,DET,TEX,0,0,1,9,9,Ureña,Wentz
2024,2024-06-07,1,DET,MIL,1,0,0,10,9,Myers,Olson
2024,2024-06-08,1,DET,MIL,1,0,4,5,9,Koenig,Mize
2024,2024-06-09,1,DET,MIL,1,1,10,2,9,Skubal,Wilson
2024,2024-06-11,1,DET,WSN,1,0,4,5,10,Finnegan,Chafin
2024,2024-06-12,1,DET,WSN,1,0,5,7,9,Irvin,Olson
2024,2024-06-13,1,DET,WSN,1,1,7,2,9,Miller,Law
2024,2024-06-14,1,DET,HOU,0,0,0,4,9,Brown,Skubal
2024,2024-06-15,1,DET,HOU,0,1,13,5,9,Flaherty,Arrighetti
2024,2024-06-16,1,DET,HOU,0,0,1,4,9,Blanco,Maeda
