season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2024,2024-03-28,1,HOU,NYY,1,0,4,5,9,Loaisiga,Pressly
2024,2024-03-29,1,HOU,NYY,1,0,1,7,9,Weaver,Scott
2024,2024-03-30,1,HOU,NYY,1,0,3,5,9,Stroman,Abreu
2024,2024-03-31,1,HOU,NYY,1,0,3,4,9,Burdi,Hader
2024,2024-04-01,1,HOU,TOR,1,1,10,0,9,Blanco,Francis
2024,2024-04-02,1,HOU,TOR,1,0,1,2,9,Green,Hader
2024,2024-04-03,1,HOU,TOR,1,1,8,0,9,Javier,Bassitt
2024,2024-04-05,1,HOU,TEX,0,0,2,10,9,Bradford,Brown
2024,2024-04-06,1,HOU,TEX,0,0,2,7,9,Yates,France
2024,2024-04-07,1,HOU,TEX,0,1,3,1,9,Blanco,Dunning
2024,2024-04-08,1,HOU,TEX,0,1,10,5,9,Martinez,Heaney
2024,2024-04-09,1,HOU,KCR,0,0,3,4,10,McArthur,Suero
2024,2024-04-10,1,HOU,KCR,0,0,2,11,9,Lugo,Arrighetti
2024,2024-04-11,1,HOU,KCR,0,0,3,13,9,Singer,Brown
2024,2024-04-12,1,HOU,TEX,1,0,8,12,9,Dunning,France
2024,2024-04-13,1,HOU,TEX,1,1,9,2,9,Abreu,Ureña
2024,2024-04-14,1,HOU,TEX,1,1,8,5,9,Javier,Eovaldi
2024,2024-04-15,1,HOU,ATL,1,0,1,6,9,Bummer,Arrighetti
2024,2024-04-16,1,HOU,ATL,1,0,2,6,9,López,Brown
2024,2024-04-17,1,HOU,ATL,1,0,4,5,10,Minter,Martinez
2024,2024-04-19,1,HOU,WSN,0,1,5,3,9,Verlander,Gore
2024,2024-04-20,1,HOU,WSN,0,0,4,5,10,Finnegan,Martinez
2024,2024-04-21,1,HOU,WSN,0,0,0,6,9,Parker,Brown
2024,2024-04-23,1,HOU,CHC,0,0,2,7,9,Wicks,France
2024,2024-04-24,1,HOU,CHC,0,0,3,4,9,Taillon,Arrighetti
2024,2024-04-25,1,HOU,CHC,0,0,1,3,9,Wesneski,Montero
2024,2024-04-27,1,HOU,COL,0,1,12,4,9,Blanco,Quantrill
2024,2024-04-28,1,HOU,COL,0,1,8,2,9,Valdez,Gomber
2024,2024-04-30,1,HOU,CLE,1,1,10,9,10,Hader,Gaddis
2024,2024-05-01,1,HOU,CLE,1,0,2,3,10,Smith,Dubin
2024,2024-05-02,1,HOU,CLE,1,1,8,2,9,Scott,Allen
2024,2024-05-03,1,HOU,SEA,1,1,5,3,9,Martinez,Speier
2024,2024-05-04,1,HOU,SEA,1,0,0,5,9,Gilbert,Valdez
2024,2024-05-05,1,HOU,SEA,1,0,4,5,9,Muñoz,Hader
2024,2024-05-07,1,HOU,NYY,0,0,3,10,9,Gil,Verlander
2024,2024-05-08,1,HOU,NYY,0,0,4,9,9,Rodón,Arrighetti
2024,2024-05-09,1,HOU,NYY,0,1,4,3,9,Blanco,Stroman
2024,2024-05-10,1,HOU,DET,0,1,5,2,9,Valdez,Chafin
2024,2024-05-11,1,HOU,DET,0,0,2,8,9,Skubal,Javier
2024,2024-05-12,1,HOU,DET,0,1,9,3,9,Verlander,Flaherty
2024,2024-05-13,1,HOU,OAK,1,1,9,2,9,Arrighetti,Stripling
2024,2024-05-14,1,HOU,OAK,1,1,2,1,10,Hader,Kelly
2024,2024-05-15,1,HOU,OAK,1,1,3,0,9,Valdez,Brooks
2024,2024-05-16,1,HOU,OAK,1,1,8,1,9,Javier,Estes
2024,2024-05-17,1,HOU,MIL,1,1,5,4,9,Brown,Peralta
2024,2024-05-18,1,HOU,MIL,1,0,2,4,9,Milner,Verlander
2024,2024-05-19,1,HOU,MIL,1,1,9,4,9,Arrighetti,Rea
2024,2024-05-20,1,HOU,LAA,1,0,7,9,9,Suarez,Valdez
2024,2024-05-21,1,HOU,LAA,1,1,6,5,10,Hader,Estévez
2024,2024-05-22,1,HOU,LAA,1,0,1,2,9,Anderson,Brown
2024,2024-05-24,1,HOU,OAK,0,1,6,3,9,Verlander,Stripling
2024,2024-05-25,1,HOU,OAK,0,0,1,3,9,Sears,Arrighetti
