season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2025,2025-03-27,1,KCR,CLE,1,0,4,7,10,Clase,Long
2025,2025-03-29,1,KCR,CLE,1,1,4,3,9,Lynch,Sewald
2025,2025-03-30,1,KCR,CLE,1,0,2,6,9,Bibee,Wacha
2025,2025-03-31,1,KCR,MIL,0,1,11,1,9,Bubic,Rodríguez
2025,2025-04-01,1,KCR,MIL,0,0,0,5,9,Uribe,Lorenzen
2025,2025-04-02,1,KCR,MIL,0,0,2,3,11,Koenig,Long
2025,2025-04-04,1,KCR,BAL,1,1,8,2,9,Lugo,Kremer
2025,2025-04-05,1,KCR,BAL,1,0,1,8,9,Sugano,Wacha
2025,2025-04-06,1,KCR,BAL,1,1,4,1,9,Bubic,Povich
2025,2025-04-07,1,KCR,MIN,1,1,4,2,9,Lorenzen,Woods Richardson
2025,2025-04-08,1,KCR,MIN,1,1,2,1,9,Schreiber,Jax
2025,2025-04-09,1,KCR,MIN,1,0,0,4,9,Ryan,Lugo
2025,2025-04-10,1,KCR,MIN,1,1,3,2,9,Lynch,Sands
2025,2025-04-11,1,KCR,CLE,0,0,0,7,9,Herrin,Bubic
2025,2025-04-12,1,KCR,CLE,0,0,3,6,9,Ortiz,Lorenzen
2025,2025-04-13,1,KCR,CLE,0,1,4,2,9,Ragans,Lively
2025,2025-04-14,1,KCR,NYY,0,0,1,4,9,Carrasco,Lugo
2025,2025-04-15,1,KCR,NYY,0,0,2,4,9,Fried,Wacha
2025,2025-04-16,1,KCR,NYY,0,0,3,4,9,Leiter,Schreiber
2025,2025-04-17,1,KCR,DET,0,0,1,6,9,Olson,Lorenzen
2025,2025-04-18,1,KCR,DET,0,0,3,7,9,Jobe,Ragans
2025,2025-04-19,1,KCR,DET,0,0,1,3,9,Mize,Lugo
2025,2025-04-20,1,KCR,DET,0,1,4,3,10,Estévez,Holton
2025,2025-04-22,1,KCR,COL,1,1,4,3,11,Lynch,Kinley
2025,2025-04-24,1,KCR,COL,1,1,7,4,9,Zerpa,Márquez
