season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2024,2024-03-28,1,LAA,BAL,0,0,3,11,9,Burnes,Sandoval
2024,2024-03-30,1,LAA,BAL,0,0,4,13,9,Rodriguez,Canning
2024,2024-03-31,1,LAA,BAL,0,1,4,1,9,Detmers,Wells
2024,2024-04-01,1,LAA,MIA,0,1,7,4,9,Cimber,Scott
2024,2024-04-02,1,LAA,MIA,0,1,3,1,9,Anderson,Luzardo
2024,2024-04-03,1,LAA,MIA,0,1,10,2,9,Sandoval,Puk
2024,2024-04-05,1,LAA,BOS,1,0,6,8,9,Martin,Soriano
2024,2024-04-06,1,LAA,BOS,1,1,2,1,9,Detmers,Weissert
2024,2024-04-07,1,LAA,BOS,1,0,2,12,9,Houck,Silseth
2024,2024-04-08,1,LAA,TBR,1,1,7,1,9,Anderson,Eflin
2024,2024-04-09,1,LAA,TBR,1,0,4,6,9,Civale,Sandoval
2024,2024-04-10,1,LAA,TBR,1,0,2,4,9,Kelly,Soriano
2024,2024-04-12,1,LAA,BOS,0,1,7,0,9,Detmers,Houck
2024,2024-04-13,1,LAA,BOS,0,0,2,7,9,Weissert,Canning
2024,2024-04-14,1,LAA,BOS,0,0,4,5,9,Bello,Anderson
2024,2024-04-15,1,LAA,TBR,0,1,7,3,9,Garcia,Maton
2024,2024-04-16,1,LAA,TBR,0,0,6,7,13,Cleavinger,Fulmer
2024,2024-04-17,1,LAA,TBR,0,1,5,4,9,Strickland,Fairbanks
2024,2024-04-18,1,LAA,TBR,0,0,1,2,9,Pepiot,Canning
2024,2024-04-19,1,LAA,CIN,0,0,1,7,9,Lodolo,Anderson
2024,2024-04-20,1,LAA,CIN,0,0,5,7,9,Ashcraft,Sandoval
2024,2024-04-21,1,LAA,CIN,0,0,0,3,9,Pagán,Soriano
2024,2024-04-22,1,LAA,BAL,1,0,2,4,9,Suárez,Detmers
2024,2024-04-23,1,LAA,BAL,1,1,7,4,9,Canning,Rodriguez
2024,2024-04-24,1,LAA,BAL,1,0,5,6,9,Kremer,Anderson
2024,2024-04-26,1,LAA,MIN,1,0,3,5,9,Ober,Sandoval
2024,2024-04-27,1,LAA,MIN,1,0,5,16,9,Paddack,Soriano
2024,2024-04-28,1,LAA,MIN,1,0,5,11,9,López,Detmers
2024,2024-04-29,1,LAA,PHI,1,1,6,5,9,Cimber,Domínguez
2024,2024-04-30,1,LAA,PHI,1,0,5,7,9,Alvarado,Estévez
2024,2024-05-01,1,LAA,PHI,1,0,1,2,9,Wheeler,Sandoval
2024,2024-05-03,1,LAA,CLE,0,1,6,0,9,Soriano,Bibee
2024,2024-05-04,1,LAA,CLE,0,0,1,7,9,Lively,Detmers
2024,2024-05-05,1,LAA,CLE,0,0,1,4,9,Carrasco,Canning
2024,2024-05-06,1,LAA,PIT,0,0,1,4,9,Keller,Anderson
2024,2024-05-07,1,LAA,PIT,0,1,9,0,9,Sandoval,Priester
2024,2024-05-08,1,LAA,PIT,0,1,5,4,9,Cimber,Ortiz
2024,2024-05-09,1,LAA,KCR,1,0,4,10,9,Wacha,Detmers
2024,2024-05-10,1,LAA,KCR,1,0,1,2,9,Duffey,Estévez
2024,2024-05-11,1,LAA,KCR,1,1,9,3,9,Anderson,Ragans
2024,2024-05-12,1,LAA,KCR,1,0,2,4,9,Lugo,Sandoval
2024,2024-05-13,1,LAA,STL,1,0,5,10,9,Leahy,Moore
2024,2024-05-14,1,LAA,STL,1,0,6,7,9,Gray,Strickland
2024,2024-05-15,1,LAA,STL,1,1,7,2,9,Canning,Lynn
2024,2024-05-17,1,LAA,TEX,0,1,9,3,9,Anderson,Heaney
2024,2024-05-18,1,LAA,TEX,0,0,2,3,13,Rodríguez,Fulmer
2024,2024-05-19,1,LAA,TEX,0,1,4,1,9,Soriano,Lorenzen
2024,2024-05-20,1,LAA,HOU,0,1,9,7,9,Suarez,Valdez
2024,2024-05-21,1,LAA,HOU,0,0,5,6,10,Hader,Estévez
2024,2024-05-22,1,LAA,HOU,0,1,2,1,9,Anderson,Brown
2024,2024-05-24,1,LAA,CLE,1,0,4,10,9,Allen,Sandoval
2024,2024-05-25,1,LAA,CLE,1,0,3,4,9,Bibee,Soriano
2024,2024-05-26,1,LAA,CLE,1,0,4,5,9,Lively,Detmers
2024,2024-05-28,1,LAA,NYY,1,1,4,3,9,Moore,Weaver
2024,2024-05-29,1,LAA,NYY,1,0,1,2,9,Gil,Anderson
2024,2024-05-30,1,LAA,NYY,1,0,3,8,9,Rodón,Sandoval
2024,2024-05-31,1,LAA,SEA,0,0,4,5,9,Stanek,Moore
2024,2024-06-01,1,LAA,SEA,0,0,0,9,9,Miller,Detmers
2024,2024-06-02,1,LAA,SEA,0,0,1,5,9,Castillo,Canning
2024,2024-06-03,1,LAA,SDP,1,1,2,1,9,Strickland,Morejón
2024,2024-06-04,1,LAA,SDP,1,1,4,2,9,Moore,Matsui
2024,2024-06-05,1,LAA,SDP,1,1,3,2,9,Soriano,Cease
2024,2024-06-07,1,LAA,HOU,1,0,1,7,9,Valdez,Canning
2024,2024-06-08,1,LAA,HOU,1,0,1,6,9,Brown,Anderson
2024,2024-06-09,1,LAA,HOU,1,1,9,7,9,Estévez,Hader
2024,2024-06-11,1,LAA,ARI,0,0,4,9,9,Montgomery,Suarez
2024,2024-06-12,1,LAA,ARI,0,1,8,3,9,Soriano,Cecconi
2024,2024-06-13,1,LAA,ARI,0,0,1,11,9,Pfaadt,Canning
2024,2024-06-14,1,LAA,SFG,0,1,8,6,9,Anderson,Howard
2024,2024-06-15,1,LAA,SFG,0,1,4,3,9,Moore,Walker
2024,2024-06-16,1,LAA,SFG,0,0,6,13,9,Bivens,Suarez
2024,2024-06-17,1,LAA,MIL,1,1,5,3,9,Plesac,Rodriguez
2024,2024-06-18,1,LAA,MIL,1,0,3,6,9,Myers,Canning
2024,2024-06-19,1,LAA,MIL,1,0,0,2,9,Peralta,Anderson
2024,2024-06-21,1,LAA,LAD,0,1,3,2,10,Garcia,Banda
2024,2024-06-22,1,LAA,LAD,0,0,2,7,9,Glasnow,Plesac
2024,2024-06-24,1,LAA,OAK,1,1,5,1,9,Canning,Medina
2024,2024-06-25,1,LAA,OAK,1,1,7,5,9,Anderson,Spence
2024,2024-06-26,1,LAA,OAK,1,1,5,2,9,Moore,Estes
2024,2024-06-27,1,LAA,DET,1,1,5,0,9,Daniel,Flaherty
2024,2024-06-28,1,LAA,DET,1,1,5,2,9,Garcia,Miller
2024,2024-06-29,1,LAA,DET,1,1,6,5,10,Joyce,Foley
2024,2024-06-30,1,LAA,DET,1,0,6,7,9,Mize,Anderson
2024,2024-07-02,1,LAA,OAK,0,0,5,7,9,Spence,Soriano
2024,2024-07-03,1,LAA,OAK,0,0,0,5,9,Estes,Daniel
2024,2024-07-04,1,LAA,OAK,0,0,0,5,9,Sears,Contreras
2024,2024-07-05,1,LAA,CHC,0,0,1,5,9,Steele,Canning
2024,2024-07-06,1,LAA,CHC,0,1,7,0,9,Anderson,Hendricks
2024,2024-07-07,1,LAA,CHC,0,0,0,5,9,Wesneski,Soriano
2024,2024-07-08,1,LAA,TEX,1,0,4,9,9,Gray,Daniel
2024,2024-07-09,1,LAA,TEX,1,0,4,5,9,Leclerc,Garcia
2024,2024-07-10,1,LAA,TEX,1,1,7,2,9,Crouse,Lorenzen
2024,2024-07-11,1,LAA,SEA,1,0,0,11,9,Castillo,Kochanowicz
2024,2024-07-12,1,LAA,SEA,1,1,6,5,10,Crouse,Voth
2024,2024-07-13,1,LAA,SEA,1,1,2,1,9,Soriano,Kirby
2024,2024-07-14,1,LAA,SEA,1,1,3,2,9,Crouse,Voth
2024,2024-07-19,1,LAA,OAK,0,0,3,13,9,Sears,Canning
2024,2024-07-20,1,LAA,OAK,0,0,2,8,9,Spence,Kochanowicz
2024,2024-07-21,1,LAA,OAK,0,1,8,5,9,Garcia,Erceg
