season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2024,2024-03-20,1,LAD,SDP,0,1,5,2,9,Hudson,Brito
2024,2024-03-21,1,LAD,SDP,1,0,11,15,9,King,Yamamoto
2024,2024-03-28,1,LAD,STL,1,1,7,1,9,Glasnow,Mikolas
2024,2024-03-29,1,LAD,STL,1,1,6,3,9,Miller,Thompson
2024,2024-03-30,1,LAD,STL,1,0,5,6,10,Helsley,Hurt
2024,2024-03-31,1,LAD,STL,1,1,5,4,9,Crismatt,King
2024,2024-04-01,1,LAD,SFG,1,1,8,3,9,Paxton,Winn
2024,2024-04-02,1,LAD,SFG,1,1,5,4,9,Yarbrough,Webb
2024,2024-04-03,1,LAD,SFG,1,1,5,4,9,Glasnow,Harrison
2024,2024-04-05,1,LAD,CHC,0,0,7,9,9,Smyly,Miller
2024,2024-04-06,1,LAD,CHC,0,1,4,1,9,Yamamoto,Wicks
2024,2024-04-07,1,LAD,CHC,0,0,1,8,9,Almonte,Stone
2024,2024-04-08,1,LAD,MIN,0,1,4,2,9,Paxton,Jackson
2024,2024-04-09,1,LAD,MIN,0,1,6,3,9,Glasnow,Varland
2024,2024-04-10,1,LAD,MIN,0,0,2,3,9,Funderburk,Vesia
2024,2024-04-12,1,LAD,SDP,1,0,7,8,11,Suarez,Vesia
2024,2024-04-13,1,LAD,SDP,1,1,5,2,9,Stone,Cosgrove
2024,2024-04-14,1,LAD,SDP,1,0,3,6,9,Matsui,Feyereisen
2024,2024-04-15,1,LAD,WSN,1,0,4,6,9,Parker,Glasnow
2024,2024-04-16,1,LAD,WSN,1,1,6,2,9,Yarbrough,Corbin
2024,2024-04-17,1,LAD,WSN,1,0,0,2,9,Irvin,Knack
2024,2024-04-19,1,LAD,NYM,1,0,4,9,9,Garrett,Hudson
2024,2024-04-20,1,LAD,NYM,1,0,4,6,9,Tonkin,Yarbrough
2024,2024-04-21,1,LAD,NYM,1,1,10,0,9,Glasnow,Houser
2024,2024-04-23,1,LAD,WSN,0,1,4,1,9,Vesia,Harvey
2024,2024-04-24,1,LAD,WSN,0,1,11,2,9,Knack,Irvin
2024,2024-04-25,1,LAD,WSN,0,1,2,1,9,Yamamoto,Gore
2024,2024-04-26,1,LAD,TOR,0,1,12,2,9,Stone,Bassitt
2024,2024-04-27,1,LAD,TOR,0,1,4,2,9,Glasnow,Kikuchi
2024,2024-04-28,1,LAD,TOR,0,0,1,3,9,Gausman,Grove
2024,2024-04-29,1,LAD,ARI,0,1,8,4,9,Paxton,Henry
2024,2024-04-30,1,LAD,ARI,0,0,3,4,10,McGough,Crismatt
2024,2024-05-01,1,LAD,ARI,0,1,8,0,9,Yamamoto,Montgomery
2024,2024-05-03,1,LAD,ATL,1,1,4,3,11,Grove,Chavez
2024,2024-05-04,1,LAD,ATL,1,1,11,2,9,Glasnow,Elder
2024,2024-05-05,1,LAD,ATL,1,1,5,1,9,Paxton,Fried
2024,2024-05-06,1,LAD,MIA,1,1,6,3,9,Yarbrough,Muñoz
2024,2024-05-07,1,LAD,MIA,1,1,8,2,9,Yamamoto,Cabrera
