season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2024,2024-03-28,1,MIA,PIT,1,0,5,6,12,Ortiz,Cronin
2024,2024-03-29,1,MIA,PIT,1,0,2,7,9,Ryan,Puk
2024,2024-03-30,1,MIA,PIT,1,0,3,9,9,Jones,Weathers
2024,2024-03-31,1,MIA,PIT,1,0,7,9,10,Bednar,Scott
2024,2024-04-01,1,MIA,LAA,1,0,4,7,9,Cimber,Scott
2024,2024-04-02,1,MIA,LAA,1,0,1,3,9,Anderson,Luzardo
2024,2024-04-03,1,MIA,LAA,1,0,2,10,9,Sandoval,Puk
2024,2024-04-04,1,MIA,STL,0,0,5,8,9,Gallegos,Sánchez
2024,2024-04-06,1,MIA,STL,0,0,1,3,9,Matz,Rogers
2024,2024-04-07,1,MIA,STL,0,1,10,3,9,Meyer,Gibson
2024,2024-04-08,1,MIA,NYY,0,0,0,7,9,Cortés,Luzardo
2024,2024-04-09,1,MIA,NYY,0,0,2,3,9,Rodón,Puk
2024,2024-04-10,1,MIA,NYY,0,1,5,2,9,Weathers,Stroman
2024,2024-04-12,1,MIA,ATL,1,0,1,8,9,Fried,Rogers
2024,2024-04-13,1,MIA,ATL,1,1,5,1,9,Meyer,Sale
2024,2024-04-14,1,MIA,ATL,1,0,7,9,9,Minter,Scott
2024,2024-04-15,1,MIA,SFG,1,0,3,4,9,Harrison,Soriano
2024,2024-04-16,1,MIA,SFG,1,1,6,3,9,Weathers,Walker
2024,2024-04-17,1,MIA,SFG,1,0,1,3,9,Winn,Cronin
2024,2024-04-19,1,MIA,CHC,0,0,3,8,9,Taillon,Puk
2024,2024-04-20,1,MIA,CHC,0,1,3,2,9,Faucher,Alzolay
2024,2024-04-20,2,MIA,CHC,0,0,3,5,9,Imanaga,Bender
2024,2024-04-21,1,MIA,CHC,0,1,6,3,9,Cabrera,Hendricks
2024,2024-04-22,1,MIA,ATL,0,0,0,3,9,Elder,Weathers
2024,2024-04-23,1,MIA,ATL,0,0,0,5,9,Fried,Rogers
2024,2024-04-24,1,MIA,ATL,0,0,3,4,10,Minter,Scott
2024,2024-04-26,1,MIA,WSN,1,0,1,3,9,Law,Faucher
2024,2024-04-27,1,MIA,WSN,1,0,4,11,9,Barnes,Cabrera
2024,2024-04-28,1,MIA,WSN,1,0,9,12,9,Law,Bender
2024,2024-04-29,1,MIA,WSN,1,0,2,7,9,Irvin,Rogers
2024,2024-04-30,1,MIA,COL,1,1,7,6,10,Scott,Beeks
2024,2024-05-01,1,MIA,COL,1,1,4,1,9,Muñoz,Hudson
2024,2024-05-02,1,MIA,COL,1,1,5,4,10,Smith,Lawrence
2024,2024-05-03,1,MIA,OAK,0,0,1,3,9,Sears,Weathers
2024,2024-05-04,1,MIA,OAK,0,0,4,20,9,Blackburn,Rogers
2024,2024-05-05,1,MIA,OAK,0,1,12,3,9,Smith,Boyle
2024,2024-05-06,1,MIA,LAD,0,0,3,6,9,Yarbrough,Muñoz
2024,2024-05-07,1,MIA,LAD,0,0,2,8,9,Yamamoto,Cabrera
2024,2024-05-08,1,MIA,LAD,0,0,1,3,9,Stone,Weathers
2024,2024-05-10,1,MIA,PHI,1,0,2,8,9,Suarez,Rogers
2024,2024-05-11,1,MIA,PHI,1,0,3,8,9,Walker,Luzardo
2024,2024-05-12,1,MIA,PHI,1,1,7,6,10,Bender,Soto
2024,2024-05-13,1,MIA,DET,0,0,5,6,9,Faedo,Maldonado
2024,2024-05-14,1,MIA,DET,0,1,1,0,10,Scott,Lange
2024,2024-05-15,1,MIA,DET,0,1,2,0,9,Rogers,Mize
2024,2024-05-17,1,MIA,NYM,1,1,8,0,9,Luzardo,Scott
2024,2024-05-18,1,MIA,NYM,1,1,10,9,10,Scott,López
2024,2024-05-19,1,MIA,NYM,1,0,3,7,9,Manaea,Sánchez
2024,2024-05-20,1,MIA,MIL,1,1,3,2,10,Scott,White
