season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2025,2025-03-27,1,MIL,NYY,0,0,2,4,9,Rodón,Peralta
2025,2025-03-29,1,MIL,NYY,0,0,9,20,9,Gómez,Cortés
2025,2025-03-30,1,MIL,NYY,0,0,3,12,9,Hill,Civale
2025,2025-03-31,1,MIL,KCR,1,0,1,11,9,Bubic,Rodríguez
2025,2025-04-01,1,MIL,KCR,1,1,5,0,9,Uribe,Lorenzen
2025,2025-04-02,1,MIL,KCR,1,1,3,2,11,Koenig,Long
2025,2025-04-03,1,MIL,CIN,1,1,1,0,9,Cortés,Lodolo
2025,2025-04-04,1,MIL,CIN,1,1,3,2,9,Alexander,Martinez
2025,2025-04-05,1,MIL,CIN,1,0,7,11,9,Singer,Rodríguez
2025,2025-04-06,1,MIL,CIN,1,1,8,2,9,Patrick,Spiers
2025,2025-04-08,1,MIL,COL,0,1,7,1,9,Peralta,Freeland
2025,2025-04-09,1,MIL,COL,0,1,17,2,9,Anderson,Senzatela
2025,2025-04-10,1,MIL,COL,0,0,2,7,9,Alexander,Payamps
2025,2025-04-11,1,MIL,ARI,0,1,7,0,9,Quintana,Rodríguez
2025,2025-04-12,1,MIL,ARI,0,0,4,5,9,Nelson,Megill
2025,2025-04-13,1,MIL,ARI,0,0,2,5,9,Beeks,Hudson
2025,2025-04-14,1,MIL,DET,1,0,1,9,9,Skubal,Alexander
2025,2025-04-15,1,MIL,DET,1,1,5,0,9,Priester,Flaherty
2025,2025-04-16,1,MIL,DET,1,1,5,1,9,Quintana,Montero
2025,2025-04-18,1,MIL,ATH,1,1,5,3,9,Peralta,Ginn
2025,2025-04-19,1,MIL,ATH,1,0,1,3,9,Severino,Patrick
2025,2025-04-20,1,MIL,ATH,1,1,14,1,9,Henderson,Springs
2025,2025-04-21,1,MIL,SFG,0,0,2,5,9,Birdsong,Anderson
2025,2025-04-22,1,MIL,SFG,0,1,11,3,9,Quintana,Hicks
2025,2025-04-23,1,MIL,SFG,0,0,2,4,9,Webb,Peralta
2025,2025-04-24,1,MIL,SFG,0,0,5,6,9,Rogers,Alexander
2025,2025-04-25,1,MIL,STL,0,0,2,3,9,Liberatore,Patrick
2025,2025-04-26,1,MIL,STL,0,0,5,6,9,Helsley,Megill
2025,2025-04-27,1,MIL,STL,0,1,7,1,9,Quintana,Fedde
2025,2025-04-29,1,MIL,CHW,0,1,7,2,9,Peralta,Wilson
2025,2025-04-30,1,MIL,CHW,0,1,6,4,9,Koenig,Booser
2025,2025-05-01,1,MIL,CHW,0,0,0,8,9,Burke,Patrick
2025,2025-05-02,1,MIL,CHC,1,0,0,10,9,Brown,Alexander
2025,2025-05-03,1,MIL,CHC,1,0,2,6,9,Taillon,Quintana
2025,2025-05-04,1,MIL,CHC,1,1,4,0,9,Peralta,Imanaga
2025,2025-05-05,1,MIL,HOU,1,1,5,1,9,Myers,Blanco
2025,2025-05-06,1,MIL,HOU,1,1,4,3,9,Patrick,Wesneski
2025,2025-05-07,1,MIL,HOU,1,0,1,9,9,Valdez,Priester
2025,2025-05-09,1,MIL,TBR,0,0,3,4,9,Sulser,Koenig
2025,2025-05-10,1,MIL,TBR,0,0,2,3,9,Fairbanks,Anderson
2025,2025-05-11,1,MIL,TBR,0,1,4,2,9,Alexander,Rasmussen
2025,2025-05-12,1,MIL,CLE,0,0,0,5,9,Junis,Peralta
2025,2025-05-13,1,MIL,CLE,0,0,0,2,9,Allen,Priester
2025,2025-05-14,1,MIL,CLE,0,1,9,5,9,Henderson,Herrin
2025,2025-05-16,1,MIL,MIN,1,0,0,3,9,Ryan,Patrick
2025,2025-05-17,1,MIL,MIN,1,0,0,7,9,López,Myers
2025,2025-05-18,1,MIL,MIN,1,1,5,2,9,Peralta,Matthews
2025,2025-05-19,1,MIL,BAL,1,1,5,4,9,Uribe,Cano
2025,2025-05-20,1,MIL,BAL,1,1,5,2,9,Henderson,McDermott
2025,2025-05-21,1,MIL,BAL,1,0,4,8,11,Baker,Alexander
2025,2025-05-22,1,MIL,PIT,0,1,8,5,9,Rodriguez,Burrows
2025,2025-05-23,1,MIL,PIT,0,0,5,6,10,Borucki,Uribe
2025,2025-05-24,1,MIL,PIT,0,0,1,2,9,Shugart,Alexander
2025,2025-05-25,1,MIL,PIT,0,1,6,5,9,Koenig,Borucki
2025,2025-05-26,1,MIL,BOS,1,1,3,2,9,Hall,Crochet
2025,2025-05-27,1,MIL,BOS,1,1,5,1,10,Zastryzny,Hendriks
2025,2025-05-28,1,MIL,BOS,1,1,6,5,10,Alexander,Slaten
2025,2025-05-30,1,MIL,PHI,0,1,6,2,9,Priester,Walker
2025,2025-05-31,1,MIL,PHI,0,1,17,7,9,Patrick,Luzardo
2025,2025-06-01,1,MIL,PHI,0,1,5,2,9,Mears,Kerkering
2025,2025-06-02,1,MIL,CIN,0,1,3,2,9,Civale,Singer
2025,2025-06-03,1,MIL,CIN,0,0,2,4,9,Ashcraft,Peralta
2025,2025-06-04,1,MIL,CIN,0,1,9,1,9,Priester,Abbott
2025,2025-06-06,1,MIL,SDP,1,0,0,2,9,Peralta,Patrick
2025,2025-06-07,1,MIL,SDP,1,1,4,3,9,Megill,Morgan
2025,2025-06-08,1,MIL,SDP,1,0,0,1,9,Matsui,Zastryzny
2025,2025-06-09,1,MIL,ATL,1,0,1,7,9,Sale,Civale
2025,2025-06-10,1,MIL,ATL,1,1,4,1,9,Priester,Holmes
2025,2025-06-11,1,MIL,ATL,1,0,2,6,9,Schwellenbach,Patrick
2025,2025-06-12,1,MIL,STL,1,1,6,0,9,Misiorowski,Gray
2025,2025-06-13,1,MIL,STL,1,1,3,2,9,Peralta,Fedde
2025,2025-06-14,1,MIL,STL,1,0,5,8,9,Leahy,Quintana
2025,2025-06-15,1,MIL,STL,1,1,3,2,9,Priester,Mikolas
2025,2025-06-17,1,MIL,CHC,0,0,3,5,9,Brown,Patrick
2025,2025-06-19,1,MIL,CHC,0,1,8,7,9,Peralta,Taillon
2025,2025-06-20,1,MIL,MIN,0,1,17,6,9,Misiorowski,Ryan
2025,2025-06-21,1,MIL,MIN,0,1,9,0,9,Quintana,Woods Richardson
2025,2025-06-22,1,MIL,MIN,0,1,9,8,9,Zastryzny,Festa
2025,2025-06-23,1,MIL,PIT,1,0,4,5,9,Shugart,Mears
2025,2025-06-24,1,MIL,PIT,1,1,9,3,9,Peralta,Heaney
2025,2025-06-25,1,MIL,PIT,1,1,4,2,9,Misiorowski,Skenes
2025,2025-06-27,1,MIL,COL,1,1,10,6,9,Quintana,Freeland
2025,2025-06-28,1,MIL,COL,1,1,5,0,9,Priester,Senzatela
2025,2025-06-29,1,MIL,COL,1,0,3,4,11,Vodnik,Anderson
2025,2025-07-02,1,MIL,NYM,0,1,7,2,9,Peralta,Garrett
2025,2025-07-02,2,MIL,NYM,0,0,3,7,9,Tidwell,Misiorowski
2025,2025-07-03,1,MIL,NYM,0,0,2,3,9,Peterson,Quintana
2025,2025-07-04,1,MIL,MIA,0,1,6,5,9,Ashby,Gibson
2025,2025-07-05,1,MIL,MIA,0,0,2,4,9,Henriquez,Mears
2025,2025-07-06,1,MIL,MIA,0,1,3,1,9,Woodruff,Cabrera
2025,2025-07-07,1,MIL,LAD,1,1,9,1,9,Peralta,Yamamoto
2025,2025-07-08,1,MIL,LAD,1,1,3,1,9,Misiorowski,Kershaw
2025,2025-07-09,1,MIL,LAD,1,1,3,2,10,Megill,Yates
2025,2025-07-11,1,MIL,WSN,1,1,8,3,9,Priester,Parker
2025,2025-07-12,1,MIL,WSN,1,1,6,5,9,Anderson,Finnegan
2025,2025-07-13,1,MIL,WSN,1,1,8,1,9,Peralta,Irvin
2025,2025-07-18,1,MIL,LAD,0,1,2,0,9,Priester,Glasnow
2025,2025-07-19,1,MIL,LAD,0,1,8,7,9,Peralta,Sheehan
2025,2025-07-20,1,MIL,LAD,0,1,6,5,9,Quintana,Trivino
2025,2025-07-21,1,MIL,SEA,0,1,6,0,9,Woodruff,Kirby
2025,2025-07-22,1,MIL,SEA,0,0,0,1,9,Gilbert,Mears
2025,2025-07-23,1,MIL,SEA,0,1,10,2,9,Priester,Castillo
2025,2025-07-25,1,MIL,MIA,1,0,1,5,9,Simpson,Ashby
2025,2025-07-26,1,MIL,MIA,1,0,4,7,9,Junk,Quintana
2025,2025-07-27,1,MIL,MIA,1,1,3,2,9,Megill,Gibson
2025,2025-07-28,1,MIL,CHC,1,1,8,4,9,Mears,Boyd
2025,2025-07-29,1,MIL,CHC,1,1,9,3,9,Priester,Rea
2025,2025-07-30,1,MIL,CHC,1,0,3,10,9,Imanaga,Peralta
2025,2025-08-01,1,MIL,WSN,0,1,16,9,9,Quintana,Parker
2025,2025-08-02,1,MIL,WSN,0,1,8,2,9,Woodruff,Irvin
2025,2025-08-03,1,MIL,WSN,0,1,14,3,9,Ashby,Lord
2025,2025-08-04,1,MIL,ATL,0,1,3,1,9,Priester,Fedde
2025,2025-08-05,1,MIL,ATL,0,1,7,2,9,Peralta,Wentz
2025,2025-08-06,1,MIL,ATL,0,1,5,4,9,Quintana,Strider
2025,2025-08-08,1,MIL,NYM,1,1,3,2,9,Woodruff,Senga
2025,2025-08-09,1,MIL,NYM,1,1,7,4,9,Koenig,Stanek
2025,2025-08-10,1,MIL,NYM,1,1,7,6,9,Mears,Díaz
2025,2025-08-11,1,MIL,PIT,1,1,7,1,9,Quintana,Heaney
2025,2025-08-12,1,MIL,PIT,1,1,14,0,9,Peralta,Skenes
2025,2025-08-13,1,MIL,PIT,1,1,12,5,9,Koenig,Keller
2025,2025-08-15,1,MIL,CIN,0,1,10,8,9,Mears,Barlow
2025,2025-08-16,1,MIL,CIN,0,1,6,5,11,Megill,La Sorsa
2025,2025-08-17,1,MIL,CIN,0,0,2,3,10,Ashcraft,Anderson
2025,2025-08-18,1,MIL,CHC,0,1,7,0,9,Peralta,Horton
2025,2025-08-19,1,MIL,CHC,0,0,4,6,9,Boyd,Patrick
2025,2025-08-19,2,MIL,CHC,0,0,1,4,9,Taillon,Woodruff
2025,2025-08-20,1,MIL,CHC,0,0,3,4,9,Rea,Misiorowski
2025,2025-08-21,1,MIL,CHC,0,1,4,1,9,Mears,Imanaga
2025,2025-08-22,1,MIL,SFG,1,1,5,4,9,Megill,Rodríguez
2025,2025-08-23,1,MIL,SFG,1,0,1,7,9,Webb,Anderson
2025,2025-08-24,1,MIL,SFG,1,0,3,4,9,Buttó,Megill
2025,2025-08-25,1,MIL,ARI,1,1,7,5,9,Woodruff,Rodríguez
2025,2025-08-26,1,MIL,ARI,1,1,9,8,9,Miller,Morillo
2025,2025-08-27,1,MIL,ARI,1,0,2,3,9,Nelson,Fedde
2025,2025-08-28,1,MIL,ARI,1,0,4,6,9,Crismatt,Quintana
2025,2025-08-29,1,MIL,TOR,0,1,7,2,9,Peralta,Bieber
2025,2025-08-30,1,MIL,TOR,0,1,4,1,9,Ashby,Hoffman
2025,2025-08-31,1,MIL,TOR,0,0,4,8,9,Nance,Woodruff
2025,2025-09-01,1,MIL,PHI,1,0,8,10,9,Robertson,Uribe
2025,2025-09-03,1,MIL,PHI,1,1,6,3,9,Quintana,Nola
2025,2025-09-04,1,MIL,PHI,1,0,0,2,9,Suarez,Myers
2025,2025-09-05,1,MIL,PIT,0,1,5,2,9,Priester,Mlodzinski
2025,2025-09-06,1,MIL,PIT,0,1,4,1,9,Woodruff,Keller
2025,2025-09-07,1,MIL,PIT,0,1,10,2,9,Misiorowski,Chandler
2025,2025-09-08,1,MIL,TEX,0,0,0,5,9,Latz,Quintana
2025,2025-09-09,1,MIL,TEX,0,0,4,5,9,Milner,Ashby
2025,2025-09-10,1,MIL,TEX,0,0,3,6,9,Kelly,Peralta
2025,2025-09-12,1,MIL,STL,1,1,8,2,9,Priester,Pallante
2025,2025-09-13,1,MIL,STL,1,1,9,8,10,Uribe,Leahy
2025,2025-09-14,1,MIL,STL,1,0,2,3,9,Mikolas,Quintana
2025,2025-09-16,1,MIL,LAA,1,1,9,2,9,Peralta,Dana
2025,2025-09-17,1,MIL,LAA,1,1,9,2,9,Woodruff,Soriano
2025,2025-09-18,1,MIL,LAA,1,1,5,2,9,Ashby,Garcia
2025,2025-09-19,1,MIL,STL,0,0,1,7,9,Gray,Misiorowski
2025,2025-09-20,1,MIL,STL,0,1,3,2,10,Koenig,Romero
2025,2025-09-21,1,MIL,STL,0,0,1,5,9,Liberatore,Gasser
2025,2025-09-22,1,MIL,SDP,0,0,4,5,11,Rodriguez,Anderson
