season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2024,2024-03-28,1,MIN,KCR,0,1,4,1,9,López,Ragans
2024,2024-03-30,1,MIN,KCR,0,1,5,1,9,Jax,Smith
2024,2024-03-31,1,MIN,KCR,0,0,0,11,9,Singer,Ober
2024,2024-04-02,1,MIN,MIL,0,0,2,3,9,Peguero,Varland
2024,2024-04-03,1,MIN,MIL,0,1,7,3,9,Duarte,Payamps
2024,2024-04-04,1,MIN,CLE,1,0,2,4,9,Bibee,López
2024,2024-04-06,1,MIN,CLE,1,0,1,3,9,Sandlin,Ryan
2024,2024-04-08,1,MIN,LAD,1,0,2,4,9,Paxton,Jackson
2024,2024-04-09,1,MIN,LAD,1,0,3,6,9,Glasnow,Varland
2024,2024-04-10,1,MIN,LAD,1,1,3,2,9,Funderburk,Vesia
2024,2024-04-12,1,MIN,DET,0,0,2,8,9,Skubal,López
2024,2024-04-13,1,MIN,DET,0,1,11,5,12,Alcala,Lange
2024,2024-04-13,2,MIN,DET,0,1,4,1,9,Woods Richardson,Manning
2024,2024-04-14,1,MIN,DET,0,0,3,4,9,Vest,Jax
2024,2024-04-15,1,MIN,BAL,0,0,4,7,9,Tate,Varland
2024,2024-04-16,1,MIN,BAL,0,0,3,11,9,Rodriguez,Paddack
2024,2024-04-17,1,MIN,BAL,0,0,2,4,9,Kimbrel,Jax
2024,2024-04-19,1,MIN,DET,1,0,4,5,9,Chafin,Thielbar
2024,2024-04-20,1,MIN,DET,1,1,4,3,9,Ober,Olson
2024,2024-04-21,1,MIN,DET,1,0,1,6,9,Mize,Varland
2024,2024-04-22,1,MIN,CHW,1,1,7,0,9,Paddack,Cannon
2024,2024-04-23,1,MIN,CHW,1,1,6,5,9,Jackson,Wilson
2024,2024-04-24,1,MIN,CHW,1,1,6,3,9,Ryan,Crochet
2024,2024-04-25,1,MIN,CHW,1,1,6,3,9,Sands,Banks
2024,2024-04-26,1,MIN,LAA,0,1,5,3,9,Ober,Sandoval
2024,2024-04-27,1,MIN,LAA,0,1,16,5,9,Paddack,Soriano
2024,2024-04-28,1,MIN,LAA,0,1,11,5,9,López,Detmers
2024,2024-04-29,1,MIN,CHW,0,1,3,2,9,Jax,Brebbia
2024,2024-04-30,1,MIN,CHW,0,1,6,5,9,Thielbar,Kopech
2024,2024-05-01,1,MIN,CHW,0,1,10,5,9,Ober,Leone
2024,2024-05-03,1,MIN,BOS,1,1,5,2,9,Paddack,Houck
2024,2024-05-04,1,MIN,BOS,1,1,3,1,9,López,Booser
2024,2024-05-05,1,MIN,BOS,1,0,2,9,9,Bernardino,Ryan
2024,2024-05-06,1,MIN,SEA,1,1,3,1,9,Jax,Castillo
2024,2024-05-07,1,MIN,SEA,1,0,6,10,9,Stanek,Alcala
2024,2024-05-08,1,MIN,SEA,1,1,6,3,9,Paddack,Kirby
2024,2024-05-09,1,MIN,SEA,1,1,11,1,9,López,Gilbert
2024,2024-05-10,1,MIN,TOR,0,1,3,2,9,Ryan,Kikuchi
2024,2024-05-11,1,MIN,TOR,0,0,8,10,9,Swanson,Jackson
2024,2024-05-12,1,MIN,TOR,0,1,5,1,9,Ober,Manoah
2024,2024-05-14,1,MIN,NYY,1,0,1,5,9,Rodón,Paddack
2024,2024-05-15,1,MIN,NYY,1,0,0,4,9,Stroman,López
2024,2024-05-16,1,MIN,NYY,1,0,0,5,9,Schmidt,Ryan
2024,2024-05-17,1,MIN,CLE,0,0,2,3,9,Herrin,Duran
2024,2024-05-18,1,MIN,CLE,0,0,4,11,9,Allen,Ober
2024,2024-05-19,1,MIN,CLE,0,0,2,5,9,Clase,Duran
2024,2024-05-20,1,MIN,WSN,0,0,3,12,9,Parker,López
2024,2024-05-21,1,MIN,WSN,0,1,10,0,9,Ryan,Corbin
2024,2024-05-22,1,MIN,WSN,0,1,3,2,9,Okert,Irvin
2024,2024-05-24,1,MIN,TEX,1,1,3,2,9,Ober,Ureña
2024,2024-05-25,1,MIN,TEX,1,1,5,3,9,Sands,Robertson
2024,2024-05-26,1,MIN,TEX,1,0,2,6,9,Latz,López
2024,2024-05-27,1,MIN,KCR,1,1,6,5,9,Ryan,Marsh
2024,2024-05-28,1,MIN,KCR,1,1,4,2,9,Woods Richardson,Ragans
2024,2024-05-29,1,MIN,KCR,1,0,1,6,9,Lugo,Ober
2024,2024-05-30,1,MIN,KCR,1,1,7,6,9,Thielbar,Stratton
2024,2024-05-31,1,MIN,HOU,0,1,6,1,9,López,Blanco
2024,2024-06-01,1,MIN,HOU,0,0,2,5,9,Valdez,Ryan
2024,2024-06-02,1,MIN,HOU,0,1,4,3,9,Okert,Pressly
2024,2024-06-04,1,MIN,NYY,0,0,1,5,9,Gil,Ober
2024,2024-06-05,1,MIN,NYY,0,0,5,9,9,Rodón,Paddack
2024,2024-06-06,1,MIN,NYY,0,0,5,8,9,Weaver,López
2024,2024-06-07,1,MIN,PIT,0,0,0,3,9,Keller,Ryan
2024,2024-06-08,1,MIN,PIT,0,0,0,4,9,Stratton,Woods Richardson
2024,2024-06-09,1,MIN,PIT,0,1,11,5,10,Duran,Heller
2024,2024-06-10,1,MIN,COL,1,1,5,0,9,Paddack,Hudson
2024,2024-06-11,1,MIN,COL,1,0,4,5,9,Quantrill,Thielbar
2024,2024-06-12,1,MIN,COL,1,1,17,9,9,López,Gomber
2024,2024-06-13,1,MIN,OAK,1,1,6,2,9,Ryan,Medina
2024,2024-06-14,1,MIN,OAK,1,1,6,5,10,Duran,Alexander
2024,2024-06-16,1,MIN,OAK,1,1,6,2,9,Ober,Sears
2024,2024-06-16,2,MIN,OAK,1,1,8,7,9,Staumont,Jiménez
2024,2024-06-18,1,MIN,TBR,1,1,7,6,9,Duran,Fairbanks
2024,2024-06-19,1,MIN,TBR,1,0,2,3,10,Adam,Alcala
2024,2024-06-20,1,MIN,TBR,1,0,6,7,10,Fairbanks,Jax
2024,2024-06-21,1,MIN,OAK,0,0,5,6,9,Newcomb,Duran
2024,2024-06-22,1,MIN,OAK,0,1,10,2,9,Ober,Sears
2024,2024-06-23,1,MIN,OAK,0,1,3,0,9,López,Harris
2024,2024-06-25,1,MIN,ARI,0,0,4,5,9,Ginkel,Alcala
2024,2024-06-26,1,MIN,ARI,0,1,8,3,9,Woods Richardson,Nelson
2024,2024-06-27,1,MIN,ARI,0,1,13,6,9,Festa,Montgomery
2024,2024-06-28,1,MIN,SEA,0,0,2,3,10,Stanek,Sands
2024,2024-06-29,1,MIN,SEA,0,1,5,1,9,López,Miller
2024,2024-06-30,1,MIN,SEA,0,1,5,3,9,Sands,Stanek
2024,2024-07-02,1,MIN,DET,1,1,5,3,9,Alcala,Vest
2024,2024-07-03,1,MIN,DET,1,0,2,9,9,Montero,Festa
2024,2024-07-04,1,MIN,DET,1,1,12,3,7,Ober,Maeda
2024,2024-07-05,1,MIN,HOU,1,0,12,13,9,King,López
2024,2024-07-06,1,MIN,HOU,1,1,9,3,9,Ryan,Brown
2024,2024-07-07,1,MIN,HOU,1,1,3,2,9,Duran,Hader
2024,2024-07-08,1,MIN,CHW,0,1,8,6,11,Duran,Shuster
2024,2024-07-10,1,MIN,CHW,0,0,1,3,9,Fedde,Ober
2024,2024-07-10,2,MIN,CHW,0,1,3,2,9,Okert,Soroka
2024,2024-07-12,1,MIN,SFG,0,0,1,7,9,Harrison,Ryan
2024,2024-07-13,1,MIN,SFG,0,1,4,2,9,Sands,Rogers
2024,2024-07-14,1,MIN,SFG,0,0,2,3,9,Walker,Duran
2024,2024-07-20,1,MIN,MIL,1,0,4,8,12,Junis,Okert
2024,2024-07-21,1,MIN,MIL,1,0,7,8,9,Koenig,Jax
2024,2024-07-22,1,MIN,PHI,1,1,7,2,9,Ober,Suarez
2024,2024-07-23,1,MIN,PHI,1,0,0,3,9,Soto,Duran
2024,2024-07-24,1,MIN,PHI,1,1,5,4,9,Duran,Soto
2024,2024-07-26,1,MIN,DET,0,1,9,3,9,López,Montero
2024,2024-07-27,1,MIN,DET,0,0,2,7,9,Skubal,Ryan
2024,2024-07-28,1,MIN,DET,0,1,5,0,9,Ober,Faedo
2024,2024-07-29,1,MIN,NYM,0,0,2,15,9,Quintana,Woods Richardson
2024,2024-07-30,1,MIN,NYM,0,0,0,2,9,Manaea,Festa
2024,2024-07-31,1,MIN,NYM,0,1,8,3,9,López,Severino
2024,2024-08-02,1,MIN,CHW,1,1,10,2,9,Ryan,Martin
2024,2024-08-03,1,MIN,CHW,1,1,6,2,9,Ober,Toussaint
2024,2024-08-04,1,MIN,CHW,1,1,13,7,9,Sands,Flexen
2024,2024-08-05,1,MIN,CHC,0,1,3,0,9,Festa,Hendricks
2024,2024-08-06,1,MIN,CHC,0,0,3,7,9,Imanaga,López
2024,2024-08-07,1,MIN,CHC,0,0,2,8,9,López,Richards
2024,2024-08-09,1,MIN,CLE,1,1,4,2,9,Ober,Cantillo
2024,2024-08-09,2,MIN,CLE,1,1,6,3,9,Sands,Cobb
2024,2024-08-10,1,MIN,CLE,1,0,1,2,9,Williams,Woods Richardson
2024,2024-08-11,1,MIN,CLE,1,0,3,5,9,Bibee,Thielbar
2024,2024-08-12,1,MIN,KCR,1,1,8,3,9,López,Singer
2024,2024-08-13,1,MIN,KCR,1,1,13,3,9,Matthews,Lugo
