season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2025,2025-03-27,1,NYM,HOU,0,0,1,3,9,Valdez,Holmes
2025,2025-03-28,1,NYM,HOU,0,1,3,1,9,Megill,Brown
2025,2025-03-29,1,NYM,HOU,0,0,1,2,9,Arrighetti,Canning
2025,2025-03-31,1,NYM,MIA,0,1,10,4,9,Peterson,Quantrill
2025,2025-04-01,1,NYM,MIA,0,0,2,4,9,Alcantara,Senga
2025,2025-04-02,1,NYM,MIA,0,1,6,5,11,Buttó,Curry
2025,2025-04-04,1,NYM,TOR,1,1,5,0,9,Megill,Gausman
2025,2025-04-05,1,NYM,TOR,1,1,3,2,9,Díaz,Sandlin
2025,2025-04-06,1,NYM,TOR,1,1,2,1,9,Kranick,Francis
2025,2025-04-07,1,NYM,MIA,1,1,2,0,9,Senga,Bellozo
2025,2025-04-08,1,NYM,MIA,1,1,10,5,9,Holmes,Faucher
2025,2025-04-09,1,NYM,MIA,1,0,0,5,9,Meyer,Megill
2025,2025-04-11,1,NYM,ATH,0,1,7,6,9,Canning,Sears
2025,2025-04-12,1,NYM,ATH,0,0,1,3,9,Ginn,Peterson
2025,2025-04-13,1,NYM,ATH,0,1,8,0,9,Senga,Severino
2025,2025-04-14,1,NYM,MIN,0,1,5,1,9,Holmes,Topa
2025,2025-04-15,1,NYM,MIN,0,0,3,6,9,Ober,Megill
2025,2025-04-16,1,NYM,MIN,0,0,3,4,10,Sands,Garrett
2025,2025-04-17,1,NYM,STL,1,1,4,1,9,Canning,Pallante
2025,2025-04-18,1,NYM,STL,1,1,5,4,9,Brazobán,Fernandez
2025,2025-04-19,1,NYM,STL,1,1,3,0,9,Senga,Liberatore
2025,2025-04-20,1,NYM,STL,1,1,7,4,9,Buttó,Romero
2025,2025-04-21,1,NYM,PHI,1,1,5,4,9,Megill,Nola
2025,2025-04-22,1,NYM,PHI,1,1,5,1,9,Canning,Sánchez
2025,2025-04-23,1,NYM,PHI,1,1,4,3,10,Kranick,Romano
2025,2025-04-25,1,NYM,WSN,0,0,4,5,9,López,Stanek
2025,2025-04-26,1,NYM,WSN,0,1,2,0,9,Holmes,Lord
2025,2025-04-27,1,NYM,WSN,0,0,7,8,9,López,Stanek
2025,2025-04-28,1,NYM,WSN,0,1,19,5,9,Canning,Williams
2025,2025-04-29,1,NYM,ARI,1,1,8,3,9,Peterson,Rodríguez
2025,2025-04-30,1,NYM,ARI,1,0,3,4,9,Burnes,Stanek
2025,2025-05-01,1,NYM,ARI,1,0,2,4,9,Gallen,Senga
2025,2025-05-02,1,NYM,STL,0,1,9,3,9,Holmes,Gray
2025,2025-05-04,1,NYM,STL,0,0,5,6,9,Fedde,Tidwell
2025,2025-05-04,2,NYM,STL,0,0,4,5,9,McGreevy,Kranick
2025,2025-05-05,1,NYM,ARI,0,1,5,4,9,Canning,Nelson
2025,2025-05-06,1,NYM,ARI,0,0,1,5,9,Gallen,Peterson
2025,2025-05-07,1,NYM,ARI,0,1,7,1,9,Senga,Kelly
2025,2025-05-09,1,NYM,CHC,1,1,7,2,9,Holmes,Taillon
2025,2025-05-10,1,NYM,CHC,1,0,5,6,9,Horton,Megill
2025,2025-05-11,1,NYM,CHC,1,1,6,2,9,Stanek,Hodge
2025,2025-05-12,1,NYM,PIT,1,1,4,3,9,Brazobán,Bednar
2025,2025-05-13,1,NYM,PIT,1,1,2,1,9,Kranick,Keller
2025,2025-05-14,1,NYM,PIT,1,0,0,4,9,Shugart,Holmes
2025,2025-05-16,1,NYM,NYY,0,0,2,6,9,Rodón,Megill
2025,2025-05-17,1,NYM,NYY,0,1,3,2,9,Garrett,Cruz
2025,2025-05-18,1,NYM,NYY,0,0,2,8,9,Williams,Stanek
2025,2025-05-19,1,NYM,BOS,0,0,1,3,9,Wilson,Senga
2025,2025-05-20,1,NYM,BOS,0,0,0,2,9,Whitlock,Holmes
2025,2025-05-21,1,NYM,BOS,0,1,5,1,9,Brazobán,Hendriks
2025,2025-05-23,1,NYM,LAD,1,0,5,7,13,Garcia,Brazobán
2025,2025-05-24,1,NYM,LAD,1,1,5,2,9,Peterson,Gonsolin
2025,2025-05-25,1,NYM,LAD,1,1,3,1,9,Senga,Knack
2025,2025-05-26,1,NYM,CHW,1,1,2,1,9,Díaz,Wilson
2025,2025-05-27,1,NYM,CHW,1,1,6,4,9,Megill,Cannon
2025,2025-05-28,1,NYM,CHW,1,0,4,9,9,Eisert,Canning
2025,2025-05-30,1,NYM,COL,1,1,4,2,9,Peterson,Freeland
2025,2025-05-31,1,NYM,COL,1,1,8,2,9,Senga,Senzatela
2025,2025-06-01,1,NYM,COL,1,1,5,3,9,Holmes,Palmquist
2025,2025-06-02,1,NYM,LAD,0,1,4,3,10,Díaz,Scott
2025,2025-06-03,1,NYM,LAD,0,0,5,6,10,Scott,Buttó
2025,2025-06-04,1,NYM,LAD,0,1,6,1,9,Canning,Gonsolin
2025,2025-06-05,1,NYM,LAD,0,0,5,6,9,Vesia,Garrett
2025,2025-06-06,1,NYM,COL,0,1,4,2,9,Stanek,Agnos
2025,2025-06-07,1,NYM,COL,0,1,8,1,9,Holmes,Márquez
2025,2025-06-08,1,NYM,COL,0,1,13,5,9,Megill,Dollander
2025,2025-06-10,1,NYM,WSN,1,1,5,4,10,Garrett,Henry
2025,2025-06-11,1,NYM,WSN,1,1,5,0,9,Peterson,Irvin
2025,2025-06-12,1,NYM,WSN,1,1,4,3,9,Senga,Soroka
2025,2025-06-13,1,NYM,TBR,1,0,5,7,9,Orze,Kranick
2025,2025-06-14,1,NYM,TBR,1,0,4,8,9,Rasmussen,Megill
2025,2025-06-15,1,NYM,TBR,1,0,0,9,9,Baz,Canning
2025,2025-06-17,1,NYM,ATL,0,0,4,5,10,Iglesias,Brazobán
2025,2025-06-18,1,NYM,ATL,0,0,0,5,9,Sale,Blackburn
2025,2025-06-19,1,NYM,ATL,0,0,1,7,9,Strider,Holmes
2025,2025-06-20,1,NYM,PHI,0,0,2,10,9,Banks,Garrett
2025,2025-06-21,1,NYM,PHI,0,1,11,4,9,Canning,Abel
2025,2025-06-22,1,NYM,PHI,0,0,1,7,9,Luzardo,Peterson
2025,2025-06-23,1,NYM,ATL,1,0,2,3,9,Schwellenbach,Blackburn
2025,2025-06-24,1,NYM,ATL,1,0,4,7,9,Strider,Castillo
2025,2025-06-25,1,NYM,ATL,1,1,7,3,9,Holmes,Fuentes
2025,2025-06-26,1,NYM,ATL,1,1,4,0,9,Warren,Holmes
2025,2025-06-27,1,NYM,PIT,0,0,1,9,9,Keller,Peterson
2025,2025-06-28,1,NYM,PIT,0,0,2,9,9,Ashcraft,Blackburn
2025,2025-06-29,1,NYM,PIT,0,0,1,12,9,Mlodzinski,Montas
2025,2025-07-02,1,NYM,MIL,1,0,2,7,9,Peralta,Garrett
2025,2025-07-02,2,NYM,MIL,1,1,7,3,9,Tidwell,Misiorowski
2025,2025-07-03,1,NYM,MIL,1,1,3,2,9,Peterson,Quintana
2025,2025-07-04,1,NYM,NYY,1,1,6,5,9,Brazobán,Weaver
2025,2025-07-05,1,NYM,NYY,1,1,12,6,9,Montas,Rodón
2025,2025-07-06,1,NYM,NYY,1,0,4,6,9,Fried,Pop
2025,2025-07-08,1,NYM,BAL,0,1,7,6,10,Díaz,Cano
2025,2025-07-10,1,NYM,BAL,0,0,1,3,9,Wolfram,Stanek
2025,2025-07-10,2,NYM,BAL,0,0,3,7,9,Sugano,Hagenman
2025,2025-07-11,1,NYM,KCR,0,1,8,3,9,Brazobán,Cruz
2025,2025-07-12,1,NYM,KCR,0,1,3,1,9,Montas,Bowlan
2025,2025-07-13,1,NYM,KCR,0,0,2,3,9,Estévez,Manaea
2025,2025-07-18,1,NYM,CIN,1,0,4,8,9,Lodolo,Carrillo
2025,2025-07-19,1,NYM,CIN,1,0,2,5,9,Martinez,Holmes
2025,2025-07-20,1,NYM,CIN,1,1,3,2,9,Díaz,Suter
2025,2025-07-21,1,NYM,LAA,1,1,7,5,9,Raley,Fermin
2025,2025-07-22,1,NYM,LAA,1,1,3,2,9,Montas,Hendricks
2025,2025-07-23,1,NYM,LAA,1,1,6,3,9,Manaea,Eder
2025,2025-07-25,1,NYM,SFG,0,1,8,1,9,Holmes,Webb
2025,2025-07-26,1,NYM,SFG,0,1,2,1,9,Peterson,Ray
2025,2025-07-27,1,NYM,SFG,0,1,5,3,9,Buttó,Rodríguez
2025,2025-07-28,1,NYM,SDP,0,0,6,7,9,Suarez,Soto
2025,2025-07-29,1,NYM,SDP,0,0,1,7,9,Peralta,Buttó
2025,2025-07-30,1,NYM,SDP,0,0,0,5,9,Darvish,Holmes
2025,2025-08-01,1,NYM,SFG,1,0,3,4,10,Walker,Díaz
2025,2025-08-02,1,NYM,SFG,1,1,12,6,9,Garrett,Teng
2025,2025-08-03,1,NYM,SFG,1,0,4,12,9,Whisenhunt,Montas
2025,2025-08-04,1,NYM,CLE,1,0,6,7,10,Smith,Helsley
2025,2025-08-05,1,NYM,CLE,1,0,2,3,9,Festa,Rogers
2025,2025-08-06,1,NYM,CLE,1,0,1,4,9,Williams,Peterson
2025,2025-08-08,1,NYM,MIL,0,0,2,3,9,Woodruff,Senga
2025,2025-08-09,1,NYM,MIL,0,0,4,7,9,Koenig,Stanek
2025,2025-08-10,1,NYM,MIL,0,0,6,7,9,Mears,Díaz
2025,2025-08-12,1,NYM,ATL,1,1,13,5,9,Soto,Strider
2025,2025-08-13,1,NYM,ATL,1,0,6,11,9,Bummer,Garrett
2025,2025-08-14,1,NYM,ATL,1,0,3,4,9,Elder,Helsley
2025,2025-08-15,1,NYM,SEA,1,0,9,11,9,Ferguson,Helsley
2025,2025-08-16,1,NYM,SEA,1,1,3,1,9,McLean,Woo
2025,2025-08-17,1,NYM,SEA,1,1,7,3,9,Holmes,Kirby
2025,2025-08-19,1,NYM,WSN,0,1,8,1,9,Peterson,Irvin
2025,2025-08-20,1,NYM,WSN,0,0,4,5,9,Lord,Senga
2025,2025-08-21,1,NYM,WSN,0,0,3,9,9,Rutledge,Manaea
2025,2025-08-22,1,NYM,ATL,0,1,12,7,9,McLean,Wentz
2025,2025-08-23,1,NYM,ATL,0,1,9,2,9,Holmes,Quantrill
2025,2025-08-24,1,NYM,ATL,0,0,3,4,9,Kinley,Soto
2025,2025-08-25,1,NYM,PHI,1,1,13,3,9,Castillo,Sánchez
2025,2025-08-26,1,NYM,PHI,1,1,6,5,9,Díaz,Duran
2025,2025-08-27,1,NYM,PHI,1,1,6,0,9,McLean,Walker
2025,2025-08-28,1,NYM,MIA,1,0,4,7,9,Gibson,Soto
2025,2025-08-29,1,NYM,MIA,1,1,19,9,9,Tong,Pérez
2025,2025-08-30,1,NYM,MIA,1,0,8,11,9,Faucher,Rogers
2025,2025-08-31,1,NYM,MIA,1,0,1,5,9,Alcantara,Senga
2025,2025-09-01,1,NYM,DET,0,1,10,8,9,Stanek,Sommers
2025,2025-09-02,1,NYM,DET,0,1,12,5,9,McLean,Gipson-Long
2025,2025-09-03,1,NYM,DET,0,0,2,6,9,Mize,Holmes
2025,2025-09-05,1,NYM,CIN,0,1,5,4,9,Peterson,Abbott
2025,2025-09-06,1,NYM,CIN,0,0,3,6,9,Singer,Tong
2025,2025-09-07,1,NYM,CIN,0,0,2,3,9,Greene,Sproat
2025,2025-09-08,1,NYM,PHI,0,0,0,1,9,Nola,McLean
2025,2025-09-09,1,NYM,PHI,0,0,3,9,9,Suarez,Manaea
2025,2025-09-10,1,NYM,PHI,0,0,3,11,9,Sánchez,Holmes
2025,2025-09-11,1,NYM,PHI,0,0,4,6,9,Luzardo,Garrett
2025,2025-09-12,1,NYM,TEX,1,0,3,8,9,deGrom,Tong
2025,2025-09-13,1,NYM,TEX,1,0,2,3,9,Maton,Díaz
2025,2025-09-14,1,NYM,TEX,1,1,5,2,10,Stanek,Curvelo
2025,2025-09-16,1,NYM,SDP,1,1,8,3,9,Manaea,King
2025,2025-09-17,1,NYM,SDP,1,0,4,7,9,Morejón,Peterson
2025,2025-09-18,1,NYM,SDP,1,1,6,1,9,Tong,Vásquez
2025,2025-09-19,1,NYM,WSN,1,1,12,6,9,Raley,Alvarez
2025,2025-09-20,1,NYM,WSN,1,0,3,5,11,Lao,Rogers
2025,2025-09-21,1,NYM,WSN,1,0,2,3,9,Irvin,Manaea
