season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2025,2025-03-27,1,NYY,MIL,1,1,4,2,9,Rodón,Peralta
2025,2025-03-29,1,NYY,MIL,1,1,20,9,9,Gómez,Cortés
2025,2025-03-30,1,NYY,MIL,1,1,12,3,9,Hill,Civale
2025,2025-04-01,1,NYY,ARI,1,0,5,7,9,Miller,Leiter
2025,2025-04-02,1,NYY,ARI,1,0,3,4,9,Gallen,Rodón
2025,2025-04-03,1,NYY,ARI,1,1,9,7,9,Carrasco,Kelly
2025,2025-04-04,1,NYY,PIT,0,1,9,4,9,Fried,Keller
2025,2025-04-05,1,NYY,PIT,0,1,10,4,9,Leiter,Falter
2025,2025-04-06,1,NYY,PIT,0,0,4,5,11,Wentz,Williams
2025,2025-04-07,1,NYY,DET,0,0,2,6,9,Mize,Rodón
2025,2025-04-08,1,NYY,DET,0,0,0,5,9,Skubal,Carrasco
2025,2025-04-09,1,NYY,DET,0,1,4,3,9,Fried,Holton
2025,2025-04-11,1,NYY,SFG,1,0,1,9,6,Ray,Stroman
2025,2025-04-12,1,NYY,SFG,1,1,8,4,9,Warren,Hicks
2025,2025-04-13,1,NYY,SFG,1,0,4,5,9,Webb,Rodón
2025,2025-04-14,1,NYY,KCR,1,1,4,1,9,Carrasco,Lugo
2025,2025-04-15,1,NYY,KCR,1,1,4,2,9,Fried,Wacha
2025,2025-04-16,1,NYY,KCR,1,1,4,3,9,Leiter,Schreiber
2025,2025-04-17,1,NYY,TBR,0,1,6,3,9,Hill,Bradley
2025,2025-04-18,1,NYY,TBR,0,1,1,0,9,Rodón,Rasmussen
2025,2025-04-19,1,NYY,TBR,0,0,8,10,10,Uceta,Gómez
2025,2025-04-20,1,NYY,TBR,0,1,4,0,9,Fried,Pepiot
2025,2025-04-21,1,NYY,CLE,0,0,4,6,9,Williams,Schmidt
2025,2025-04-22,1,NYY,CLE,0,0,2,3,9,Bibee,Leiter
2025,2025-04-23,1,NYY,CLE,0,1,5,1,9,Rodón,Ortiz
2025,2025-04-25,1,NYY,TOR,1,0,2,4,9,Fluharty,Williams
2025,2025-04-27,1,NYY,TOR,1,1,11,2,9,Fried,Gausman
2025,2025-04-27,2,NYY,TOR,1,1,5,1,9,Hill,Bassitt
2025,2025-04-28,1,NYY,BAL,0,0,3,4,9,Sugano,Warren
2025,2025-04-29,1,NYY,BAL,0,1,15,3,9,Rodón,Gibson
2025,2025-04-30,1,NYY,BAL,0,0,4,5,9,Baker,Carrasco
2025,2025-05-02,1,NYY,TBR,1,1,3,0,9,Fried,Pepiot
2025,2025-05-03,1,NYY,TBR,1,0,2,3,9,Littell,Leiter
2025,2025-05-04,1,NYY,TBR,1,0,5,7,9,Bradley,Warren
2025,2025-05-05,1,NYY,SDP,1,0,3,4,9,Bergert,Weaver
