season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2024,2024-03-28,1,OAK,CLE,1,0,0,8,9,Bieber,Wood
2024,2024-03-29,1,OAK,CLE,1,0,4,6,9,Allen,Stripling
2024,2024-03-30,1,OAK,CLE,1,0,3,12,9,Sandlin,Sears
2024,2024-03-31,1,OAK,CLE,1,1,4,3,9,Jiménez,Barlow
2024,2024-04-01,1,OAK,BOS,1,0,0,9,9,Houck,Boyle
2024,2024-04-02,1,OAK,BOS,1,0,4,5,11,Winckowski,Spence
2024,2024-04-03,1,OAK,BOS,1,0,0,1,9,Pivetta,Stripling
2024,2024-04-05,1,OAK,DET,0,0,4,5,9,Foley,Erceg
2024,2024-04-06,1,OAK,DET,0,1,4,0,9,Blackburn,Maeda
2024,2024-04-07,1,OAK,DET,0,1,7,1,9,Boyle,Flaherty
2024,2024-04-09,1,OAK,TEX,0,1,4,3,9,Kelly,Leclerc
2024,2024-04-10,1,OAK,TEX,0,0,2,6,9,Bradford,Stripling
2024,2024-04-11,1,OAK,TEX,0,1,1,0,9,Sears,Gray
2024,2024-04-12,1,OAK,WSN,1,1,2,1,10,Kelly,Finnegan
2024,2024-04-13,1,OAK,WSN,1,0,1,3,9,Gore,Boyle
2024,2024-04-14,1,OAK,WSN,1,1,7,6,9,Spence,Law
2024,2024-04-15,1,OAK,STL,1,0,1,3,9,Gray,Stripling
2024,2024-04-16,1,OAK,STL,1,0,2,3,9,Lynn,Jiménez
2024,2024-04-17,1,OAK,STL,1,1,6,3,9,Blackburn,Matz
2024,2024-04-19,1,OAK,CLE,0,0,2,10,9,McKenzie,Boyle
2024,2024-04-20,1,OAK,CLE,0,0,3,6,9,Allen,Wood
2024,2024-04-21,1,OAK,CLE,0,0,2,6,9,Bibee,Stripling
2024,2024-04-22,1,OAK,NYY,0,1,2,0,9,Erceg,González
2024,2024-04-23,1,OAK,NYY,0,0,3,4,9,Stroman,Blackburn
2024,2024-04-24,1,OAK,NYY,0,0,3,7,9,Schmidt,Boyle
2024,2024-04-25,1,OAK,NYY,0,1,3,1,9,Wood,Cortés
2024,2024-04-26,1,OAK,BAL,0,1,3,2,10,Spence,Webb
2024,2024-04-27,1,OAK,BAL,0,0,0,7,9,Irvin,Sears
2024,2024-04-28,1,OAK,BAL,0,1,7,6,9,McFarland,Kimbrel
2024,2024-04-29,1,OAK,PIT,1,1,5,1,9,Boyle,Falter
2024,2024-04-30,1,OAK,PIT,1,1,5,2,9,Spence,Keller
2024,2024-05-01,1,OAK,PIT,1,1,4,0,9,Stripling,Priester
2024,2024-05-03,1,OAK,MIA,1,1,3,1,9,Sears,Weathers
2024,2024-05-04,1,OAK,MIA,1,1,20,4,9,Blackburn,Rogers
2024,2024-05-05,1,OAK,MIA,1,0,3,12,9,Smith,Boyle
2024,2024-05-06,1,OAK,TEX,1,0,2,4,9,Leclerc,Erceg
2024,2024-05-07,1,OAK,TEX,1,0,8,15,9,Ureña,Stripling
2024,2024-05-08,1,OAK,TEX,1,1,9,4,9,Sears,Lorenzen
2024,2024-05-08,2,OAK,TEX,1,0,11,12,9,Robertson,Bido
2024,2024-05-10,1,OAK,SEA,0,0,1,8,9,Thornton,Blackburn
2024,2024-05-11,1,OAK,SEA,0,1,8,1,9,Estes,Miller
2024,2024-05-12,1,OAK,SEA,0,0,4,8,9,Castillo,Wood
2024,2024-05-13,1,OAK,HOU,0,0,2,9,9,Arrighetti,Stripling
2024,2024-05-14,1,OAK,HOU,0,0,1,2,10,Hader,Kelly
2024,2024-05-15,1,OAK,HOU,0,0,0,3,9,Valdez,Brooks
2024,2024-05-16,1,OAK,HOU,0,0,1,8,9,Javier,Estes
2024,2024-05-17,1,OAK,KCR,0,0,2,6,9,Ragans,Spence
2024,2024-05-18,1,OAK,KCR,0,0,3,5,9,Lugo,Stripling
2024,2024-05-19,1,OAK,KCR,0,0,4,8,9,Singer,Sears
2024,2024-05-21,1,OAK,COL,1,1,5,4,9,Erceg,Kinley
2024,2024-05-22,1,OAK,COL,1,0,3,4,12,Mears,Muller
2024,2024-05-23,1,OAK,COL,1,1,10,9,11,Bielak,Lambert
2024,2024-05-24,1,OAK,HOU,1,0,3,6,9,Verlander,Stripling
2024,2024-05-25,1,OAK,HOU,1,1,3,1,9,Sears,Arrighetti
2024,2024-05-26,1,OAK,HOU,1,0,2,5,9,Blanco,Brooks
2024,2024-05-28,1,OAK,TBR,0,1,3,0,9,Spence,Littell
2024,2024-05-29,1,OAK,TBR,0,0,3,4,9,Fairbanks,Kelly
2024,2024-05-30,1,OAK,TBR,0,0,5,6,12,Lovelady,Ferguson
2024,2024-05-31,1,OAK,ATL,0,0,2,4,9,López,Sears
2024,2024-06-01,1,OAK,ATL,0,1,11,9,9,Kelly,Herget
2024,2024-06-02,1,OAK,ATL,0,0,1,3,9,Lee,Adams
2024,2024-06-04,1,OAK,SEA,1,0,3,4,9,Kirby,Spence
2024,2024-06-05,1,OAK,SEA,1,1,2,1,9,Estes,Gilbert
2024,2024-06-06,1,OAK,SEA,1,0,0,3,9,Woo,Sears
2024,2024-06-07,1,OAK,TOR,1,1,2,1,9,Miller,Green
2024,2024-06-08,1,OAK,TOR,1,0,0,7,9,Gausman,Medina
2024,2024-06-09,1,OAK,TOR,1,0,4,6,10,García,Adams
2024,2024-06-10,1,OAK,SDP,0,0,1,6,9,Cease,Estes
