season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2025,2025-03-27,1,PHI,WSN,0,1,7,3,10,Alvarado,Poche
2025,2025-03-29,1,PHI,WSN,0,1,11,6,9,Luzardo,Poche
2025,2025-03-30,1,PHI,WSN,0,0,1,5,9,Parker,Nola
2025,2025-03-31,1,PHI,COL,1,1,6,1,9,Ross,Alexander
2025,2025-04-02,1,PHI,COL,1,1,5,1,9,Wheeler,Freeland
2025,2025-04-03,1,PHI,COL,1,1,3,1,9,Walker,Senzatela
2025,2025-04-04,1,PHI,LAD,1,1,3,2,9,Luzardo,Yamamoto
2025,2025-04-05,1,PHI,LAD,1,0,1,3,9,Banda,Nola
2025,2025-04-06,1,PHI,LAD,1,1,8,7,9,Kerkering,Treinen
2025,2025-04-08,1,PHI,ATL,0,0,5,7,9,Hernández,Kerkering
2025,2025-04-09,1,PHI,ATL,0,1,4,3,9,Alvarado,Iglesias
2025,2025-04-10,1,PHI,ATL,0,0,2,4,11,Suarez,Ross
2025,2025-04-11,1,PHI,STL,0,0,0,2,9,Pallante,Nola
2025,2025-04-12,1,PHI,STL,0,1,4,1,9,Sánchez,Mikolas
2025,2025-04-13,1,PHI,STL,0,0,0,7,9,Liberatore,Wheeler
2025,2025-04-14,1,PHI,SFG,1,0,4,10,9,Roupp,Walker
2025,2025-04-15,1,PHI,SFG,1,1,6,4,9,Kerkering,Verlander
2025,2025-04-16,1,PHI,SFG,1,0,4,11,9,Trivino,Nola
2025,2025-04-17,1,PHI,SFG,1,1,6,4,9,Sánchez,Hicks
2025,2025-04-18,1,PHI,MIA,1,1,7,2,9,Wheeler,Alcantara
2025,2025-04-19,1,PHI,MIA,1,1,11,10,9,Strahm,Quantrill
2025,2025-04-20,1,PHI,MIA,1,0,5,7,10,Faucher,Strahm
2025,2025-04-21,1,PHI,NYM,0,0,4,5,9,Megill,Nola
2025,2025-04-22,1,PHI,NYM,0,0,1,5,9,Canning,Sánchez
2025,2025-04-23,1,PHI,NYM,0,0,3,4,10,Kranick,Romano
2025,2025-04-25,1,PHI,CHC,0,0,0,4,9,Rea,Walker
2025,2025-04-26,1,PHI,CHC,0,1,10,4,9,Luzardo,Brown
2025,2025-04-27,1,PHI,CHC,0,1,3,1,10,Alvarado,Merryweather
2025,2025-04-29,1,PHI,WSN,1,1,7,6,9,Kerkering,Finnegan
2025,2025-04-30,1,PHI,WSN,1,1,7,2,9,Sánchez,Irvin
2025,2025-05-01,1,PHI,WSN,1,0,2,4,9,Lord,Walker
2025,2025-05-02,1,PHI,ARI,1,1,3,2,9,Banks,Castillo
2025,2025-05-03,1,PHI,ARI,1,1,7,2,9,Nola,Pfaadt
2025,2025-05-04,1,PHI,ARI,1,0,9,11,10,Miller,Alvarado
2025,2025-05-06,1,PHI,TBR,0,1,8,4,9,Wheeler,Rasmussen
2025,2025-05-07,1,PHI,TBR,0,1,7,0,9,Sánchez,Baz
