season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2025,2025-03-27,1,PIT,MIA,0,0,4,5,9,Tinoco,Bednar
2025,2025-03-28,1,PIT,MIA,0,1,4,3,9,Keller,Gillispie
2025,2025-03-29,1,PIT,MIA,0,0,4,5,12,Soriano,Wentz
2025,2025-03-30,1,PIT,MIA,0,0,2,3,9,Bender,Bednar
2025,2025-03-31,1,PIT,TBR,0,0,1,6,9,Rasmussen,Mlodzinski
2025,2025-04-01,1,PIT,TBR,0,0,0,7,9,Baz,Harrington
2025,2025-04-02,1,PIT,TBR,0,1,4,2,9,Skenes,Pepiot
2025,2025-04-04,1,PIT,NYY,1,0,4,9,9,Fried,Keller
2025,2025-04-05,1,PIT,NYY,1,0,4,10,9,Leiter,Falter
2025,2025-04-06,1,PIT,NYY,1,1,5,4,11,Wentz,Williams
2025,2025-04-07,1,PIT,STL,1,1,8,4,9,Mlodzinski,Liberatore
2025,2025-04-08,1,PIT,STL,1,0,3,5,9,Gray,Skenes
2025,2025-04-09,1,PIT,STL,1,1,2,1,13,Lawrence,Roycroft
2025,2025-04-11,1,PIT,CIN,0,0,3,5,9,Singer,Falter
2025,2025-04-12,1,PIT,CIN,0,0,2,5,9,Abbott,Heaney
2025,2025-04-13,1,PIT,CIN,0,0,0,4,9,Greene,Mlodzinski
2025,2025-04-14,1,PIT,WSN,1,1,10,3,9,Skenes,Lord
2025,2025-04-15,1,PIT,WSN,1,0,0,3,9,Irvin,Keller
2025,2025-04-16,1,PIT,WSN,1,1,6,1,9,Falter,Parker
2025,2025-04-17,1,PIT,WSN,1,1,1,0,9,Heaney,Williams
2025,2025-04-18,1,PIT,CLE,1,0,7,10,9,Ortiz,Mlodzinski
2025,2025-04-19,1,PIT,CLE,1,0,0,3,9,Lively,Skenes
2025,2025-04-20,1,PIT,CLE,1,0,4,5,10,Clase,Santana
2025,2025-04-22,1,PIT,LAA,0,1,9,3,9,Shugart,Soriano
2025,2025-04-23,1,PIT,LAA,0,1,3,0,9,Heaney,Kochanowicz
2025,2025-04-24,1,PIT,LAA,0,0,3,4,9,Zeferjahn,Shugart
2025,2025-04-25,1,PIT,LAD,0,1,3,0,9,Skenes,Yamamoto
2025,2025-04-26,1,PIT,LAD,0,0,4,8,9,Yates,Holderman
2025,2025-04-27,1,PIT,LAD,0,0,2,9,9,Casparius,Falter
2025,2025-04-29,1,PIT,CHC,1,0,0,9,9,Imanaga,Heaney
2025,2025-04-30,1,PIT,CHC,1,1,4,3,9,Ferguson,Thielbar
2025,2025-05-01,1,PIT,CHC,1,0,3,8,9,Rea,Skenes
2025,2025-05-02,1,PIT,SDP,1,0,4,9,9,Estrada,Keller
2025,2025-05-03,1,PIT,SDP,1,0,1,2,9,Adam,Bednar
2025,2025-05-04,1,PIT,SDP,1,0,0,4,9,Kolek,Heaney
2025,2025-05-05,1,PIT,STL,0,0,3,6,9,Graceffo,Shugart
2025,2025-05-06,1,PIT,STL,0,0,1,2,9,Liberatore,Skenes
2025,2025-05-07,1,PIT,STL,0,0,0,5,9,Gray,Keller
2025,2025-05-09,1,PIT,ATL,1,1,3,2,9,Falter,Elder
2025,2025-05-10,1,PIT,ATL,1,0,2,3,11,Blewett,Shugart
2025,2025-05-11,1,PIT,ATL,1,1,4,3,9,Santana,Iglesias
2025,2025-05-12,1,PIT,NYM,0,0,3,4,9,Brazobán,Bednar
2025,2025-05-13,1,PIT,NYM,0,0,1,2,9,Kranick,Keller
2025,2025-05-14,1,PIT,NYM,0,1,4,0,9,Shugart,Holmes
2025,2025-05-16,1,PIT,PHI,0,0,4,8,9,Suarez,Borucki
2025,2025-05-17,1,PIT,PHI,0,0,2,5,9,Wheeler,Mlodzinski
2025,2025-05-18,1,PIT,PHI,0,0,0,1,9,Abel,Skenes
2025,2025-05-19,1,PIT,CIN,1,0,1,7,9,Lodolo,Keller
2025,2025-05-20,1,PIT,CIN,1,1,1,0,9,Falter,Martinez
2025,2025-05-21,1,PIT,CIN,1,1,3,1,9,Heaney,Singer
2025,2025-05-22,1,PIT,MIL,1,0,5,8,9,Rodriguez,Burrows
2025,2025-05-23,1,PIT,MIL,1,1,6,5,10,Borucki,Uribe
2025,2025-05-24,1,PIT,MIL,1,1,2,1,9,Shugart,Alexander
2025,2025-05-25,1,PIT,MIL,1,0,5,6,9,Koenig,Borucki
2025,2025-05-26,1,PIT,ARI,0,0,0,5,9,Nelson,Heaney
2025,2025-05-27,1,PIT,ARI,0,1,9,6,9,Wentz,Ginkel
2025,2025-05-28,1,PIT,ARI,0,1,10,1,9,Skenes,Gallen
2025,2025-05-30,1,PIT,SDP,0,0,2,3,9,Pivetta,Keller
2025,2025-05-31,1,PIT,SDP,0,1,5,0,9,Falter,Cease
2025,2025-06-01,1,PIT,SDP,0,0,4,6,9,Morejón,Rainey
2025,2025-06-03,1,PIT,HOU,1,0,0,3,9,McCullers,Skenes
2025,2025-06-04,1,PIT,HOU,1,1,3,0,9,Burrows,Gusto
2025,2025-06-05,1,PIT,HOU,1,0,2,8,9,Valdez,Keller
2025,2025-06-06,1,PIT,PHI,1,1,5,4,9,Bednar,Romano
2025,2025-06-07,1,PIT,PHI,1,1,2,1,9,Mattson,Suarez
2025,2025-06-08,1,PIT,PHI,1,1,2,1,9,Ashcraft,Sánchez
