season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2024,2024-03-20,1,SDP,LAD,1,0,2,5,9,Hudson,Brito
2024,2024-03-21,1,SDP,LAD,0,1,15,11,9,King,Yamamoto
2024,2024-03-28,1,SDP,SFG,1,1,6,4,9,Matsui,Jackson
2024,2024-03-29,1,SDP,SFG,1,0,3,8,9,Harrison,Musgrove
2024,2024-03-30,1,SDP,SFG,1,0,6,9,9,Hicks,Cease
2024,2024-03-31,1,SDP,SFG,1,1,13,4,9,Avila,Jefferies
2024,2024-04-01,1,SDP,STL,1,0,2,6,9,Gibson,Waldron
2024,2024-04-02,1,SDP,STL,1,0,2,5,9,Mikolas,Darvish
2024,2024-04-03,1,SDP,STL,1,1,3,2,9,Musgrove,Thompson
2024,2024-04-05,1,SDP,SFG,0,0,2,3,9,Doval,De Los Santos
2024,2024-04-06,1,SDP,SFG,0,1,4,0,9,King,Winn
2024,2024-04-07,1,SDP,SFG,0,0,2,3,9,Walker,Brito
2024,2024-04-08,1,SDP,CHC,1,1,9,8,9,Peralta,Alzolay
2024,2024-04-09,1,SDP,CHC,1,0,1,5,9,Smyly,Musgrove
2024,2024-04-10,1,SDP,CHC,1,1,10,2,9,Cease,Hendricks
2024,2024-04-12,1,SDP,LAD,0,1,8,7,11,Suarez,Vesia
2024,2024-04-13,1,SDP,LAD,0,0,2,5,9,Stone,Cosgrove
2024,2024-04-14,1,SDP,LAD,0,1,6,3,9,Matsui,Feyereisen
2024,2024-04-15,1,SDP,MIL,0,1,7,3,9,Musgrove,Ross
2024,2024-04-16,1,SDP,MIL,0,1,6,3,9,Cease,Miley
2024,2024-04-17,1,SDP,MIL,0,0,0,1,9,Uribe,King
2024,2024-04-19,1,SDP,TOR,1,0,1,5,9,Francis,Waldron
2024,2024-04-20,1,SDP,TOR,1,0,2,5,9,Berríos,Vásquez
2024,2024-04-21,1,SDP,TOR,1,1,6,3,9,Musgrove,Bassitt
2024,2024-04-22,1,SDP,COL,0,1,3,1,9,Cease,Mears
