season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2025,2025-03-27,1,SFG,CIN,0,1,6,4,9,Rogers,Gibaut
2025,2025-03-29,1,SFG,CIN,0,0,2,3,9,Lodolo,Bivens
2025,2025-03-30,1,SFG,CIN,0,1,6,3,9,Ray,Martinez
2025,2025-03-31,1,SFG,HOU,0,1,7,2,9,Hicks,Blanco
2025,2025-04-01,1,SFG,HOU,0,1,3,1,9,Webb,Wesneski
2025,2025-04-02,1,SFG,HOU,0,1,6,3,9,Rodríguez,Valdez
2025,2025-04-04,1,SFG,SEA,1,1,10,9,11,Bivens,Vargas
2025,2025-04-05,1,SFG,SEA,1,1,4,1,9,Ray,Miller
2025,2025-04-06,1,SFG,SEA,1,1,5,4,9,Doval,Santos
2025,2025-04-07,1,SFG,CIN,1,0,0,2,9,Greene,Doval
2025,2025-04-08,1,SFG,CIN,1,0,0,1,9,Lodolo,Roupp
2025,2025-04-09,1,SFG,CIN,1,1,8,6,10,Miller,Pagán
2025,2025-04-11,1,SFG,NYY,0,1,9,1,6,Ray,Stroman
2025,2025-04-12,1,SFG,NYY,0,0,4,8,9,Warren,Hicks
2025,2025-04-13,1,SFG,NYY,0,1,5,4,9,Webb,Rodón
2025,2025-04-14,1,SFG,PHI,0,1,10,4,9,Roupp,Walker
2025,2025-04-15,1,SFG,PHI,0,0,4,6,9,Kerkering,Verlander
2025,2025-04-16,1,SFG,PHI,0,1,11,4,9,Trivino,Nola
2025,2025-04-17,1,SFG,PHI,0,0,4,6,9,Sánchez,Hicks
2025,2025-04-18,1,SFG,LAA,0,0,0,2,9,Anderson,Webb
2025,2025-04-19,1,SFG,LAA,0,1,3,2,9,Roupp,Hendricks
2025,2025-04-20,1,SFG,LAA,0,0,4,5,9,Darrell-Hicks,Walker
2025,2025-04-21,1,SFG,MIL,1,1,5,2,9,Birdsong,Anderson
2025,2025-04-22,1,SFG,MIL,1,0,3,11,9,Quintana,Hicks
2025,2025-04-23,1,SFG,MIL,1,1,4,2,9,Webb,Peralta
