season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2024,2024-03-28,1,STL,LAD,0,0,1,7,9,Glasnow,Mikolas
2024,2024-03-29,1,STL,LAD,0,0,3,6,9,Miller,Thompson
2024,2024-03-30,1,STL,LAD,0,1,6,5,10,Helsley,Hurt
2024,2024-03-31,1,STL,LAD,0,0,4,5,9,Crismatt,King
2024,2024-04-01,1,STL,SDP,0,1,6,2,9,Gibson,Waldron
2024,2024-04-02,1,STL,SDP,0,1,5,2,9,Mikolas,Darvish
2024,2024-04-03,1,STL,SDP,0,0,2,3,9,Musgrove,Thompson
2024,2024-04-04,1,STL,MIA,1,1,8,5,9,Gallegos,Sánchez
2024,2024-04-06,1,STL,MIA,1,1,3,1,9,Matz,Rogers
2024,2024-04-07,1,STL,MIA,1,0,3,10,9,Meyer,Gibson
2024,2024-04-08,1,STL,PHI,1,0,3,5,10,Hoffman,Helsley
2024,2024-04-09,1,STL,PHI,1,1,3,0,9,Gray,Wheeler
2024,2024-04-10,1,STL,PHI,1,0,3,4,9,Nola,Pallante
2024,2024-04-12,1,STL,ARI,0,1,9,6,9,Gallegos,Mantiply
2024,2024-04-13,1,STL,ARI,0,0,2,4,9,Nelson,Gibson
2024,2024-04-14,1,STL,ARI,0,0,0,5,9,Gallen,Mikolas
2024,2024-04-15,1,STL,OAK,0,1,3,1,9,Gray,Stripling
2024,2024-04-16,1,STL,OAK,0,1,3,2,9,Lynn,Jiménez
2024,2024-04-17,1,STL,OAK,0,0,3,6,9,Blackburn,Matz
2024,2024-04-19,1,STL,MIL,1,0,1,2,10,Payamps,Helsley
2024,2024-04-20,1,STL,MIL,1,0,5,12,9,Wilson,Mikolas
2024,2024-04-21,1,STL,MIL,1,0,0,2,9,Hudson,Gray
2024,2024-04-22,1,STL,ARI,1,1,5,3,9,Helsley,Thompson
2024,2024-04-23,1,STL,ARI,1,0,1,14,9,Henry,Matz
2024,2024-04-24,1,STL,ARI,1,1,5,1,9,Gibson,Montgomery
2024,2024-04-26,1,STL,NYM,0,1,4,2,9,Mikolas,Buttó
2024,2024-04-27,1,STL,NYM,0,1,7,4,9,Gray,Houser
2024,2024-04-28,1,STL,NYM,0,0,2,4,11,Garrett,Liberatore
2024,2024-04-30,1,STL,DET,0,1,2,1,9,Liberatore,Miller
2024,2024-04-30,2,STL,DET,0,0,6,11,9,Holton,Leahy
2024,2024-05-01,1,STL,DET,0,0,1,4,9,Maeda,Mikolas
2024,2024-05-03,1,STL,CHW,1,1,3,0,9,Gray,Keller
2024,2024-05-04,1,STL,CHW,1,0,5,6,10,Kopech,Fernandez
2024,2024-05-05,1,STL,CHW,1,0,1,5,9,Crochet,Gallegos
2024,2024-05-06,1,STL,NYM,1,0,3,4,9,Manaea,Kittredge
2024,2024-05-07,1,STL,NYM,1,0,5,7,9,Buttó,Mikolas
2024,2024-05-09,1,STL,MIL,0,0,1,7,9,Koenig,Gray
2024,2024-05-10,1,STL,MIL,0,0,2,11,9,Gasser,Lynn
2024,2024-05-11,1,STL,MIL,0,0,3,5,9,Milner,Kittredge
2024,2024-05-12,1,STL,MIL,0,1,4,3,9,Mikolas,Peguero
2024,2024-05-13,1,STL,LAA,0,1,10,5,9,Leahy,Moore
2024,2024-05-14,1,STL,LAA,0,1,7,6,9,Gray,Strickland
2024,2024-05-15,1,STL,LAA,0,0,2,7,9,Canning,Lynn
2024,2024-05-17,1,STL,BOS,1,1,10,6,9,Gibson,Bello
2024,2024-05-18,1,STL,BOS,1,1,7,2,9,Romero,Slaten
2024,2024-05-19,1,STL,BOS,1,0,3,11,9,Pivetta,Liberatore
2024,2024-05-20,1,STL,BAL,1,1,6,3,9,Gray,Kremer
2024,2024-05-21,1,STL,BAL,1,1,3,1,9,Lynn,Webb
2024,2024-05-22,1,STL,BAL,1,1,5,4,9,King,Irvin
2024,2024-05-25,1,STL,CHC,1,1,7,6,9,Romero,Leiter
2024,2024-05-26,1,STL,CHC,1,1,4,3,9,Gray,Assad
2024,2024-05-27,1,STL,CIN,0,0,1,3,9,Lodolo,Lynn
2024,2024-05-28,1,STL,CIN,0,1,7,1,9,Gibson,Abbott
2024,2024-05-29,1,STL,CIN,0,1,5,3,9,Pallante,Montas
2024,2024-05-31,1,STL,PHI,0,0,2,4,9,Nola,Mikolas
2024,2024-06-01,1,STL,PHI,0,0,1,6,9,Turnbull,Gray
2024,2024-06-02,1,STL,PHI,0,1,5,4,10,King,Soto
2024,2024-06-03,1,STL,HOU,0,0,4,7,9,Montero,Romero
2024,2024-06-04,1,STL,HOU,0,0,5,8,9,Scott,Pallante
2024,2024-06-05,1,STL,HOU,0,1,4,2,9,Mikolas,Blanco
2024,2024-06-06,1,STL,COL,1,0,2,3,9,Quantrill,Gray
2024,2024-06-07,1,STL,COL,1,1,8,5,9,Romero,Carasiti
2024,2024-06-08,1,STL,COL,1,0,5,6,9,Vodnik,Kittredge
2024,2024-06-09,1,STL,COL,1,1,5,1,9,Pallante,Blach
2024,2024-06-11,1,STL,PIT,1,0,1,2,9,Holderman,Helsley
2024,2024-06-12,1,STL,PIT,1,1,4,2,9,Gray,Falter
2024,2024-06-13,1,STL,PIT,1,1,4,3,9,Roycroft,Keller
2024,2024-06-14,1,STL,CHC,0,1,3,0,9,Gibson,Wesneski
2024,2024-06-15,1,STL,CHC,0,0,1,5,9,Imanaga,Pallante
2024,2024-06-16,1,STL,CHC,0,1,2,1,9,Mikolas,Taillon
2024,2024-06-17,1,STL,MIA,0,1,7,6,12,Kittredge,Puk
2024,2024-06-18,1,STL,MIA,0,0,8,9,10,Faucher,Roycroft
2024,2024-06-19,1,STL,MIA,0,0,3,4,9,Scott,Fernandez
2024,2024-06-20,1,STL,SFG,1,1,6,5,9,Pallante,Winn
2024,2024-06-22,1,STL,SFG,1,1,9,4,9,Mikolas,Hicks
2024,2024-06-23,1,STL,SFG,1,1,5,3,9,Gray,Webb
2024,2024-06-24,1,STL,ATL,1,1,4,3,9,Lynn,Schwellenbach
2024,2024-06-26,1,STL,ATL,1,0,2,6,9,López,Gibson
2024,2024-06-26,2,STL,ATL,1,1,4,1,9,Liberatore,Elder
2024,2024-06-27,1,STL,CIN,1,0,4,11,9,Abbott,Mikolas
2024,2024-06-28,1,STL,CIN,1,1,1,0,9,Pallante,Montas
2024,2024-06-29,1,STL,CIN,1,0,4,9,9,Spiers,Gray
2024,2024-06-30,1,STL,CIN,1,1,2,0,9,Lynn,Greene
2024,2024-07-02,1,STL,PIT,0,1,7,4,9,Gibson,Keller
2024,2024-07-03,1,STL,PIT,0,0,4,5,10,Chapman,Kittredge
2024,2024-07-04,1,STL,PIT,0,1,3,2,10,King,Santana
2024,2024-07-05,1,STL,WSN,0,1,7,6,11,Helsley,Floro
2024,2024-07-06,1,STL,WSN,0,0,6,14,9,Barnes,Lynn
2024,2024-07-07,1,STL,WSN,0,1,8,3,9,Gibson,Herz
2024,2024-07-08,1,STL,WSN,0,1,6,0,9,Mikolas,Parker
2024,2024-07-10,1,STL,KCR,1,0,4,6,9,Marsh,Pallante
2024,2024-07-10,2,STL,KCR,1,0,5,8,9,Wacha,Graceffo
2024,2024-07-12,1,STL,CHC,1,0,1,5,9,Hendricks,Gray
2024,2024-07-13,1,STL,CHC,1,1,11,3,9,Lynn,Wesneski
2024,2024-07-13,2,STL,CHC,1,1,5,4,9,Romero,Hodge
2024,2024-07-14,1,STL,CHC,1,0,3,8,9,Taillon,Mikolas
2024,2024-07-20,1,STL,ATL,0,0,2,3,10,Johnson,Roycroft
2024,2024-07-20,2,STL,ATL,0,1,9,5,9,Gray,Elder
2024,2024-07-21,1,STL,ATL,0,1,6,2,9,Mikolas,Schwellenbach
2024,2024-07-22,1,STL,PIT,0,0,1,2,9,Chapman,King
2024,2024-07-23,1,STL,PIT,0,1,2,1,9,Fernandez,Skenes
2024,2024-07-24,1,STL,PIT,0,0,0,5,9,Pérez,Liberatore
2024,2024-07-26,1,STL,WSN,1,0,8,10,10,Barnes,Fernandez
2024,2024-07-27,1,STL,WSN,1,0,3,14,9,Irvin,Gibson
2024,2024-07-28,1,STL,WSN,1,1,4,3,9,Helsley,Floro
2024,2024-07-29,1,STL,TEX,1,0,3,6,9,Eovaldi,Pallante
2024,2024-07-30,1,STL,TEX,1,1,8,1,9,Lynn,Scherzer
2024,2024-07-31,1,STL,TEX,1,1,10,1,9,McGreevy,Heaney
2024,2024-08-01,1,STL,CHC,0,0,4,5,9,Pearson,Helsley
2024,2024-08-02,1,STL,CHC,0,0,3,6,9,Miller,Fedde
2024,2024-08-03,1,STL,CHC,0,1,5,4,9,Romero,Neris
2024,2024-08-04,1,STL,CHC,0,0,2,6,9,Steele,Mikolas
2024,2024-08-05,1,STL,NYM,1,0,0,6,9,Manaea,Pallante
2024,2024-08-06,1,STL,TBR,1,1,4,3,9,Gray,Springs
2024,2024-08-07,1,STL,TBR,1,1,5,2,9,Fedde,Bradley
2024,2024-08-08,1,STL,TBR,1,0,4,6,9,Lovelady,Romero
2024,2024-08-09,1,STL,KCR,0,1,8,5,9,Liberatore,Smith
2024,2024-08-10,1,STL,KCR,0,0,3,8,9,Wacha,Fernandez
2024,2024-08-12,1,STL,CIN,0,0,1,6,9,Abbott,Gray
2024,2024-08-13,1,STL,CIN,0,0,1,4,9,Greene,Fedde
2024,2024-08-14,1,STL,CIN,0,0,2,9,9,Moll,Gibson
2024,2024-08-16,1,STL,LAD,1,0,6,7,9,Wrobleski,Mikolas
2024,2024-08-17,1,STL,LAD,1,1,5,2,9,Pallante,Miller
2024,2024-08-18,1,STL,LAD,1,0,1,2,9,Kershaw,Gray
2024,2024-08-20,1,STL,MIL,1,0,2,3,9,Montas,Fedde
2024,2024-08-21,1,STL,MIL,1,1,10,6,10,Helsley,Megill
2024,2024-08-22,1,STL,MIL,1,1,3,0,9,Kittredge,Mears
2024,2024-08-23,1,STL,MIN,0,1,6,1,9,Pallante,Festa
2024,2024-08-24,1,STL,MIN,0,0,0,6,9,López,Gray
2024,2024-08-25,1,STL,MIN,0,1,3,2,9,Armstrong,Duran
2024,2024-08-26,1,STL,SDP,1,0,4,7,9,Vásquez,Gibson
2024,2024-08-27,1,STL,SDP,1,0,5,7,9,Matsui,King
2024,2024-08-28,1,STL,SDP,1,1,4,3,9,Helsley,Suarez
2024,2024-08-29,1,STL,SDP,1,1,4,1,9,Gray,King
2024,2024-08-30,1,STL,NYY,0,0,3,6,9,Stroman,Fedde
2024,2024-08-31,1,STL,NYY,0,1,6,5,9,Gibson,Warren
2024,2024-09-01,1,STL,NYY,0,1,14,7,9,Romero,Cousins
2024,2024-09-02,1,STL,MIL,0,0,3,9,9,Peralta,Pallante
2024,2024-09-03,1,STL,MIL,0,1,7,4,12,Helsley,Peguero
2024,2024-09-04,1,STL,MIL,0,1,3,2,10,Kittredge,Payamps
2024,2024-09-06,1,STL,SEA,1,0,1,6,9,Miller,Fedde
2024,2024-09-07,1,STL,SEA,1,1,2,0,9,Kittredge,Gilbert
2024,2024-09-08,1,STL,SEA,1,0,4,10,9,Thornton,Mikolas
2024,2024-09-10,1,STL,CIN,1,0,0,3,9,Lowder,Pallante
2024,2024-09-11,1,STL,CIN,1,1,2,1,9,Romero,Farmer
2024,2024-09-12,1,STL,CIN,1,1,6,1,9,Gray,Spiers
2024,2024-09-13,1,STL,TOR,0,0,3,4,11,Swanson,Fernandez
2024,2024-09-14,1,STL,TOR,0,0,2,7,9,Berríos,Gibson
2024,2024-09-15,1,STL,TOR,0,0,2,3,9,Pop,Kittredge
2024,2024-09-16,1,STL,PIT,1,1,4,0,9,Pallante,Skenes
2024,2024-09-17,1,STL,PIT,1,1,3,1,9,Lynn,Falter
2024,2024-09-18,1,STL,PIT,1,1,10,5,9,McGreevy,Bednar
2024,2024-09-19,1,STL,PIT,1,0,2,3,9,Mlodzinski,Romero
2024,2024-09-20,1,STL,CLE,1,0,1,5,9,Lively,Gibson
2024,2024-09-21,1,STL,CLE,1,1,6,5,9,Mikolas,Boyd
2024,2024-09-22,1,STL,CLE,1,1,2,1,9,Pallante,Herrin
2024,2024-09-24,1,STL,COL,0,1,7,3,9,Kittredge,Chivilli
2024,2024-09-25,1,STL,COL,0,1,5,2,9,Fedde,Gomber
2024,2024-09-26,1,STL,COL,0,0,8,10,9,Chivilli,Fernandez
2024,2024-09-27,1,STL,SFG,0,1,6,3,9,Mikolas,Roupp
2024,2024-09-28,1,STL,SFG,0,0,5,6,9,Walker,Liberatore
2024,2024-09-29,1,STL,SFG,0,1,6,1,9,McGreevy,Birdsong
