season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2025,2025-03-28,1,TBR,COL,1,1,3,2,9,Fairbanks,Vodnik
2025,2025-03-29,1,TBR,COL,1,0,1,2,9,Peralta,Littell
2025,2025-03-30,1,TBR,COL,1,1,6,4,9,Bradley,Peralta
2025,2025-03-31,1,TBR,PIT,1,1,6,1,9,Rasmussen,Mlodzinski
2025,2025-04-01,1,TBR,PIT,1,1,7,0,9,Baz,Harrington
2025,2025-04-02,1,TBR,PIT,1,0,2,4,9,Skenes,Pepiot
2025,2025-04-04,1,TBR,TEX,0,0,2,5,9,Mahle,Littell
2025,2025-04-05,1,TBR,TEX,0,0,4,6,9,Garcia,Montgomery
2025,2025-04-06,1,TBR,TEX,0,0,3,4,9,Webb,Uceta
2025,2025-04-08,1,TBR,LAA,1,0,3,4,9,Burke,Fairbanks
2025,2025-04-09,1,TBR,LAA,1,1,5,4,9,Pepiot,Kikuchi
2025,2025-04-10,1,TBR,LAA,1,0,1,11,9,Soriano,Littell
2025,2025-04-11,1,TBR,ATL,1,1,6,3,9,Bradley,Elder
2025,2025-04-12,1,TBR,ATL,1,0,4,5,9,Lee,Sulser
2025,2025-04-13,1,TBR,ATL,1,1,8,3,9,Boyle,Sale
2025,2025-04-14,1,TBR,BOS,1,1,16,1,9,Baz,Houck
2025,2025-04-15,1,TBR,BOS,1,0,4,7,9,Buehler,Pepiot
2025,2025-04-16,1,TBR,BOS,1,0,0,1,9,Weissert,Littell
2025,2025-04-17,1,TBR,NYY,1,0,3,6,9,Hill,Bradley
2025,2025-04-18,1,TBR,NYY,1,0,0,1,9,Rodón,Rasmussen
2025,2025-04-19,1,TBR,NYY,1,1,10,8,10,Uceta,Gómez
2025,2025-04-20,1,TBR,NYY,1,0,0,4,9,Fried,Pepiot
2025,2025-04-22,1,TBR,ARI,0,0,1,5,9,Pfaadt,Littell
2025,2025-04-23,1,TBR,ARI,0,1,7,6,11,Fairbanks,Jameson
2025,2025-04-24,1,TBR,ARI,0,1,7,4,10,Uceta,Feyereisen
2025,2025-04-25,1,TBR,SDP,0,1,1,0,9,Baz,King
2025,2025-04-26,1,TBR,SDP,0,1,4,1,9,Pepiot,Cease
2025,2025-04-27,1,TBR,SDP,0,1,4,2,9,Littell,Vásquez
2025,2025-04-29,1,TBR,KCR,1,0,1,3,9,Lorenzen,Bradley
2025,2025-04-30,1,TBR,KCR,1,0,0,3,9,Cameron,Rasmussen
2025,2025-05-01,1,TBR,KCR,1,0,2,8,9,Lugo,Baz
2025,2025-05-02,1,TBR,NYY,0,0,0,3,9,Fried,Pepiot
2025,2025-05-03,1,TBR,NYY,0,1,3,2,9,Littell,Leiter
2025,2025-05-04,1,TBR,NYY,0,1,7,5,9,Bradley,Warren
2025,2025-05-06,1,TBR,PHI,1,0,4,8,9,Wheeler,Rasmussen
2025,2025-05-07,1,TBR,PHI,1,0,0,7,9,Sánchez,Baz
2025,2025-05-08,1,TBR,PHI,1,0,6,7,10,Alvarado,Rodríguez
2025,2025-05-09,1,TBR,MIL,1,1,4,3,9,Sulser,Koenig
2025,2025-05-10,1,TBR,MIL,1,1,3,2,9,Fairbanks,Anderson
2025,2025-05-11,1,TBR,MIL,1,0,2,4,9,Alexander,Rasmussen
2025,2025-05-13,1,TBR,TOR,0,1,11,9,9,Uceta,Hoffman
2025,2025-05-14,1,TBR,TOR,0,0,1,3,9,Little,Pepiot
2025,2025-05-15,1,TBR,TOR,0,1,8,3,9,Littell,Gausman
2025,2025-05-16,1,TBR,MIA,0,0,4,9,9,Meyer,Bradley
2025,2025-05-17,1,TBR,MIA,0,1,4,0,9,Rasmussen,Alcantara
2025,2025-05-18,1,TBR,MIA,0,0,1,5,9,Quantrill,Baz
2025,2025-05-19,1,TBR,HOU,1,0,3,4,9,King,Rodríguez
2025,2025-05-20,1,TBR,HOU,1,1,3,2,9,Rodríguez,Ort
2025,2025-05-21,1,TBR,HOU,1,1,8,4,9,Bradley,Brown
2025,2025-05-23,1,TBR,TOR,1,1,3,1,9,Rasmussen,Lauer
2025,2025-05-24,1,TBR,TOR,1,1,3,1,9,Baz,Berríos
2025,2025-05-25,1,TBR,TOR,1,1,13,0,9,Pepiot,Bassitt
2025,2025-05-26,1,TBR,MIN,1,1,7,2,9,Littell,Paddack
2025,2025-05-27,1,TBR,MIN,1,0,2,4,9,Ryan,Bradley
2025,2025-05-28,1,TBR,MIN,1,1,5,0,9,Rasmussen,López
2025,2025-05-29,1,TBR,HOU,0,1,13,3,9,Uceta,King
2025,2025-05-30,1,TBR,HOU,0,0,1,2,9,Valdez,Cleavinger
2025,2025-05-31,1,TBR,HOU,0,1,16,3,9,Littell,Gordon
2025,2025-06-01,1,TBR,HOU,0,0,0,1,9,Brown,Bradley
2025,2025-06-03,1,TBR,TEX,1,1,5,1,9,Rasmussen,Mahle
2025,2025-06-04,1,TBR,TEX,1,1,5,4,9,Baz,Rocker
2025,2025-06-05,1,TBR,TEX,1,1,4,3,9,Sulser,Garcia
2025,2025-06-06,1,TBR,MIA,1,1,4,3,9,Littell,Cabrera
2025,2025-06-07,1,TBR,MIA,1,0,10,11,10,Gibson,Cleavinger
2025,2025-06-08,1,TBR,MIA,1,1,3,2,9,Uceta,Bellozo
2025,2025-06-09,1,TBR,BOS,0,1,10,8,11,Seymour,Kelly
2025,2025-06-10,1,TBR,BOS,0,0,1,3,9,Giolito,Pepiot
2025,2025-06-11,1,TBR,BOS,0,0,3,4,9,Buehler,Littell
2025,2025-06-13,1,TBR,NYM,0,1,7,5,9,Orze,Kranick
2025,2025-06-14,1,TBR,NYM,0,1,8,4,9,Rasmussen,Megill
2025,2025-06-15,1,TBR,NYM,0,1,9,0,9,Baz,Canning
2025,2025-06-16,1,TBR,BAL,1,1,7,1,9,Pepiot,Eflin
2025,2025-06-17,1,TBR,BAL,1,0,1,5,9,Kremer,Littell
2025,2025-06-18,1,TBR,BAL,1,1,12,8,9,Montgomery,Kittredge
2025,2025-06-19,1,TBR,BAL,1,0,1,4,9,Morton,Rasmussen
2025,2025-06-20,1,TBR,DET,1,1,14,8,9,Baz,Flaherty
2025,2025-06-21,1,TBR,DET,1,1,8,3,9,Pepiot,Hurter
2025,2025-06-22,1,TBR,DET,1,0,3,9,9,Holton,Cleavinger
2025,2025-06-24,1,TBR,KCR,0,1,5,1,9,Bradley,Bubic
2025,2025-06-25,1,TBR,KCR,0,1,3,0,9,Rasmussen,Wacha
2025,2025-06-26,1,TBR,KCR,0,1,4,0,9,Baz,Lorenzen
2025,2025-06-27,1,TBR,BAL,0,0,8,22,9,Sugano,Orze
2025,2025-06-28,1,TBR,BAL,0,1,11,3,9,Littell,Eflin
2025,2025-06-29,1,TBR,BAL,0,0,1,5,9,Kremer,Bradley
2025,2025-06-30,1,TBR,ATH,1,0,4,6,9,Newcomb,Fairbanks
2025,2025-07-01,1,TBR,ATH,1,0,3,4,10,Kelly,Montgomery
2025,2025-07-02,1,TBR,ATH,1,1,6,5,9,Pepiot,Spence
