season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2025,2025-03-27,1,TEX,BOS,1,0,2,5,9,Chapman,Jackson
2025,2025-03-28,1,TEX,BOS,1,1,4,1,9,Leiter,Houck
2025,2025-03-29,1,TEX,BOS,1,1,4,3,9,Milner,Buehler
2025,2025-03-30,1,TEX,BOS,1,1,3,2,9,Armstrong,Fitts
2025,2025-03-31,1,TEX,CIN,0,0,3,14,9,Singer,Rocker
2025,2025-04-01,1,TEX,CIN,0,1,1,0,9,Eovaldi,Spiers
2025,2025-04-02,1,TEX,CIN,0,1,1,0,9,Leiter,Greene
2025,2025-04-04,1,TEX,TBR,1,1,5,2,9,Mahle,Littell
2025,2025-04-05,1,TEX,TBR,1,1,6,4,9,Garcia,Montgomery
2025,2025-04-06,1,TEX,TBR,1,1,4,3,9,Webb,Uceta
2025,2025-04-07,1,TEX,CHC,0,0,0,7,9,Steele,Eovaldi
2025,2025-04-08,1,TEX,CHC,0,0,6,10,9,Hodge,Martin
2025,2025-04-09,1,TEX,CHC,0,1,6,2,9,Mahle,Imanaga
2025,2025-04-11,1,TEX,SEA,0,0,3,5,9,Vargas,Martin
2025,2025-04-12,1,TEX,SEA,0,0,2,9,9,Woo,Rocker
2025,2025-04-13,1,TEX,SEA,0,0,1,3,9,Gilbert,Eovaldi
2025,2025-04-15,1,TEX,LAA,1,1,4,0,9,Mahle,Kikuchi
2025,2025-04-16,1,TEX,LAA,1,1,3,1,9,Corbin,Soriano
2025,2025-04-17,1,TEX,LAA,1,1,5,3,9,Rocker,Kochanowicz
2025,2025-04-18,1,TEX,LAD,1,0,0,3,9,Yamamoto,deGrom
2025,2025-04-19,1,TEX,LAD,1,1,4,3,9,Webb,Yates
2025,2025-04-20,1,TEX,LAD,1,0,0,1,9,Casparius,Martin
2025,2025-04-22,1,TEX,ATH,0,1,8,5,9,Corbin,Bido
2025,2025-04-23,1,TEX,ATH,0,0,2,5,9,Sears,Rocker
2025,2025-04-24,1,TEX,ATH,0,0,3,4,9,Holman,Jackson
2025,2025-04-25,1,TEX,SFG,0,1,2,0,9,Eovaldi,Verlander
2025,2025-04-26,1,TEX,SFG,0,0,2,3,9,Walker,Webb
2025,2025-04-27,1,TEX,SFG,0,0,2,3,9,Doval,Jackson
2025,2025-04-28,1,TEX,ATH,1,0,1,2,9,Sears,Corbin
2025,2025-04-29,1,TEX,ATH,1,1,15,2,9,deGrom,Lopez
2025,2025-04-30,1,TEX,ATH,1,0,1,7,9,Holman,Garcia
2025,2025-05-01,1,TEX,ATH,1,0,0,3,9,Springs,Mahle
2025,2025-05-02,1,TEX,SEA,1,0,1,13,9,Woo,Leiter
2025,2025-05-03,1,TEX,SEA,1,0,1,2,9,Speier,Martin
2025,2025-05-04,1,TEX,SEA,1,1,8,1,9,deGrom,Evans
2025,2025-05-06,1,TEX,BOS,0,1,6,1,9,Eovaldi,Giolito
2025,2025-05-07,1,TEX,BOS,0,0,4,6,9,Bernardino,Webb
2025,2025-05-08,1,TEX,BOS,0,0,0,5,9,Slaten,Leiter
2025,2025-05-09,1,TEX,DET,0,0,1,2,9,Skubal,Corbin
2025,2025-05-10,1,TEX,DET,0,1,10,3,9,deGrom,Flaherty
2025,2025-05-11,1,TEX,DET,0,1,6,1,9,Eovaldi,Olson
2025,2025-05-12,1,TEX,COL,1,1,2,1,9,Mahle,Dollander
2025,2025-05-13,1,TEX,COL,1,1,4,1,9,Leiter,Freeland
2025,2025-05-14,1,TEX,COL,1,1,8,3,9,Corbin,Senzatela
2025,2025-05-15,1,TEX,HOU,1,1,1,0,9,deGrom,Brown
2025,2025-05-16,1,TEX,HOU,1,0,3,6,9,Ort,Armstrong
2025,2025-05-17,1,TEX,HOU,1,1,5,1,9,Mahle,Blanco
2025,2025-05-18,1,TEX,HOU,1,0,3,4,9,Valdez,Garcia
2025,2025-05-20,1,TEX,NYY,0,0,2,5,9,Warren,Corbin
2025,2025-05-21,1,TEX,NYY,0,0,3,4,9,Weaver,Jackson
2025,2025-05-22,1,TEX,NYY,0,0,0,1,9,Rodón,Eovaldi
2025,2025-05-23,1,TEX,CHW,0,0,1,4,9,Burke,Mahle
2025,2025-05-24,1,TEX,CHW,0,0,5,10,9,Vasil,Milner
