season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2024,2024-03-28,1,TOR,TBR,0,1,8,2,9,Berríos,Eflin
2024,2024-03-29,1,TOR,TBR,0,0,2,8,9,Civale,Bassitt
2024,2024-03-30,1,TOR,TBR,0,0,1,5,9,Littell,Kikuchi
2024,2024-03-31,1,TOR,TBR,0,1,9,2,9,White,Armstrong
2024,2024-04-01,1,TOR,HOU,0,0,0,10,9,Blanco,Francis
2024,2024-04-02,1,TOR,HOU,0,1,2,1,9,Green,Hader
2024,2024-04-03,1,TOR,HOU,0,0,0,8,9,Javier,Bassitt
2024,2024-04-05,1,TOR,NYY,0,1,3,0,9,García,Ferguson
2024,2024-04-06,1,TOR,NYY,0,0,8,9,9,Weaver,Gausman
2024,2024-04-07,1,TOR,NYY,0,0,3,8,9,Cousins,Francis
2024,2024-04-08,1,TOR,SEA,1,1,5,2,9,Berríos,Castillo
2024,2024-04-09,1,TOR,SEA,1,1,5,3,9,Bassitt,Kirby
2024,2024-04-10,1,TOR,SEA,1,0,1,6,10,Muñoz,Mayza
2024,2024-04-12,1,TOR,COL,1,0,4,12,9,Feltner,Gausman
2024,2024-04-13,1,TOR,COL,1,1,5,3,9,Francis,Hudson
2024,2024-04-14,1,TOR,COL,1,1,5,0,9,Berríos,Freeland
2024,2024-04-15,1,TOR,NYY,1,1,3,1,9,Bassitt,Gil
2024,2024-04-16,1,TOR,NYY,1,1,5,4,9,Kikuchi,Rodón
2024,2024-04-17,1,TOR,NYY,1,0,4,6,9,González,Swanson
2024,2024-04-19,1,TOR,SDP,0,1,5,1,9,Francis,Waldron
2024,2024-04-20,1,TOR,SDP,0,1,5,2,9,Berríos,Vásquez
2024,2024-04-21,1,TOR,SDP,0,0,3,6,9,Musgrove,Bassitt
2024,2024-04-22,1,TOR,KCR,0,1,5,3,9,Kikuchi,Singer
2024,2024-04-23,1,TOR,KCR,0,0,2,3,9,Stratton,Gausman
2024,2024-04-24,1,TOR,KCR,0,0,2,3,9,Schreiber,Rodríguez
2024,2024-04-25,1,TOR,KCR,0,0,1,2,5,Ragans,Berríos
2024,2024-04-26,1,TOR,LAD,1,0,2,12,9,Stone,Bassitt
2024,2024-04-27,1,TOR,LAD,1,0,2,4,9,Glasnow,Kikuchi
2024,2024-04-28,1,TOR,LAD,1,1,3,1,9,Gausman,Grove
2024,2024-04-29,1,TOR,KCR,1,1,6,5,9,Cabrera,Bowlan
2024,2024-04-30,1,TOR,KCR,1,0,1,4,9,Ragans,Berríos
2024,2024-05-01,1,TOR,KCR,1,0,1,6,9,Lugo,Bassitt
2024,2024-05-03,1,TOR,WSN,0,0,3,9,9,Barnes,Swanson
2024,2024-05-04,1,TOR,WSN,0,1,6,3,9,Gausman,Irvin
2024,2024-05-05,1,TOR,WSN,0,0,8,11,9,Harvey,Cabrera
2024,2024-05-07,1,TOR,PHI,0,0,1,10,9,Sánchez,Berríos
2024,2024-05-08,1,TOR,PHI,0,1,5,3,9,Bassitt,Nola
