season,date,dh_game,team,opp,is_home,win,runs_scored,runs_allowed,innings,winning_pitcher,losing_pitcher
2025,2025-03-27,1,WSN,PHI,1,0,3,7,10,Alvarado,Poche
2025,2025-03-29,1,WSN,PHI,1,0,6,11,9,Luzardo,Poche
2025,2025-03-30,1,WSN,PHI,1,1,5,1,9,Parker,Nola
2025,2025-03-31,1,WSN,TOR,0,0,2,5,9,Francis,Soroka
2025,2025-04-01,1,WSN,TOR,0,0,3,5,9,Green,Ferrer
2025,2025-04-02,1,WSN,TOR,0,0,2,4,9,Lucas,Gore
2025,2025-04-04,1,WSN,ARI,1,0,4,6,9,Pfaadt,Ferrer
2025,2025-04-05,1,WSN,ARI,1,1,4,3,9,Parker,Rodríguez
2025,2025-04-06,1,WSN,ARI,1,1,5,4,9,Williams,Burnes
2025,2025-04-07,1,WSN,LAD,1,1,6,4,9,Gore,May
2025,2025-04-08,1,WSN,LAD,1,1,8,2,9,Poche,Wrobleski
2025,2025-04-09,1,WSN,LAD,1,0,5,6,9,Yates,Salazar
2025,2025-04-11,1,WSN,MIA,0,1,7,4,9,Sims,Bender
2025,2025-04-12,1,WSN,MIA,0,0,6,7,9,Alcantara,Williams
2025,2025-04-13,1,WSN,MIA,0,0,4,11,9,Henriquez,Gore
2025,2025-04-14,1,WSN,PIT,0,0,3,10,9,Skenes,Lord
2025,2025-04-15,1,WSN,PIT,0,1,3,0,9,Irvin,Keller
2025,2025-04-16,1,WSN,PIT,0,0,1,6,9,Falter,Parker
2025,2025-04-17,1,WSN,PIT,0,0,0,1,9,Heaney,Williams
2025,2025-04-19,1,WSN,COL,0,1,12,11,9,Gore,Dollander
2025,2025-04-20,1,WSN,COL,0,1,3,2,9,Irvin,Freeland
2025,2025-04-20,2,WSN,COL,0,0,1,3,9,Senzatela,Lord
2025,2025-04-22,1,WSN,BAL,1,1,7,0,9,Parker,Kremer
2025,2025-04-23,1,WSN,BAL,1,1,4,3,9,López,Soto
2025,2025-04-24,1,WSN,BAL,1,0,1,2,9,Povich,Gore
2025,2025-04-25,1,WSN,NYM,1,1,5,4,9,López,Stanek
2025,2025-04-26,1,WSN,NYM,1,0,0,2,9,Holmes,Lord
2025,2025-04-27,1,WSN,NYM,1,1,8,7,9,López,Stanek
2025,2025-04-28,1,WSN,NYM,1,0,5,19,9,Canning,Williams
2025,2025-04-29,1,WSN,PHI,0,0,6,7,9,Kerkering,Finnegan
2025,2025-04-30,1,WSN,PHI,0,0,2,7,9,Sánchez,Irvin
2025,2025-05-01,1,WSN,PHI,0,1,4,2,9,Lord,Walker
2025,2025-05-02,1,WSN,CIN,0,0,1,6,9,Greene,Parker
2025,2025-05-03,1,WSN,CIN,0,1,11,6,9,Williams,Lodolo
2025,2025-05-04,1,WSN,CIN,0,1,4,1,9,López,Ashcraft
2025,2025-05-06,1,WSN,CLE,1,1,10,9,9,López,Smith
2025,2025-05-06,2,WSN,CLE,1,0,1,9,9,Lively,Lord
2025,2025-05-07,1,WSN,CLE,1,0,6,8,9,Cantillo,Soroka
2025,2025-05-09,1,WSN,STL,1,0,0,10,9,Fedde,Parker
2025,2025-05-10,1,WSN,STL,1,0,2,4,9,Pallante,Williams
2025,2025-05-11,1,WSN,STL,1,0,1,6,9,Mikolas,Gore
2025,2025-05-12,1,WSN,ATL,0,0,3,4,9,Iglesias,Rutledge
2025,2025-05-13,1,WSN,ATL,0,0,2,5,9,Schwellenbach,Lord
2025,2025-05-14,1,WSN,ATL,0,1,5,4,9,Ferrer,De Los Santos
2025,2025-05-15,1,WSN,ATL,0,0,2,5,9,Smith-Shawver,Williams
2025,2025-05-16,1,WSN,BAL,0,1,4,3,9,López,Bautista
2025,2025-05-17,1,WSN,BAL,0,1,10,6,9,Irvin,Gibson
2025,2025-05-18,1,WSN,BAL,0,1,10,4,9,Soroka,Eflin
2025,2025-05-20,1,WSN,ATL,1,1,5,3,9,Parker,Strider
2025,2025-05-22,1,WSN,ATL,1,1,8,7,10,Rutledge,Lee
2025,2025-05-23,1,WSN,SFG,1,0,0,4,9,Roupp,Gore
2025,2025-05-24,1,WSN,SFG,1,1,3,0,9,Irvin,Harrison
2025,2025-05-25,1,WSN,SFG,1,0,2,3,9,Ray,Soroka
2025,2025-05-27,1,WSN,SEA,0,0,1,9,9,Evans,Parker
2025,2025-05-28,1,WSN,SEA,0,1,9,0,9,Williams,Kirby
2025,2025-05-29,1,WSN,SEA,0,1,9,3,10,Ferrer,Snider
2025,2025-05-30,1,WSN,ARI,0,1,9,7,9,Irvin,Morillo
2025,2025-05-31,1,WSN,ARI,0,1,11,7,9,Soroka,Pfaadt
2025,2025-06-01,1,WSN,ARI,0,0,1,3,9,Mena,Parker
2025,2025-06-03,1,WSN,CHC,1,0,3,8,9,Horton,Williams
2025,2025-06-04,1,WSN,CHC,1,1,2,0,9,Gore,Boyd
2025,2025-06-05,1,WSN,CHC,1,0,1,7,9,Rea,Irvin
2025,2025-06-06,1,WSN,TEX,1,1,2,0,9,Soroka,Corbin
2025,2025-06-07,1,WSN,TEX,1,0,0,5,9,deGrom,Parker
2025,2025-06-08,1,WSN,TEX,1,0,2,4,9,Webb,Williams
2025,2025-06-10,1,WSN,NYM,0,0,4,5,10,Garrett,Henry
2025,2025-06-11,1,WSN,NYM,0,0,0,5,9,Peterson,Irvin
