season,date,dh_game,home_team_br,away_team_br,home_win,home_runs,away_runs,total_runs,innings,winning_pitcher,losing_pitcher
2024,2024-03-20,1,SDP,LAD,0,2,5,7,9,Hudson,Brito
2024,2024-03-21,1,LAD,SDP,0,11,15,26,9,King,Yamamoto
2024,2024-03-28,1,ARI,COL,1,16,1,17,9,Gallen,Freeland
2024,2024-03-28,1,BAL,LAA,1,11,3,14,9,Burnes,Sandoval
2024,2024-03-28,1,CHW,DET,0,0,1,1,9,Skubal,Crochet
2024,2024-03-28,1,CIN,WSN,1,8,2,10,9,Montas,Gray
2024,2024-03-28,1,HOU,NYY,0,4,5,9,9,Loaisiga,Pressly
2024,2024-03-28,1,KCR,MIN,0,1,4,5,9,López,Ragans
2024,2024-03-28,1,LAD,STL,1,7,1,8,9,Glasnow,Mikolas
2024,2024-03-28,1,MIA,PIT,0,5,6,11,12,Ortiz,Cronin
2024,2024-03-28,1,OAK,CLE,0,0,8,8,9,Bieber,Wood
2024,2024-03-28,1,SDP,SFG,1,6,4,10,9,Matsui,Jackson
2024,2024-03-28,1,SEA,BOS,0,4,6,10,9,Bello,Castillo
2024,2024-03-28,1,TBR,TOR,0,2,8,10,9,Berríos,Eflin
2024,2024-03-28,1,TEX,CHC,1,4,3,7,10,Robertson,Smyly
2024,2024-03-29,1,ARI,COL,1,7,3,10,9,Kelly,Quantrill
2024,2024-03-29,1,HOU,NYY,0,1,7,8,9,Weaver,Scott
2024,2024-03-29,1,LAD,STL,1,6,3,9,9,Miller,Thompson
2024,2024-03-29,1,MIA,PIT,0,2,7,9,9,Ryan,Puk
2024,2024-03-29,1,NYM,MIL,0,1,3,4,9,Peralta,Quintana
2024,2024-03-29,1,OAK,CLE,0,4,6,10,9,Allen,Stripling
2024,2024-03-29,1,PHI,ATL,0,3,9,12,9,Johnson,Alvarado
2024,2024-03-29,1,SDP,SFG,0,3,8,11,9,Harrison,Musgrove
2024,2024-03-29,1,SEA,BOS,1,1,0,1,9,Kirby,Pivetta
2024,2024-03-29,1,TBR,TOR,1,8,2,10,9,Civale,Bassitt
2024,2024-03-30,1,ARI,COL,0,4,9,13,9,Lambert,Henry
2024,2024-03-30,1,BAL,LAA,1,13,4,17,9,Rodriguez,Canning
2024,2024-03-30,1,CHW,DET,0,6,7,13,10,Miller,García
2024,2024-03-30,1,CIN,WSN,0,6,7,13,9,Harvey,Díaz
2024,2024-03-30,1,HOU,NYY,0,3,5,8,9,Stroman,Abreu
2024,2024-03-30,1,KCR,MIN,0,1,5,6,9,Jax,Smith
2024,2024-03-30,1,LAD,STL,0,5,6,11,10,Helsley,Hurt
2024,2024-03-30,1,MIA,PIT,0,3,9,12,9,Jones,Weathers
2024,2024-03-30,1,NYM,MIL,0,6,7,13,9,Peguero,Severino
2024,2024-03-30,1,OAK,CLE,0,3,12,15,9,Sandlin,Sears
2024,2024-03-30,1,PHI,ATL,0,4,12,16,9,Chavez,Nola
2024,2024-03-30,1,SDP,SFG,0,6,9,15,9,Hicks,Cease
