date,season,game_pk,home_team,away_team,home_sp_id,away_sp_id,home_sp_k9,home_sp_bb9,home_sp_xfip,home_sp_gb_pct,away_sp_k9,away_sp_bb9,away_sp_xfip,away_sp_gb_pct,home_team_wrc_plus,home_team_obp,away_team_wrc_plus,away_team_obp,home_sp_xra9,away_sp_xra9,combined_sp_xra9,home_bullpen_era14,away_bullpen_era14,park_factor,home_sp_fi_ra9,home_sp_fi_bb_rate,away_sp_fi_ra9,away_sp_fi_bb_rate,home_top3_obp,home_top3_iso,away_top3_obp,away_top3_iso,home_win,home_runs,away_runs,total_runs,first_inning_run
2024-03-20,2024,745444,SDP,LAD,506433,607192,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.96,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,2,5,7,0
2024-03-21,2024,746175,LAD,SDP,808967,605397,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.01,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,11,15,26,1
2024-03-28,2024,745039,TEX,CHC,543135,657006,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.01,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,4,3,7,0
2024-03-28,2024,745116,TBR,TOR,621107,621244,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.98,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,2,8,10,1
2024-03-28,2024,745283,SEA,BOS,622491,678394,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.93,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,4,6,10,0
2024-03-28,2024,745445,SDP,SFG,506433,657277,7.36,7.36,3.97,0.364,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,3.97,4.1,8.07,8.49,4.2,0.96,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,6,4,10,0
2024-03-28,2024,745687,OAK,CLE,622072,669456,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.98,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,0,8,8,0
2024-03-28,2024,746165,LAD,STL,607192,571945,5.4,7.2,4.35,0.538,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.35,4.1,8.45,7.5,4.2,1.01,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,7,1,8,1
2024-03-28,2024,746089,MIA,PIT,666200,656605,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.97,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,5,6,11,0
2024-03-28,2024,746418,HOU,NYY,664285,641482,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.0,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,4,5,9,1
2024-03-28,2024,746737,CIN,WSN,593423,680686,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.07,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,8,2,10,0
2024-03-28,2024,746821,CHW,DET,676979,669373,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.01,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,0,1,1,0
2024-03-28,2024,747060,BAL,LAA,669203,663776,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.98,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,11,3,14,1
2024-03-28,2024,747224,ARI,COL,668678,607536,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.03,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,16,1,17,1
2024-03-28,2024,746335,KCR,MIN,666142,641154,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.02,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,1,4,5,1
2024-03-29,2024,745604,PHI,ATL,554430,675911,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.02,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,3,9,12,0
2024-03-29,2024,745117,TBR,TOR,650644,605135,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.98,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,8,2,10,0
2024-03-29,2024,745276,SEA,BOS,669923,601713,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.93,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,1,0,1,0
2024-03-29,2024,745435,SDP,SFG,605397,690986,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,108.4,0.377,100.0,0.315,4.1,4.1,8.2,8.04,4.2,0.96,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,3,8,11,1
2024-03-29,2024,745682,OAK,CLE,548389,671106,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.98,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,4,6,10,1
2024-03-29,2024,747223,ARI,COL,518876,615698,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.03,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,7,3,10,1
2024-03-29,2024,746091,MIA,PIT,640462,527048,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.97,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,2,7,9,0
2024-03-29,2024,746167,LAD,STL,676272,668868,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,121.5,0.412,100.0,0.315,4.1,4.1,8.2,6.0,4.2,1.01,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,6,3,9,1
2024-03-29,2024,746412,HOU,NYY,664299,607074,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.0,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,1,7,8,1
2024-03-29,2024,745848,NYM,MIL,500779,642547,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.96,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,1,3,4,0
2024-03-30,2024,745850,NYM,MIL,622663,669084,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.96,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,6,7,13,1
2024-03-30,2024,745037,TEX,CHC,674003,543294,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.01,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,11,2,13,0
2024-03-30,2024,745119,TBR,TOR,641793,579328,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.98,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,5,1,6,0
2024-03-30,2024,745436,SDP,SFG,656302,663855,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,110.4,0.359,100.0,0.315,4.1,4.1,8.2,8.53,4.2,0.96,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,6,9,15,0
2024-03-30,2024,745599,PHI,ATL,605400,608331,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.02,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,4,12,16,1
2024-03-30,2024,745684,OAK,CLE,676664,676440,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.98,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,3,12,15,0
2024-03-30,2024,746087,MIA,PIT,677960,683003,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.72,0.82,0.97,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,3,9,12,0
2024-03-30,2024,745278,SEA,BOS,669302,676710,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.93,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,4,3,7,1
2024-03-30,2024,746333,KCR,MIN,607625,657746,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.02,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,1,5,6,0
2024-03-30,2024,746410,HOU,NYY,686613,573186,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.0,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,3,5,8,0
2024-03-30,2024,746736,CIN,WSN,668881,571578,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.07,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,6,7,13,0
2024-03-30,2024,746818,CHW,DET,647336,628317,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.01,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,6,7,13,1
2024-03-30,2024,747063,BAL,LAA,680570,656288,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.98,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,13,4,17,1
2024-03-30,2024,747221,ARI,COL,674072,596295,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.03,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,4,9,13,1
2024-03-30,2024,746168,LAD,STL,808967,458681,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,121.5,0.387,100.0,0.315,4.1,4.1,8.2,6.5,4.2,1.01,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,5,6,11,0
2024-03-31,2024,745035,TEX,CHC,592351,696136,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.01,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,5,9,14,1
2024-03-31,2024,745279,SEA,BOS,682243,676477,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.93,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,1,5,6,0
2024-03-31,2024,745438,SDP,SFG,650633,641726,13.5,8.1,6.75,0.435,8.6,3.2,4.1,0.435,107.0,0.369,100.0,0.315,6.75,4.1,10.85,9.26,4.2,0.96,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,13,4,17,1
2024-03-31,2024,745602,PHI,ATL,624133,519242,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,1.46,1.02,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,5,4,9,1
2024-03-31,2024,745683,OAK,CLE,621112,471911,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,123.2,0.409,4.1,4.1,8.2,6.28,0.75,0.98,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,4,3,7,1
2024-03-31,2024,745845,NYM,MIL,656731,607067,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.96,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,1,4,5,1
2024-03-31,2024,746090,MIA,PIT,669432,663559,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,80.3,0.283,114.3,0.385,4.1,4.1,8.2,6.38,1.26,0.97,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,7,9,16,1
2024-03-31,2024,745115,TBR,TOR,542888,592332,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.98,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,2,9,11,1
2024-03-31,2024,746332,KCR,MIN,663903,641927,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.02,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,11,0,11,1
2024-03-31,2024,746413,HOU,NYY,641585,657376,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,116.2,0.392,4.1,4.1,8.2,10.5,0.0,1.0,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,3,4,7,0
2024-03-31,2024,746739,CIN,WSN,607259,663623,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.07,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,6,5,11,0
2024-03-31,2024,746815,CHW,DET,607200,656427,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,1.01,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,2,3,5,0
2024-03-31,2024,747062,BAL,LAA,669330,672282,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.98,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,1,4,5,1
2024-03-31,2024,747222,ARI,COL,694297,663372,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,134.8,0.452,100.0,0.315,4.1,4.1,8.2,5.56,8.31,1.03,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,5,1,6,1
2024-03-31,2024,746166,LAD,STL,694813,571927,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,114.7,0.386,100.0,0.315,4.1,4.1,8.2,7.04,5.84,1.01,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,5,4,9,0
2024-04-01,2024,744875,WSN,PIT,669022,594835,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,114.6,0.382,4.1,4.1,8.2,5.11,1.33,1.0,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,4,8,12,0
2024-04-01,2024,745109,TBR,TEX,686752,641540,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,99.6,0.31,119.1,0.368,4.1,4.1,8.2,5.71,3.38,0.98,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,3,9,12,1
2024-04-01,2024,745277,SEA,CLE,676106,663474,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,63.9,0.214,115.1,0.376,4.1,4.1,8.2,3.55,1.2,0.93,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,5,4,9,0
2024-04-01,2024,745437,SDP,STL,663362,502043,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,118.3,0.389,71.9,0.234,4.1,4.1,8.2,8.26,7.2,0.96,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,2,6,8,1
2024-04-01,2024,745600,PHI,CIN,650911,671096,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,11.57,7.15,1.02,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,3,6,9,1
2024-04-01,2024,745675,OAK,BOS,671212,656557,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,88.5,0.303,86.8,0.275,4.1,4.1,8.2,7.31,3.38,0.98,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,0,9,9,1
2024-04-01,2024,745842,NYM,DET,640455,681857,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,2.7,1.46,0.96,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,0,5,5,0
2024-04-01,2024,746085,MIA,LAA,676974,681217,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,83.8,0.28,100.0,0.315,4.1,4.1,8.2,6.75,10.8,0.97,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,4,7,11,1
2024-04-01,2024,746409,HOU,TOR,669854,670102,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,93.5,0.327,95.9,0.322,4.1,4.1,8.2,8.8,4.5,1.0,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,10,0,10,1
2024-04-01,2024,746817,CHW,ATL,623167,450203,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,126.7,0.379,4.1,4.1,8.2,2.92,3.0,1.01,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,0,9,9,0
2024-04-01,2024,746899,CHC,COL,684007,641712,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,94.9,0.342,85.7,0.289,4.1,4.1,8.2,5.65,6.75,0.99,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,5,0,5,0
2024-04-01,2024,747058,BAL,KCR,665152,608379,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,100.0,0.315,100.0,0.315,4.1,4.1,8.2,4.2,4.2,0.98,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,6,4,10,0
2024-04-01,2024,747218,ARI,NYY,669194,661563,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,127.1,0.413,111.6,0.35,4.1,4.1,8.2,4.2,0.61,1.03,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,2,5,7,0
2024-04-01,2024,746170,LAD,SFG,572020,676775,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,116.3,0.386,104.6,0.34,4.1,4.1,8.2,6.67,9.0,1.01,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,8,3,11,1
2024-04-02,2024,745680,OAK,BOS,622072,678394,8.1,2.7,3.15,0.308,3.6,0.0,5.55,0.471,77.2,0.274,91.4,0.303,3.15,5.55,8.7,5.64,2.76,0.98,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,4,5,9,1
2024-04-02,2024,745111,TBR,TEX,621107,571760,7.94,1.59,9.33,0.444,8.6,3.2,4.1,0.435,101.2,0.313,124.2,0.392,9.33,4.1,13.43,6.97,2.81,0.98,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,5,2,7,0
2024-04-02,2024,745273,SEA,CLE,622491,669456,9.64,3.86,5.08,0.438,17.47,1.59,-0.2,0.5,73.2,0.247,109.3,0.336,5.08,-0.2,4.88,3.31,1.4,0.93,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,2,5,7,0
2024-04-02,2024,745439,SDP,STL,506433,571945,10.8,4.32,2.19,0.348,11.25,4.5,8.65,0.385,114.1,0.369,87.0,0.282,2.19,8.65,10.84,7.56,6.35,0.96,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,2,5,7,0
2024-04-02,2024,745598,PHI,CIN,605513,668933,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,86.2,0.308,119.2,0.361,4.1,4.1,8.2,11.34,5.87,1.02,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,9,4,13,1
2024-04-02,2024,746009,MIL,MIN,596001,686973,8.6,3.2,4.1,0.435,8.6,3.2,4.1,0.435,108.3,0.355,100.0,0.315,4.1,4.1,8.2,3.0,4.5,1.0,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,3,2,5,0
2024-04-02,2024,746169,LAD,SFG,518489,657277,9.0,0.0,5.48,0.435,7.5,3.0,2.48,0.529,113.7,0.368,104.1,0.329,5.48,2.48,7.96,6.75,10.0,1.01,4.4,0.085,4.4,0.085,0.303,0.1,0.335,0.165,1,5,4,9,1
2024-04-02,2024,746086,MIA,LAA,666200,542881,14.4,3.6,3.75,0.435,8.6,3.2,4.1,0.435,88.7,0.291,86.8,0.257,3.75,4.1,7.85,7.16,7.45,0.97,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,1,3,4,0
2024-04-02,2024,746411,HOU,TOR,664285,621244,9.64,11.57,5.51,0.727,9.53,1.59,3.86,0.438,105.9,0.331,84.2,0.282,5.51,3.86,9.37,8.8,5.4,1.0,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,0,1,2,3,0
2024-04-02,2024,746814,CHW,ATL,676979,625643,12.0,0.0,0.48,0.467,8.6,3.2,4.1,0.435,76.1,0.23,127.6,0.384,0.48,4.1,4.58,5.62,2.6,1.01,4.4,0.085,4.4,0.085,0.335,0.165,0.335,0.165,1,3,2,5,0
